Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
,,"Students must have completed BIO 101 and BIO 102 (or the equivalent), both with a minimum grade of C, prior to declaring a minor in biomedical sciences.",,True,False,,True,False,False,,,program,Minor in Biomedical Sciences,https://catalog.qu.edu/programs/
Not Required,Required,"To apply as a first-year student, you will need to submit: The Common Application; Official high school transcript; Secondary School Report Form; One letter of recommendation (from a school counselor or teacher); Personal Essay. Quinnipiac University is a test-optional institution for all undergraduate programs. A $65 application fee or fee waiver is also required.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Business Analytics,https://catalog.qu.edu/programs/
,,The business analytics minor is open to all university students. Students must complete a minimum of 18 credits as follows:,,True,False,,False,False,False,,,program,Minor in Business Analytics,https://catalog.qu.edu/programs/
Not Required,Required,"To be considered for admission, first-year applicants must submit the following: The Common Application, an official high school transcript, one letter of recommendation from a teacher or school counselor, and a personal essay. Quinnipiac is test-optional for the Bachelor of Science in Chemistry program; applicants may choose whether to submit SAT or ACT scores as part of their application.",Required,True,True,,True,False,False,,,program,Bachelor of Science in Chemistry,https://catalog.qu.edu/programs/
,,,,True,False,,True,False,False,,,program,Minor in Chemistry,https://catalog.qu.edu/programs/
Not Required,Not Required,We require the following items to complete your application for admission: The Common Application or the Quinnipiac Application; Official high school transcript(s); A personal essay; One letter of recommendation from a teacher or counselor; A list of your senior year courses.,Required,True,False,,True,False,False,,,program,Bachelor of Science in Civil Engineering,https://catalog.qu.edu/programs/
Not Required,Required,"Completed Common Application or Quinnipiac Application, including the essay/personal statement and non-refundable $65 application fee. Official high school transcript(s). One letter of recommendation from a teacher or school counselor who can attest to your academic potential and personal character. A completed Secondary School Report Form, typically submitted by your school counselor.",Not Required,False,False,,False,False,False,,,program,Bachelor of Arts in Communications,https://catalog.qu.edu/programs/
Not Required,Required,"To apply for first-year admission, you will need to submit: A completed Common Application, including the personal essay and Quinnipiac-specific questions; Your official high school transcript; One letter of recommendation from a teacher or counselor. We are a test-optional university. You may choose whether or not you’d like to submit your SAT/ACT scores for consideration.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Computer Information Systems,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in Computer Information Systems,https://catalog.qu.edu/programs/
Not Required,Required,"First-year applicants must submit: A completed Common Application, including the essay and a list of your activities; Official high school transcript(s); One letter of recommendation from a teacher or school counselor. Standardized test scores (SAT/ACT) are optional for most programs.",Required,True,True,,False,False,False,,,program,Bachelor of Science in Computer Information Systems and Accounting,https://catalog.qu.edu/programs/
Not Required,Required,"A completed Common Application, including the personal essay and Quinnipiac-specific questions; Official high school transcript(s); One letter of recommendation from a teacher or school counselor.",Not Required,True,True,,True,False,False,,,program,Bachelor of Arts in Computer Science,https://catalog.qu.edu/programs/
Not Required,Required,"To apply as a first-year student, you will need: The Common Application or Quinnipiac Application, official high school transcript(s), a personal essay, one letter of recommendation from a teacher or school counselor, and a list of senior year courses. Quinnipiac is a test-optional university, which means applicants are not required to submit SAT or ACT scores as part of the application for admission.",Not Required,True,True,,True,False,False,,,program,Bachelor of Science in Computer Science,https://catalog.qu.edu/programs/
Not Required,Not Required,"To be admitted to the minor, students must have completed CSC 110 with a grade of C or better. A minimum grade of 'C' is required for all courses in the minor.",Not Required,True,False,,True,False,False,,,program,Minor in Computer Science,https://catalog.qu.edu/programs/
,Required,"To apply as a first-year applicant, you will need: a completed Common Application, including the personal essay and Quinnipiac-specific questions; your official high school transcript; and a letter of recommendation from a school counselor or teacher. Test scores (SAT/ACT) are optional for most programs.",Not Required,True,True,,False,False,False,,,program,Bachelor of Arts in Criminal Justice,https://catalog.qu.edu/programs/
,,A minimum of 18 credits is required for the minor as outlined below. A grade of C or better is required in all courses for the minor. Students must complete a minimum of 12 credits in the minor at Quinnipiac University. One course in the minor may be used to satisfy a University Curriculum requirement.,,True,False,,False,False,False,,,program,Minor in Criminal Justice,https://catalog.qu.edu/programs/
Not Required,Required,"Applicants are required to submit the Common Application. Required application materials include an official high school transcript, one letter of recommendation (up to two accepted), and a personal essay submitted through the Common Application. Quinnipiac is a test-optional institution, and the submission of SAT or ACT scores is not required for admission to the BS in Data Science program.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Data Science,https://catalog.qu.edu/arts-sciences/mathematics/data-science-bs/
Not Required,Required,"First-year applicants are required to submit the Common Application, an official high school transcript, and one letter of recommendation. Quinnipiac is a test-optional university, so applicants may choose whether or not to submit SAT or ACT scores. For entry into the professional phase of the program, current students must submit a separate application. The criteria for selection into the professional phase includes a cumulative GPA of 3.000 or greater, prerequisite GPA of 3.000 or greater, an interview, an essay, and completion of all prerequisite and first-year coursework.",Required,True,True,,False,False,False,,,program,Bachelor of Science in Diagnostic Medical Sonography,https://catalog.qu.edu/health-sciences/diagnostic-imaging/diagnostic-medical-sonography-bs/diagnostic-medical-sonography-bs.pdf
Not Required,Required,"To apply, prospective first-year students will need to submit: Common Application or Quinnipiac Application; Official high school transcript(s); Counselor/teacher recommendation; Personal essay; $65 nonrefundable application fee or fee waiver.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Economics,https://catalog.qu.edu/programs/
Not Required,Not Required,Students are required to complete the following courses. A minimum grade of C is required for all courses in the minor.,Not Required,True,False,,False,False,False,,,program,Minor in Economics,https://catalog.qu.edu/programs/
Not Required,Required,"To apply, you will need: A completed Common Application, including the personal essay and Quinnipiac-specific questions; Official high school transcript(s) from all secondary schools attended; One letter of recommendation from a teacher or counselor. Standardized Test Scores (optional for most programs).",Not Required,True,True,,False,False,False,,,program,Bachelor of Arts in English,https://www.qu.edu/schools/arts-and-sciences/programs/bachelors-degree/english/
,,,,False,False,,False,False,False,,,program,Minor in English,https://as.tufts.edu/english/academics/undergraduate-programs/minor-english
Not Required,Required,"When reviewing your application for admission, we will conduct a holistic review of your academic and personal credentials. This means we will consider your high school transcript, letters of recommendation, personal essay and your extracurricular involvement.",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in Entrepreneurship and Innovation,https://catalog.qu.edu/business/entrepreneurship-strategy/entrepreneurship-small-business-management-bs/entrepreneurship-small-business-management-bs.pdf
,,The Minor in Entrepreneurship and Innovation (E&I) is open to all university students.,,True,False,,False,False,False,,,program,Minor in Entrepreneurship and Innovation,https://catalog.qu.edu/business/entrepreneurship-strategy/entrepreneurship-strategy.pdf
Not Required,Required,"Required Application Materials: Common Application; Official high school transcript; One letter of recommendation from a school counselor or teacher; Test scores (optional); Essay, submitted via the Common Application.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Environmental Science,https://catalog.qu.edu/programs/
Not Required,Not Required,"Completed Common Application, Official high school transcript(s), One letter of recommendation from a teacher or school counselor, Personal essay (included in the Common Application), $65 nonrefundable application fee or fee waiver.",Not Required,True,True,,False,False,False,,,program,Bachelor of Arts in Environmental Studies,https://catalog.qu.edu/programs/
Not Required,Required,"All first-year applicants must submit the following: The Common Application, official high school transcript(s), one letter of recommendation from a teacher or counselor, and an essay (included in the Common Application).",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in Exercise Science,https://catalog.qu.edu/programs/
Not Required,Required,"To be considered for admission, you must submit: The Common Application or Quinnipiac Application, official high school transcript(s), one letter of recommendation from a teacher or counselor, and a personal essay.",Not Required,True,False,,False,False,False,,,program,"Bachelor of Arts in Film, Television and Media Arts",https://catalog.qu.edu/communications/communications.pdf
,,,,True,False,,False,False,False,,,program,Minor in Film and Television,https://catalog.qu.edu/programs/
Not Required,Required,"Your completed application for admission will include: The Common Application or Quinnipiac University Application, including the Quinnipiac-specific questions; Your official high school transcript; A letter of recommendation from a teacher or school counselor; A personal essay; A nonrefundable application fee of $65; SAT or ACT scores (optional).",Not Required,True,True,,False,False,False,,,program,Bachelor of Science in Finance,https://catalog.qu.edu/programs/
,,"Students must have a minimum cumulative GPA of 2.000 to declare a business minor.

Prerequisites: AC 201, EC 111, EC 112, MT 141 (or higher).",,True,False,,False,False,False,,,program,Minor in Finance,https://catalog.qu.edu/programs/
,,,,False,False,,False,False,False,,,program,Minor in Fine Arts,https://catalog.qu.edu/programs/
,,"Students who wish to pursue a minor in forensic science must take the following courses:

Required Courses
FSC 101 Introductory Forensic Science 3
CHE 110 General Chemistry I 3
& CHE 110L and General Chemistry I Laboratory 1
CJ 101 Introduction to the Criminal Justice System 3
CJ 215 Criminal Investigation 3

Elective Courses
Select two of the following: 6
Any 200-level or above BIO, CHE or FSC course
CJ 211 Criminal Law
CJ 212 Criminal Procedure
CJ 340 Rules of Evidence
Total Credits 19",,True,False,,True,False,False,,,program,Minor in Forensic Science,https://catalog.qu.edu/programs/
Not Required,Not Required,"All first-year applicants must submit: A completed Quinnipiac Application or Common Application, along with a $65 application fee or fee waiver; Official high school transcript(s); One letter of recommendation from a teacher or school counselor; Personal essay.",Required,True,True,,False,False,False,,,program,Bachelor of Arts in Game Design and Development,https://catalog.qu.edu/programs/
,,"The minor in game design and development requires the completion of 18 credits as follows.

Required Courses (9 credits)
GDD 110	Introduction to Game Design	3
GDD 120	Digital Media Production	3
GDD 210	Game Studies	3

Electives (9 credits)
Select 9 credits from the following courses:
GDD 220	Game Prototyping	3
GDD 230	Level Design	3
GDD 240	Introduction to Game Art and Engines	3
GDD 250	Writing for Interactive Media	3
GDD 310	Game Production	3
GDD 320	User Interface and User Experience for Games	3
GDD 330	Introduction to 3D Modeling and Animation for Games	3
GDD 331	Character Art and Animation for Games	3
GDD 332	Game Environments	3
GDD 340	Game Audio	3
GDD 350	History of Games	3
GDD 390	Special Topics in Game Design and Development	3
GDD 499	Independent Study	1-3
CSC 110	Introduction to Computing and Programming	3
FVP 220	Introduction to Animation	3
JOUR 285	Interactive Digital Design	3",,True,False,,True,False,False,,,program,Minor in Game Design and Development,https://catalog.qu.edu/programs/
,,A minor in general business is available to students in all undergraduate schools and colleges except the School of Business. The minor consists of 18 credits. Students must earn a minimum GPA of 2.000 in the minor.,,True,False,,False,False,False,,,program,Minor in General Business,https://catalog.qu.edu/programs/
,,Completed Common Application or Quinnipiac Application; Official high school transcript(s); One letter of recommendation from a teacher or school counselor; Personal Essay.,,True,True,,False,False,False,,,program,Bachelor of Arts in Gerontology,https://catalog.qu.edu/arts-sciences/sociology-anthropology/gerontology-ba/gerontology-ba.pdf
,,"To declare a minor in global public health, students must have a minimum GPA of 2.500 and must complete a declaration of minor form, available from the registrar. Students may substitute up to two courses with prior approval of the program director.",,True,False,,False,,,,,program,Minor in Global Public Health,https://www.qu.edu/globalassets/global/media/qu/documents/university/catalogs/2019-2020-academic-catalog.pdf
Not Required,,"To be considered for admission, you must submit: The Common Application or Quinnipiac Application; Your official high school transcript(s); One letter of recommendation from a school counselor or teacher; Personal Essay (as part of the Common Application or Quinnipiac Application).",,True,False,,False,False,False,,,program,Bachelor of Arts in Graphic and Interactive Design,https://catalog.qu.edu/communications/communications.pdf
,,,,True,False,,False,False,False,,,program,Minor in Health Care Management,https://catalog.qu.edu/programs/
Not Required,Not Required,Students are required to complete a minimum of 18 credits. At least 9 credits must be at the 300 level or above. All courses must be completed with a grade of C or better.,Not Required,True,False,,False,False,False,,,program,Minor in Health Equity,https://catalog.qu.edu/programs/
Not Required,Not Required,"To be considered for admission, first-year applicants must submit: The Common Application, including the essay and a list of your activities. Official high school transcript. Two letters of recommendation, including one from your school counselor and one from a teacher who has taught you in an academic course.",Not Required,True,False,,False,False,False,,,program,"Bachelor of Arts in Health, Medicine, and Society",https://www.qu.edu/schools/arts-and-sciences/programs/bachelors-degree/ba-in-health-medicine-and-society/
Not Required,Required,"The Office of Undergraduate Admissions reviews all applications for this program. Required materials for first-year applicants include: The Common Application, official high school transcript(s), one letter of recommendation (from a school counselor, teacher or someone who can speak to your academic potential), and a personal essay.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Health Science Studies,https://catalog.qu.edu/programs/
Not Required,Required,"To apply as a first-year student, you will need: The Common Application or Quinnipiac Application, your official high school transcript, a letter of recommendation, and an essay or personal statement. We also require a list of your senior year courses and a $65 nonrefundable application fee or fee waiver.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Hispanic and Latin American Studies,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in Hispanic and Latin American Studies,https://catalog.qu.edu/arts-sciences/modern-languages/minor-hispanic-latinamerican-studies/
Not Required,Required,"To be considered for admission, first-year applicants must submit the following: a completed Common Application, an official high school transcript, a Secondary School Report form, one letter of recommendation from a teacher or school counselor, and a personal essay. Standardized test scores (SAT/ACT) are optional.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in History,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in History,https://catalog.qu.edu/arts-sciences/history/history-minor/
,,,,True,False,,False,False,False,,,program,Minor in History and Philosophy of Science,https://www.admissions.caltech.edu/why-caltech/academics/majors-minors/history-and-philosophy-science
,,A minor in human movement is not available to athletic training or health science studies majors.,,True,False,,False,False,False,,,program,Minor in Human Movement,https://catalog.qu.edu/programs/
Not Required,Required,"To apply as a first-year student, the following is required: a completed Common Application or Quinnipiac Application, including your personal essay; your official high school transcript(s); and one letter of recommendation from a teacher or counselor. Official SAT or ACT scores are optional for the Bachelor of Science in Human Resource Management program.",Not Required,False,False,,False,False,False,,,program,Bachelor of Science in Human Resource Management,https://catalog.qu.edu/programs/
Not Required,Not Required,"Students can apply using the Common Application. In addition to the application, we require: Your official high school transcript; A personal essay; One letter of recommendation from a teacher or school counselor. Quinnipiac is a test-optional university for all majors, which means you have the choice of whether to submit SAT or ACT scores. We do not require the optional Essay section of the SAT or the optional Writing section of the ACT.",Not Required,True,True,,False,False,False,,,program,Bachelor of Arts in Individualized Major,https://catalog.qu.edu/programs/
Not Required,Required,"First-year applicants must submit a completed application (either the Common Application or the Quinnipiac Application), an official high school transcript, one essay, and one letter of recommendation from a teacher or school counselor. Quinnipiac is a test-optional university, which means you have the choice of whether or not to submit SAT or ACT scores as part of your application for admission.",Not Required,False,True,,False,False,False,,,program,Bachelor of Science in Individualized Major,https://catalog.qu.edu/academics/majors/
Not Required,Required,"The student must submit a proposal that includes a title for the minor, a statement of purpose for the minor, a proposed list of at least five courses that will fulfill the minor, and a completion plan. The individualized minor proposal must be endorsed by a full-time faculty member who has agreed to serve as the minor adviser and approved by the appropriate dean or designee. Students must have a cumulative GPA of at least 2.500 to declare an individualized minor. Proposals must be submitted before the student has completed 90 credits.",Not Required,True,False,,False,False,False,,,program,Minor in Individualized Minor,https://catalog.nau.edu/Catalog/details?&plan=BUSIMN
Not Required,Required,"A completed Common Application or Quinnipiac Application, which includes a personal essay. Applicants must submit official high school transcript(s) showing a strong college-preparatory curriculum. Applicants to the School of Engineering are expected to have completed 4 years of mathematics (through pre-calculus or calculus) and 1 year of both chemistry and physics. A minimum of 1 letter of recommendation from a teacher or school counselor is required, though up to 3 are accepted.",Not Required,True,True,,True,False,False,,,program,Bachelor of Science in Industrial Engineering,https://www.youtube.com/watch?v=9MlM3-WpMdA
Not Required,Required,"First-year applicants must submit: a completed application (either the Common Application or the Quinnipiac Application), an official high school transcript, one letter of recommendation from a school counselor or teacher, and a personal essay.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Interdisciplinary Studies,https://catalog.qu.edu/programs/
Not Required,Required,"Completed Common Application, Official high school transcript(s), One letter of recommendation from a teacher or school counselor, Personal essay, Secondary School Report form, $65 nonrefundable application fee or fee waiver.",Not Required,True,True,,False,False,False,,,program,Bachelor of Science in Interdisciplinary Studies,https://catalog.qu.edu/programs/
,Required,"All first-year applicants must submit the Common Application, including the personal essay, an official high school transcript, and one letter of recommendation from a teacher or counselor.",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in International Business,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in International Business,https://catalog.qu.edu/business/entrepreneurship-strategy/international-business-minor/
,,,,True,False,,False,False,False,,,program,Minor in International Studies,https://catalog.qu.edu/programs/
Not Required,Required,"A completed Common Application or Quinnipiac University Application, including the essay and a list of your activities. Your official high school transcript. One letter of recommendation from a teacher or school counselor.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Journalism,https://catalog.qu.edu/programs/
Not Required,Required,"To be considered for admission, you are required to submit the following: Common Application, including the personal essay and Quinnipiac questions; Official high school transcript(s); One letter of recommendation from a teacher or counselor.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Justice and Community Engagement,https://catalog.qu.edu/programs/
Not Required,Required,"To apply as a first-year student, you will need to submit the following: A completed Common Application or Quinnipiac Application, an official high school transcript, and one letter of recommendation (from a school counselor or teacher). A personal essay is also a required part of the application.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Law in Society,https://catalog.qu.edu/arts-sciences/justice-law/law-society-ba/
Not Required,Not Required,Students must have a GPA of at least 2.000 to declare a business minor.,Not Required,True,False,,False,False,False,,,program,Minor in Management,https://catalog.qu.edu/programs/
Not Required,Required,"To apply as a first-year student, you will need to submit: The Common Application, including the essay and Quinnipiac-specific questions. Official high school transcript(s). One letter of recommendation from a teacher or counselor.",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in Marketing,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in Marketing,https://catalog.qu.edu/programs/
Not Required,Required,"All first-year applicants must submit the following: Completed Common Application, including the personal essay and Quinnipiac-specific questions; Official high school transcript(s); One letter of recommendation from a teacher or school counselor.",Not Required,True,True,,True,False,False,,,program,Bachelor of Arts in Mathematics,https://catalog.qu.edu/programs/
Not Required,Not Required,"To declare a minor in mathematics, a student should file a Declaration of Minor form in the CAS dean’s office.",Not Required,True,False,,True,False,False,,,program,Minor in Mathematics,https://catalog.qu.edu/programs/
Not Required,Required,"A completed Common Application, including the essay and a nonrefundable $65 application fee; An official high school transcript; One letter of recommendation from a teacher or counselor.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Mechanical Engineering,https://catalog.qu.edu/programs/
,,,,True,False,,False,False,False,,,program,Minor in Military Science,https://www.qu.edu/info-for/veterans-military/
,,,,True,False,,False,False,False,,,program,Minor in Music,https://catalog.qu.edu/programs/
Not Required,Required,"All first-year applicants must submit the Common Application or Quinnipiac Application, official high school transcript(s), a personal essay, one letter of recommendation from a teacher or school counselor, and a list of senior year courses. For the Bachelor of Science in Nursing program, applicants are strongly encouraged to submit SAT or ACT scores. Successful candidates typically have a high school GPA of 3.5 or higher on a 4.0 scale.",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in Nursing,https://catalog.qu.edu/programs/
Optional,Required,"To complete your application for admission, we require a completed Common Application or Quinnipiac Application, your official high school transcript, one letter of recommendation from a teacher or counselor, and an essay/personal statement. Quinnipiac is test-optional for all undergraduate programs.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Occupational Therapy (3+2),https://bulletin.wustl.edu/undergrad/artsci/additional/degrees-in-the-professional-schools/degrees-in-the-professional-schools.pdf
Not Required,Not Required,"A completed Common Application; Official high school transcript; One letter of recommendation from a teacher or counselor; A personal essay; Quinnipiac is test-optional for all undergraduate programs for the 2024-25 and 2025-26 academic years. If you choose to submit scores, they will be considered along with your other application materials.",Not Required,True,True,,False,False,False,,,program,Bachelor of Arts in Philosophy,https://catalog.qu.edu/programs/
Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,Minor in Philosophy,https://catalog.qu.edu/programs/
Not Required,Required,"To be considered for the entry-level dual-degree doctor of physical therapy program, applicants should submit the Common Application, an official high school transcript, a letter of recommendation from a school counselor, a letter of recommendation from a teacher in a core academic course, and a personal essay. SAT/ACT scores are optional.",Not Required,True,True,,True,False,False,,,program,Bachelor of Science in Physical Therapy (3+3),https://ptcasdirectory.apta.org/471/Quinnipiac-University?id=471&tab=coursePrerequisites
Not Required,Required,"To be considered for admission, you must submit the following: The completed Common Application or Quinnipiac Application; Official high school transcript(s); At least one letter of recommendation from a teacher or counselor; A personal essay (included in the application); A list of all courses you are taking in your senior year.",Not Required,True,False,,True,False,False,,,program,Bachelor of Science in Physician Assistant (3+2),https://catalog.qu.edu/graduate-studies/health-sciences/physician-assistant-mhs/physician-assistant-mhs.pdf
Not Required,Required,"To be considered for admission, you will need to submit the following: A completed Common Application or Quinnipiac Application, Your official high school transcript, A personal essay, One letter of recommendation from a teacher or counselor.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Political Science,https://www.qu.edu/schools/arts-and-sciences/programs/bachelors-degree/political-science/
Not Required,Not Required,"A minimum of 18 credits is required for the minor. Students must complete the following:
- Three 100- or 200-level political science courses
- Three 300- or 400-level political science courses
- A minimum grade of C is required in all courses for the minor.
- A maximum of 6 credits may be transferred into the minor.",Not Required,True,False,,False,False,False,,,program,Minor in Political Science,https://catalog.qu.edu/programs/
Required,Required,"To apply to the bachelor’s in professional studies, you will need to: Submit an application. We require a $65 nonrefundable application fee, but will waive it if you attend one of our information sessions. Submit all official college/university transcripts. Quinnipiac University requires transcripts from all colleges/universities attended to be sent directly from each institution to the Office of Admissions. We recommend that you have a minimum cumulative grade point average (GPA) of 2.5. Submit a resume. Submit a personal statement. The personal statement is an essay that helps our faculty learn more about you as a person and as a student. Describe your background and the strengths you will bring to the program and to your future career.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Professional Studies,https://catalog.qu.edu/programs/
Required,Required,"To be considered for admission to the online bachelor's degree in professional studies, applicants are required to submit the following: Online application; Official transcripts from all previously attended institutions; An essay or personal statement describing your personal and professional goals and how the online Bachelor of Science in Professional Studies will help you achieve them; A current resume; A cumulative GPA of 2.5 or higher from previous college-level coursework.",Not Required,True,False,,False,False,False,,,program,Bachelor of Science in Professional Studies,https://www.goodwin.edu/majors/professional-studies/bs-degree-program-outcomes
Not Required,Required,"To apply as a first-year student, you will need to submit the following:
- Completed Common Application or Quinnipiac Application and nonrefundable $65 application fee
- Official high school transcript(s)
- One letter of recommendation from a teacher or school counselor
- Personal Essay
- A list of your senior year courses
- Standardized Test Scores (optional)",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Public Relations,https://www.qu.edu/schools/communications/programs/bachelors-degree/public-relations/
Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,Minor in Religious Studies,https://catalog.qu.edu/programs/
,,"The minor in social media is available to all undergraduate students except those in the journalism, public relations, advertising and integrated communications, and media studies majors. A grade of C or better is required in all courses for the minor. A minimum GPA of 2.00 is required for the minor.",,False,False,,False,False,False,,,program,Minor in Social Media,https://catalog.qu.edu/programs/
Not Required,Required,"All first-year applicants must submit the following:

- A completed Common Application, including the essay (personal statement) and the nonrefundable $65 application fee
- An official high school transcript showing all courses and grades
- One letter of recommendation from a teacher or school counselor

Quinnipiac is a test-optional university. This means you have the choice of whether to submit your SAT or ACT scores as part of your application for admission.",Not Required,True,False,,False,False,False,,,program,Bachelor of Arts in Sociology,https://catalog.qu.edu/programs/
,,"A minimum of 18 credits is required for the minor.

At least half the courses for the minor must be completed at Quinnipiac.

A grade of C or better is required in all courses for the minor.",,True,False,,False,False,False,,,program,Minor in Sociology,https://catalog.qu.edu/programs/
