Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
,"Physical therapists are health care professionals who diagnose and treat individuals of all ages, from newborns to the elderly, who have medical problems or other health-related conditions that limit their abilities to move and perform functional activities in their daily lives. At the University of Findlay, you can complete your Doctor of Physical Therapy (DPT) degree through our Traditional Program or our Weekend PTA to DPT Bridge Program. We are proud to offer two options for students to complete their doctorate degree. Experiential learning is a key component to the Physical Therapy Program at the University of Findlay. Students participate in diverse clinical education experiences and service-learning opportunities involving pro bono clinics, advocacy, and community outreach.",https://www.findlay.edu/health-professions/physical-therapy/,"The Doctor of Physical Therapy Program at the University of Findlay is accredited by the Commission on Accreditation in Physical Therapy Education (CAPTE), 3030 Potomac Ave., Suite 100, Alexandria, Virginia 22305-3085; telephone: 703-706-3245; email: accreditation@apta.org; website: http://www.capteonline.org.",,Doctor of Physical Therapy (DPT),https://www.findlay.edu/health-professions/physical-therapy/
,"Pharmacists are medication experts and an integral part of the healthcare team. They are the most accessible healthcare provider and often the first source of assistance and advice on many common ailments and health care matters. Findlay's College of Pharmacy prepares you to be a confident, knowledgeable professional capable of meeting the challenges of the changing health care environment. The University of Findlay College of Pharmacy offers a 0-6 program. This means you can enter as a freshman and graduate with your Doctor of Pharmacy (Pharm.D.) in six years.",https://www.findlay.edu/pharmacy/,The University of Findlay’s Doctor of Pharmacy program is accredited by the Accreditation Council for Pharmacy Education.,Doctoral,Doctor of Pharmacy (Pharm. D.),https://www.findlay.edu/pharmacy/
,"The Data Analytics Certificate consists of 12 semester hours of coursework. It is designed for students who want to have broad exposure to Big Data and data analytics. Students will learn how to handle, process, and analyze a large amount of data.",https://findlay.smartcatalogiq.com/en/current/graduate-catalog/graduate-programs/computer-science/data-analytics-certificate,,Certificate,Data Analytics Certificate,https://findlay.smartcatalogiq.com/en/current/graduate-catalog/graduate-programs/computer-science/data-analytics-certificate
,This 18-hour certificate prepares students to teach dual enrollment communication courses.,https://findlay.smartcatalogiq.com/en/current/graduate-catalog/graduate-programs/education/dual-enrollment-certificate-in-communication,,Certificate,Dual Enrollment Certificate in Communication,https://findlay.smartcatalogiq.com/en/current/graduate-catalog/graduate-programs/education/dual-enrollment-certificate-in-communication
English,"The University of Findlay’s Dual Enrollment Certificate program is designed for high school teachers who want to teach dual enrollment courses. This program provides the 18 graduate credit hours in the content area required by the Higher Learning Commission. Teachers can choose from the following content areas: Biology, Chemistry, English, History, Mathematics.",https://www.findlay.edu/education/graduate-programs/dual-enrollment-certificate,,Graduate Certificate,Dual Enrollment Certificate in Language Arts,https://www.findlay.edu/majors/graduate-certificates-and-nondegree
Mathematics,The University of Findlay’s dual enrollment certificate is designed for high school teachers who want to teach dual enrollment courses. This certificate provides the 18 hours of graduate coursework in the specific content area required by the Higher Learning Commission.,https://www.findlay.edu/education/graduate-programs/dual-enrollment-certificate,,,Dual Enrollment Certificate in Mathematics,https://www.findlay.edu/education/graduate-programs/dual-enrollment-certificate
,"This certificate prepares students to assume leadership roles in the public, non-profit and private sectors. The curriculum addresses the four phases of emergency management: mitigation, preparedness, response and recovery.",https://www.findlay.edu/sciences/environmental-safety-occupational-health-management/graduate-certificates,,Certificate,Emergency and Disaster Management Certificate,https://www.findlay.edu/admissions/graduate/graduate-programs
,"The Graduate Certificate in Environmental, Safety and Health Management is designed for professionals who want to advance their careers, but aren't ready to commit to a master's degree. The certificate consists of five courses (15 credit hours) and can be completed in as little as one year.",https://www.findlay.edu/sciences/environmental-safety-occupational-health/graduate-certificate,,Certificate,Environmental Management Certificate,https://www.findlay.edu/admissions/graduate/graduate-programs
,,,,,Health Informatics Certificate,https://www.findlay.edu/admissions/graduate/graduate-programs
,,,,,Literacy Leadership Certificate,"https://www.google.com/search?q=time+in+Hancock+County,+US"
,"The Certificate in Environmental, Safety and Health Management is designed for corporate and organizational managers who wish to develop or enhance their knowledge and skills in the area of environmental, safety and health management. This certificate consists of five courses (15 credit hours) that can be completed in as little as one year.",https://www.findlay.edu/sciences/environmental-safety-occupational-health-management/graduate-certificate,,Certificate,Occupational Health and Safety Management Certificate,https://www.findlay.edu/admissions/graduate/graduate-programs
,"University of Findlay’s Online Instruction Certificate Program is designed for P-12 teachers, higher education faculty, and corporate trainers who want to learn how to design and facilitate online courses. The program focuses on best practices in online teaching, instructional design, and assessment strategies.",https://www.findlay.edu/education/graduate/certificate-online-instruction,,,Online Instruction Certificate,https://www.findlay.edu/admissions/graduate/graduate-programs
,"The University of Findlay's School Counselor Leadership program is designed for school counselors who want to be leaders in their field. This program leads to the School Counselor Leadership Endorsement. The program provides the skills necessary to advocate for student success, use data to drive program improvement, and lead comprehensive school counseling programs.",https://www.findlay.edu/education/doctoral/school-counselor-leadership,Council for the Accreditation of Educator Preparation (CAEP),,School Counselor Leadership Certificate,https://www.findlay.edu/admissions/graduate/graduate-programs
,"With the growth of online learning, there is a distinct need for professionals to have a distinct skill set in how to design and deliver online instruction. This certificate provides students with the skills needed to design and deliver online instruction in a variety of settings.",https://www.findlay.edu/majors/graduate-certificates-and-nondegree,,Certificate,Training and Online Instruction Certificate,https://www.findlay.edu/majors/graduate-certificates-and-nondegree
