Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Not Required,"To be accepted into the Didactic Program in Dietetics (DPD), students must have a cumulative GPA of 3.0 or higher on a minimum of 30 hours of college credit and have successfully completed FNDH 132 and FNDH 340 with a C or better.",Not Required,,,False,,False,False,,,program,Dietetics,https://www.hhs.k-state.edu/fndh/academics/undergraduate/dietetics/
Not Required,Not Required,Must be a high school graduate or equivalent. 2.5 minimum high school GPA. Must have a sufficient composite score on the ACT or SAT (or an equivalent score on a test optional admissions review process) as determined by the Kansas Board of Regents. Current K-State students must have a 2.0 minimum GPA.,Not Required,,,False,,False,False,,,program,Food and Health,https://online.k-state.edu/programs/food-health-certificate-undergraduate/
,,Students must be admitted to a bachelor's degree program at Kansas State University. A minimum 2.5 GPA is required for admission to the certificate program. Students must maintain a 2.5 GPA in the certificate courses to be awarded the certificate.,,,,,,,,,,program,"Global Health, Nutrition, and Food Systems",https://www.hhs.k-state.edu/fndh/undergraduate/certificates/ghnfs/
Not Required,Not Required,Students who wish to pursue the health coaching certificate will need to complete the Secondary Major/Certificate form in KSIS.,Not Required,,,False,,,,,,program,Health Coach,https://hhs.k-state.edu/fndh/undergraduate/certificates/health-coaching/
Not Required,Not Required,"Kansas State University has a test-optional admissions process for freshman students. For assured admission, applicants must meet one of the following criteria: a 3.25 or higher unweighted high school GPA, OR an ACT composite score of 21 or higher, OR an SAT ERW+M score of 1060 or higher. Additionally, applicants must complete the precollege curriculum with at least a 2.0 GPA.",Not Required,,,False,True,False,False,21.0,1060.0,program,Integrative Physiology,https://kines.k-state.edu/undergrad/bs-kines-integ-phys/
Not Required,Not Required,"Kansas residents who are graduates of an accredited Kansas high school, will be guaranteed admission to Kansas State University if they meet one of the following requirements: Achieve a cumulative high school GPA of 3.25 or higher on a 4.0 scale OR achieve a 21 or higher on the ACT or a 1060 or higher on the SAT. If you do not meet the guaranteed admission requirements, you will be admitted by individual review.",Not Required,,,False,,False,False,,,program,Nutrition and Health,https://hhs.k-state.edu/fndh/undergraduate/nutrition-health/
,,Assured admission for Kansas residents who are graduates of an accredited high school is granted if they meet one of the following: achieve an ACT composite score of 21 or higher OR a SAT ERW+M score of 1060 or higher AND achieve a 2.0 GPA or higher on any college credit taken in high school; OR achieve a 3.25 or higher cumulative high school GPA; OR rank in the top one-third of their high school's graduating class. Assured admission for nonresidents who are graduates of an accredited high school is granted if they meet one of the following: achieve an ACT composite score of 21 or higher OR a SAT ERW+M score of 1060 or higher AND achieve a 2.5 GPA or higher on any college credit taken in high school; OR achieve a 3.25 or higher cumulative high school GPA. Kansas State University also has a test-optional pathway for admission where applications are reviewed individually.,,,,False,,False,False,21.0,1060.0,program,Nutritional Sciences,https://www.hhs.k-state.edu/fns/undergraduate/nutritional-sciences/
Not Required,Not Required,"Kansas State University has assured admission requirements for freshman applicants. You will be admitted if you meet the following requirements:

Achieve one of the following:
- High school GPA of 3.25 or higher
- ACT composite score of 21 or higher or SAT ERW+M score of 1060 or higher

AND, if applicable, achieve a 2.0 GPA or higher on all college credit taken in high school.

Test-optional pathway: Applicants can be admitted without test scores if they have a 3.25 or higher GPA.",Not Required,,,False,,False,False,,,program,Public Health,https://hhs.k-state.edu/kines/undergrad/public-health/
Not Required,Not Required,"To be admitted to Kansas State University, you are expected to achieve ONE of the following: Achieve a 3.25 or higher GPA OR Score a 21 or higher on the ACT or a 1060 or higher on the SAT. Additionally, all applicants must complete the pre-college curriculum.",Not Required,,,False,,False,False,21.0,1060.0,program,Hospitality Management,https://hhs.k-state.edu/hm/academics/hospitality-management/
Not Required,Not Required,,Not Required,,,False,False,False,False,,,program,Fashion Studies,https://hhs.k-state.edu/atid/undergraduate/fashion/
Not Required,Not Required,"All prospective students must apply to K-State through the Office of Recruitment and Admissions. Specific requirements for first-time freshman and transfer students are detailed on their website. Upon admittance to K-State, you may declare Interior Architecture & Product Design as your major.",Not Required,,,False,True,False,False,,,program,Interior Design,https://apdesign.k-state.edu/iap/undergraduate-program/
Not Required,Not Required,"To be admitted to K-State, you must have a 2.0+ GPA in your high school coursework in addition to one of the following requirements: Graduate from an accredited high school with a 3.25+ GPA OR ACT score of 21+ or SAT of 1060+. AND Achieve a 2.0 GPA or higher on any college credit taken in high school.",Not Required,,,False,False,False,False,,,program,Kinesiology,https://www.hhs.k-state.edu/kines/academics/undergrad/kinesiology-bs/
