Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url
Applied Anthropology,"The Master of Arts in Anthropology is designed for students interested in careers in both the public and private sectors, as well as for those who wish to pursue a Ph.D. The M.A. program in Anthropology provides two options: Applied Anthropology or Archaeology. The Applied option provides students with the training needed to solve real-world problems by improving the design and implementation of projects, policies, and programs. The Archaeology option provides students with an understanding of past cultures and the skills necessary for fieldwork and analysis. Both options provide a solid grounding in anthropological theory and method, with a focus on practical application in a wide variety of local, national and international contexts.",https://www.csulb.edu/academic-catalog/course-catalog/anthropology/master-of-arts-in-anthropology,,Master of Arts,Master of Arts in Anthropology with option in Applied Anthropology,https://www.csulb.edu/graduate-studies
General Asian Studies,"The Master of Arts in Asian Studies is an interdisciplinary degree program that allows students to choose one of two options: General Asian Studies or Asian Studies with a specialization in Chinese, Japanese, or Khmer (Cambodian). This graduate program provides a broad, balanced, and comparative understanding of Asia, while at the same time ensures an appropriate depth of knowledge in a specific area of study. The M.A. in Asian Studies prepares students for careers in government, the private sector, and teaching, as well as providing preparation for doctoral studies in a variety of disciplines.",https://cla.csulb.edu/departments/aaas/graduate-credential/,,Master of Arts,Master of Arts in Asian Studies with option in General Asian Studies,https://cla.csulb.edu/departments/aaas/graduate-credential/
Chinese Studies,"The Master of Arts degree in Asian Studies is an interdisciplinary degree designed to meet the needs of students who wish to pursue careers in which advanced knowledge of Asian languages and cultures is essential, including secondary school and community college teaching, government service, international business, and international law. It is also designed to provide a firm foundation for those who intend to pursue the Ph.D. degree in a discipline with an Asian specialization. The program draws on the resources of faculty in the departments of Asian and Asian American Studies, Anthropology, Art, Comparative World Literature and Classics, Economics, Geography, History, Linguistics, Political Science, and Religious Studies. The M.A. in Asian Studies offers two options: one in Chinese Studies and one in Japanese Studies.",https://www.csulb.edu/academic-catalog/program/asian-studies-ma,,,Master of Arts in Asian Studies with option in Chinese Studies,https://www.csulb.edu/graduate-studies
Teaching Chinese as a Foreign Language,The M.A. program provides interdisciplinary training for students who wish to pursue careers in Asian-related fields or to pursue further graduate study. It trains students to analyze and to understand the forces which have shaped the nations of Asia through rigorous coursework and directed research. The option is designed for students who are native or near-native speakers of Mandarin Chinese and wish to teach Chinese at the community college or university level in the United States and other English-speaking countries. It offers an excellent training in both linguistic and pedagogical aspects of teaching Chinese as a foreign language.,https://cla.csulb.edu/departments/aaas/graduate-credential/,,Master of Arts,Master of Arts in Asian Studies - Teaching Chinese as a Foreign Language,https://cla.csulb.edu/departments/aaas/graduate-credential/
,"The Master of Arts in Communication Studies is a 30-unit program that provides a comprehensive course of study in the principles, theories, and research of human communication from a social science and humanistic perspective. The program is designed for students who desire a career in communication for the business, government, or non-profit sector; for students who wish to pursue a doctoral degree; and for students who want to teach at the community college level. Our award-winning and nationally-recognized faculty conduct research and teach courses in a variety of areas including interpersonal, intercultural, organizational, political, instructional, health, and gender communication as well as rhetoric and performance studies. The curriculum is designed to provide breadth of knowledge in the communication discipline as well as a focused program of study that aligns with students’ career goals. Through coursework and individual work with a faculty advisor, students tailor the program to their individual interests.",https://www.csulb.edu/college-of-liberal-arts/communication-studies/ma-in-communication-studies,,,Master of Arts in Communication Studies,https://www.eiu.edu/commstudiesgrad/
,"The Master of Arts degree in Economics offers students the opportunity to become professional economists or to improve the skills that they use in their current careers. The program’s main objectives are to provide students with a solid foundation in microeconomic and macroeconomic theory and to teach them how to use that theory and related quantitative tools to analyze a wide range of real-world economic issues.

The Department of Economics is committed to providing its students with the education and training they need to achieve their professional goals. Our M.A. students have gone on to work in private-sector jobs in fields like economic consulting, finance, and marketing, and in public-sector jobs with agencies like the Bureau of Labor Statistics, the Government Accountability Office, and the California Franchise Tax Board. They have also entered Ph.D. programs at universities such as Caltech, the University of North Carolina, the University of Texas, UC Berkeley, UC Davis, and UC Santa Barbara.

Our program provides a rigorous curriculum that teaches you the theoretical and quantitative skills that will serve you well in your career or in Ph.D. programs.",https://www.csulb.edu/college-of-liberal-arts/economics/ma-in-economics,,,Master of Arts in Economics,https://www.csulb.edu/graduate-studies
,"The Master of Arts in English at CSULB is an innovative and flexible program that prepares students for a variety of careers and for further study in doctoral programs. It is designed to broaden and deepen students’ knowledge of literary history, literary and rhetorical theory, and textual analysis. The M.A. in English features three main components: a small number of core courses in literary theory, research methods, and pedagogy; a wide range of electives that allows students to devise their own course of study; and a capstone experience in which students choose among a thesis, a project, or a comprehensive examination.",https://cla.csulb.edu/departments/english/ma-in-english/,,,Master of Arts in English,https://www.csulb.edu/graduate-studies
"Fiction, Poetry","Welcome to the CSULB MFA program. The faculty and I are all pleased to have you here, and we look forward to working with you for the next few years to develop your skills as a creative writer, literary critic, and teacher. The MFA at CSULB is a unique program, one that prides itself on its close-knit community, its innovative approaches to creative writing and literary study, and its commitment to social justice. We believe these values foster a supportive atmosphere in which to take on the difficult challenge of becoming a better writer and a more sophisticated reader. The MFA is a 48-unit terminal degree in Creative Writing, with separate emphases in Fiction and Poetry. Students must complete 48 units of coursework, including 15 units of writing workshops, 12 units of literature courses, 9 units of electives (craft courses, additional literature courses, or additional workshops), 6 units of thesis work, and 6 units of teaching-related courses (ENGL 696 and ENGL 500 or ENGL 497). The degree is typically completed in 3 years.",https://cla.csulb.edu/departments/english/mfa/,,,Master of Fine Arts in English - Creative Writing,https://cla.csulb.edu/departments/english/mfa/wp-content/uploads/2021/09/MFA-Handbook-Rev-2021-1.pdf
,The Master of Arts degree program in French and Francophone Studies provides students with a solid and broad foundation in the major periods of French and Francophone literature as well as in the principal domains of linguistics. It is designed to prepare students for a career in teaching at the secondary school or community college level or for further study at the doctoral level. Students work in close collaboration with a Graduate Advisor to elaborate an individual program that corresponds to their own interests and professional goals.,http://catalog.csulb.edu/preview_program.php?catoid=8&poid=3681,,Master of Arts,Master of Arts in French & Francophone Studies,https://www.csulb.edu/graduate-studies
,"The Master of Science in Geographic Information Science (MSGISci) is a one-year, 30-unit program that can be completed in 12 months for full-time students (four courses per semester, plus a two-course summer capstone experience) or 24 months for part-time students. The MSGISci degree provides students with advanced academic and technical training in the field of Geographic Information Science (GISci), including GIS, GPS, remote sensing, and computer cartography. The degree is targeted to working professionals and recent college graduates who desire advanced training in geospatial technologies. As an applied professional degree program, students learn both the theory behind the technology and practical experience in using geospatial hardware and software to solve real-world problems. With these skill sets, graduates will be ready to enter or advance in the fast-growing geospatial technology industry in both the public and private sectors. With a MSGISci degree, you will be well prepared for a career as a GIS Analyst, GIS Specialist, GIS Manager, GIS Project Manager, Remote Sensing Analyst, or Geospatial Application Developer in a variety of fields including urban planning, environmental management, marketing, real estate, transportation, and public safety.",https://www.csulb.edu/college-of-liberal-arts/geography/ms-in-geographic-information-science,,,Master of Science in Geographic Information Science,https://www.youtube.com/watch?v=r4DOUQ6COYA
"Geospatial Science (GIS, Remote Sensing, Cartography), Urban & Cultural Geography, Environmental & Physical Geography, Global & Regional Studies","The Department of Geography at California State University, Long Beach offers a flexible Master of Arts (M.A.) degree that can be tailored to the interests and career goals of each student. We provide a broad-based graduate education that covers the major sub-disciplines of geography, as well as specialized training in several key areas. Students may focus on one of the following areas of specialization, or develop a specific program of study tailored to their individual interests: Geospatial Science (GIS, Remote Sensing, Cartography), Urban & Cultural Geography, Environmental & Physical Geography, and Global & Regional Studies. The M.A. in Geography at CSULB offers students an opportunity to work closely with our award-winning faculty in small seminar settings and on research projects. Our graduate courses allow for a high degree of faculty-student interaction and personalized advising.",http://www.csulb.edu/geography,,,Master of Arts in Geography,https://cla.csulb.edu/departments/geography/wp-content/uploads/2019/10/INVITATION-TO-GRADUATE-STUDY-GEOGRAPHY-CSULB-web.pdf
,"The M.A. in German provides students with a solid and comprehensive foundation in German literature and culture from the 18th century to the present. The program is designed to prepare students for doctoral work at other institutions and for teaching at the secondary school or community college level. It also serves the needs of students who are pursuing a degree for personal enrichment or to enhance their professional qualifications in other fields, such as international business, government, translation/interpretation, and the like.",https://cla.csulb.edu/departments/rgrll/german/ma-in-german/,,Master of Arts,Master of Arts in German,https://cla.csulb.edu/departments/rgrll/wp-content/uploads/2012/06/German-MA-Application-RGRLL-Website.pdf
"United States History, European History, World History","The Master of Arts in History provides advanced historical training to students from a wide variety of academic backgrounds. The program is designed for students who desire to continue on to a doctoral program, to teach at the secondary school or community college level, or for those who desire the M.A. for personal or professional enrichment. Students at CSULB learn the historian’s craft: researching in archives and libraries, working with primary and secondary sources, engaging in historiographical debates, and writing analytical, evidence-based narratives. M.A. students at CSULB enjoy a close rapport with faculty who are committed and caring teachers as well as active and publishing scholars. The program is flexible enough to accommodate both full- and part-time students. Most graduate seminars are offered in the late afternoons and evenings to accommodate our students’ work schedules.",https://www.csulb.edu/college-of-liberal-arts/history/ma-program-in-history,,,Master of Arts in History,https://www.csulb.edu/graduate-studies
,"The Master of Arts in International Affairs is an interdisciplinary program designed to prepare students for careers in government service, international institutions, and non-profit organizations. It offers an advanced understanding of the political, economic, historical, and cultural factors that shape relations among nations. The curriculum combines area studies courses, which examine specific regions of the world, with courses that explore the global forces that affect all nations. Through its interdisciplinary approach, students can acquire the breadth of knowledge and the analytical skills necessary to succeed in a variety of careers with an international focus.",https://www.csulb.edu/college-of-liberal-arts/political-science/ma-in-international-affairs,,MA,Master of Arts in International Affairs,https://www.csulb.edu/graduate-studies
,"The master’s degree in Italian Studies at CSULB offers two distinctive curricular options to meet the needs of a variety of students, from those who plan to pursue a Ph.D. to those who are K-12 teachers, to those who want to work in an international context. Both options can be completed on a full-time or part-time basis, in the late afternoon and evening, to accommodate our students’ busy schedules.

Option A is the traditional curriculum based on the study of Italian literature. It is conceived as a two-year course of study for full-time students. It prepares students for a variety of professions and provides a solid foundation for those students who are interested in pursuing a doctoral degree in Italian Studies.

Option B offers an interdisciplinary curriculum focused on Italian culture and society seen through the lenses of literature, film, and cultural studies. It can be completed in as little as 12 months for full-time students. It caters to the needs of students interested in K-12 teaching as well as in other professions where a solid knowledge of contemporary Italian language and culture is required. The curriculum of Option B is characterized both by a solid core of coursework in the study of Italian language, literature, and culture and by an interdisciplinary approach to the subject.",https://www.csulb.edu/george-l-graziadio-center-for-italian-studies/programs,,Master of Arts,Master of Arts in Italian Studies,https://www.csulb.edu/george-l-graziadio-center-for-italian-studies/programs
Language & Culture,"The Master of Arts in Linguistics program at CSULB offers students a strong foundation in the primary areas of linguistics. Students complete a program of study that prepares them for advanced study at the doctoral level, or for employment in a range of fields that value the critical thinking skills of a trained linguist. The M.A. in Linguistics has two options: Language and Culture, and Teaching English to Speakers of Other Languages (TESOL). The Language and Culture option focuses on linguistic analysis and documentation of under-described languages, with an emphasis on languages of the Americas. The TESOL option is a professional degree in the theory and practice of language pedagogy for students who wish to teach English as a second or foreign language in the U.S. or abroad.",https://www.csulb.edu/college-of-liberal-arts/linguistics-department/ma-linguistics,,,Master of Arts in Linguistics with option in Language & Culture,https://www.csulb.edu/college-of-liberal-arts/linguistics-department/ma-linguistics
General Linguistics,"The Department of Linguistics offers a Master of Arts degree in Linguistics. Students may choose one of three options within the M.A. program: General Linguistics, Language and Culture, or TESL/TEFL (Teaching English as a Second/Foreign Language). The M.A. program is designed to provide students with a solid foundation in the major subfields of linguistics (phonology, syntax, and semantics). Having acquired this foundation, students then have the opportunity to pursue advanced coursework in these and other areas of linguistics and applied linguistics.",https://www.csulb.edu/college-of-liberal-arts/linguistics/ma-in-linguistics,,,Master of Arts in Linguistics with option in General Linguistics,https://www.csulb.edu/graduate-studies
Special Concentration,"The Master of Arts in Linguistics is designed to provide students with a strong foundation in the primary areas of linguistics. Students may select an option in General Linguistics, Language and Culture, Teaching English to Speakers of Other Languages (TESOL), or a Special Concentration. This program prepares students for careers in industry and government, for teaching English at the community college level or overseas, and for further study in linguistics and related fields at the doctoral level.",http://catalog.csulb.edu/preview_program.php?catoid=8&poid=3677,,Master of Arts,Master of Arts in Linguistics with option in Special Concentration,https://www.csulb.edu/graduate-studies
Teaching English to Speakers of Other Languages (TESOL),"The M.A. in Linguistics with the TESOL Option provides students with a strong background in linguistics coupled with a deep understanding of the second language acquisition process. Through their coursework, students will learn to apply this knowledge to the practicalities of second language teaching. In addition to a broad selection of courses focusing on linguistic theory, second language acquisition, and pedagogical practice, we also offer our students a range of hands-on opportunities designed to help them develop as teachers. These include a teaching practicum in our on-campus ESL program (the American Language Institute), a student-run journal (The Lingua Franca), and a vibrant schedule of departmental events.",https://www.csulb.edu/college-of-liberal-arts/linguistics/ma-in-linguistics,,Master of Arts,Master of Arts in Linguistics with option in Teaching English to Speakers of Other Languages,https://www.csulb.edu/graduate-studies
