Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Arts in Liberal Studies,https://www.udel.edu/academics/colleges/cas/prospective-students/undergraduate-programs/bachelor-arts-liberal-studies/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Political Science,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Psychology,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To apply as a first-year student, you will need to submit a completed application (either the Western New England Application or the Common Application), your official high school transcript, one letter of recommendation, and an essay or personal statement. Western New England University is Test-Optional, so submitting SAT/ACT scores is not required.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Secondary Education in English,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To be considered for admission, you must submit the following:

A completed application for admission through the Common Application or the WNE Application.
An official high school transcript.
One letter of recommendation from your school counselor or a teacher.
A personal essay or writing sample.
An official report of scores on the SAT or the ACT (optional).",Optional,True,True,,False,False,False,,,program,
Bachelor of Arts in Secondary Education in History,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To apply as a first-year student, please submit the following: Completed Application (online), Official High School Transcript, Essay or Personal Statement, Letter of Recommendation (one), SAT/ACT Scores (optional for most majors).",Not Required,True,True,,False,False,False,,,program,
Bachelor of Science in Actuarial Science,https://wne.edu/academics/undergraduate/actuarial-science.cfm,Not Required,Optional,"To apply for admission as a first-year student, the following is required:

- Completed Application (either the Western New England University Application or the Common Application)
- Official High School Transcript(s)
- One Letter of Recommendation (from a teacher or school counselor)
- Personal Essay or Graded Paper
- SAT/ACT Scores (Optional)",Optional,True,True,,True,False,False,,,program,
Bachelor of Science in Bioengineering and Biomedical Engineering,https://wne.edu/academics/undergraduate/biomedical-engineering.cfm,Not Required,Not Required,"Application requirements for first-year students include a completed application (either the WNE Application or the Common Application), official high school transcript(s), one letter of recommendation from a teacher or school counselor, and a personal essay. Students applying to Engineering programs, including Biomedical Engineering, are required to submit SAT or ACT scores.",Not Required,True,False,,True,True,True,,,program,
Bachelor of Science in Biology,https://wne.edu/academics/undergraduate/index.cfm,Optional,Required,"Applicants must submit a completed application (either the Common Application or the Western New England University Application), official high school transcript(s), at least one letter of recommendation from a teacher or school counselor, and an essay or personal statement.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Chemistry,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Civil Engineering,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Computer Engineering,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Computer Science,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Criminal Justice,https://wne.edu/academics/undergraduate/doc/criminal-justice-handout.pdf,Not Required,Not Required,"Required application materials include: Completed Common Application or Western New England University Application, Official High School Transcript, One Letter of Recommendation from a teacher or school counselor. WNE is a Test Optional institution. Submission of SAT or ACT scores is optional for most majors.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Science in Cybersecurity,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Data Science and Statistics,https://wne.edu/arts-and-sciences/departments/mathematics/programs.cfm,,Required,"To apply, students must submit either the Common Application or the Western New England University Application, an official high school transcript, one letter of recommendation, and an essay or personal statement. Standardized test scores (SAT/ACT) are optional for the BS in Data Science and Statistics program.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Electrical Engineering,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Finance,https://wne.edu/academics/undergraduate/finance.cfm,Not Required,Not Required,"To apply for first-year admission, applicants must submit a completed Common Application or the WNE Application, official high school transcript(s), one letter of recommendation (from a teacher or school counselor), and a Personal Essay/Writing Sample. Submission of SAT/ACT scores is optional.",Required,True,True,,True,False,False,,,program,
Bachelor of Science in Forensic Biology,https://wne.edu/academics/undergraduate/index.cfm,Optional,Required,"To apply for admission, please submit the following: The Common Application or the Western New England University Application, Official High School Transcript(s), One letter of recommendation from a teacher or school counselor is required, An essay or personal statement is required. Western New England University is Test Optional. Submission of SAT or ACT scores are not required for admission for most majors.",,False,False,,True,False,False,,,program,
Bachelor of Science in Forensic Chemistry,https://wne.edu/academics/undergraduate/forensic-chemistry.cfm,Not Required,Required,"Required Application Materials:
- Completed Application for Admission: We accept the Common Application or the Western New England University Application.
- Official High School Transcript(s): Please have your school counselor send your official high school transcript(s) to us electronically (if possible) or by mail.
- One Letter of Recommendation: From a school counselor or teacher.
- Essay/Personal Statement: We want to learn more about you!",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Health Sciences (Pre-Optometry concentration),https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Health Sciences (Pre-Physician's Assistant concentration),https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Health Studies (3+3 OTD option),https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"Application requirements include a completed Common Application or Western New England University Application, official high school transcript(s), one letter of recommendation, and an essay or personal statement. The 3+3 Doctor of Occupational Therapy (OTD) option is an exception to the University's test-optional policy and requires standardized test scores. To be considered for direct entry from high school, applicants must have a minimum cumulative high school GPA of 3.3, and an SAT score of 1100 (Evidence-Based Reading and Writing and Math) or an ACT composite score of 22.",Not Required,True,False,,False,False,False,22.0,1100.0,program,
Bachelor of Science in Industrial Engineering,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To apply for admission, first-year students must submit the following: Completed Common Application or the Western New England University Application (no fee), Official High School Transcript, One Letter of Recommendation (from a teacher or school counselor), Personal Essay.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Information Technology,https://catalog.purdueglobal.edu/undergraduate/business-information-technology/information-technology-bs/,Not Required,Not Required,"To be considered for admission as a first-year student, you will need to submit the following: Common Application or WNE Application; Official high school transcript(s); One letter of recommendation from a teacher or school counselor; SAT or ACT scores (optional for most programs*).",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Management Sciences and Information Systems,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Marketing,https://wne.edu/academics/undergraduate/index.cfm,,Required,"A completed Common Application or WNE Application; Official high school transcript(s) including senior year first quarter/trimester grades; One letter of recommendation from a school counselor or a teacher who has taught you in an academic course (English, math, science, social studies, or world language); Personal Essay (included with application).",Not Required,True,True,,False,False,False,,,program,
Bachelor of Science in Mathematical Sciences,https://wne.edu/arts-and-sciences/departments/mathematics/programs.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Mechanical Engineering,https://wne.edu/academics/undergraduate/index.cfm,Optional,Required,"To apply for admission as a first-year student, you will need to submit the following: A completed application (You may apply using the Common Application or the WNE Application. Both are FREE.); Official high school transcript; One letter of recommendation from a school counselor or teacher; Personal Essay/Writing Sample.",Required,True,False,,True,False,False,,,program,
Bachelor of Science in Neuroscience and Neurobiology,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To apply as a first-year student, you will need the following: A completed Common Application or WNE Application, Official high school transcript, Official SAT I or ACT scores (if you choose to submit them), One letter of recommendation from a teacher or guidance/college counselor, A college essay or personal statement.",Not Required,True,True,,True,False,False,,,program,
"Bachelor of Science in Network, Database, and System Administration",https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To apply as a first-year student, you will need the following: Completed Common Application or the Western New England University Application, Official high school transcript(s), Official standardized test scores (SAT or ACT). Western New England University is a test optional institution for most majors, Letter of Recommendation, Personal Essay/Personal Statement.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Pharmacy and Pharmaceutical Sciences,https://www.stcc.edu/media/departments/transfer-documents-and-pdfs/All-Grads-WNEU-College-of-Pharmacy.pdf,,,,,True,False,,False,False,False,,,program,
Bachelor of Science in Psychology (3+3 OTD option),https://wne.edu/enrollment-services/registrar/catalog.cfm,Not Required,Required,"Students must meet the standard undergraduate admissions criteria and indicate their interest in the 3+3 Doctor of Occupational Therapy (OTD) program on their undergraduate application. Required application materials include a completed Common Application or Golden Bear Application, official high school transcript(s), a Secondary School Report Form and a letter of recommendation from a school counselor, and a letter of recommendation from a teacher.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Robotics and Automation Engineering,https://wne.edu/engineering/index.cfm,Not Required,Required,"To be considered for admission, first-year applicants must submit the following:

- A completed application for admission, including an essay. Western New England University accepts the Common Application.
- An official high school transcript.
- An official record of your SAT and/or ACT scores (optional for most programs).
- One letter of recommendation from your school counselor or a teacher.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Secondary Education in Biology,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"To be considered for admission, first-year applicants must submit the following: Completed Common Application or Western New England University Application; Official high school transcript; One letter of recommendation from a teacher or school counselor; Essay/Personal Statement; Official SAT or ACT Scores (optional).",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Secondary Education in Chemistry,https://wne-academic-catalog-2025-26.catalog.prod.coursedog.com/programs/SECCH.BS,Not Required,Required,"To apply for admission as a first-year student, you will need to submit the following: Completed Common Application or Western New England University Application, including the essay and application fee; Official high school transcript; One letter of recommendation from a school counselor or teacher. Western New England University is a test-optional institution. Submission of SAT or ACT test scores is not required for admission for most programs.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Secondary Education in Mathematics,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Sport and Fitness Management,https://www.sacredheart.edu/majors--programs/sport-management---bs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Associate of Arts in Liberal Studies,https://online.umaine.edu/online-associate-of-arts-in-liberal-studies/,,,,,False,False,,False,False,False,,,program,
Minor in Accounting,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in African-American Studies,https://catalog.gmu.edu/colleges-schools/humanities-social-sciences/african-american-studies/african-american-studies-minor/,,,,,False,False,,False,False,False,,,program,
Minor in Art,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Athletic Coaching,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"A minor in Athletic Coaching is available to all undergraduate students. Students must first be admitted to an undergraduate degree program at the university. Application requirements for first-year undergraduate admission include a completed application (Common Application or WNE Application), official high school transcript, an essay or personal statement, and one letter of recommendation. Western New England University is Test-Optional, meaning SAT and ACT scores are not required for admission.",Not Required,True,True,,False,False,False,,,program,
Minor in Biology,https://wne.edu/academics/undergraduate/minor-biology.cfm,,,,,True,False,,True,False,False,,,program,
Minor in Biomedical Physics,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,"As this is a minor, students declare it after being admitted to the university. The general requirements for first-year admission to Western New England University include: a completed Common Application or Western New England University Application, an official high school transcript, and one letter of recommendation from a teacher or school counselor. Western New England University is a test-optional institution for most programs.",Not Required,True,True,,True,False,False,,,program,
Minor in Business,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,"The Minor in Business is designed to provide the non-business major with a solid foundation in the general concepts of business. To declare a minor, students should speak to their advisor and complete a form available through the appropriate Dean's office.",Not Required,True,False,,False,False,False,,,program,
Minor in Campaigns & Elections,https://wne.edu/academic-affairs/doc/catalogues/2022-2023.pdf,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Chemistry,https://wne.edu/academics/undergraduate/index.cfm,,,,,False,False,,True,False,False,,,program,
Minor in Communication,https://wne.edu/academics/undergraduate/communication.cfm,,,,,True,False,,False,False,False,,,program,
Minor in Computer Forensics,https://wne.edu/academics/undergraduate/minor-computer-forensics.cfm,,,,,False,False,,False,False,False,,,program,
Minor in Computer Science,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,,Not Required,True,False,,True,False,False,,,program,
Minor in Creative Writing,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,
Minor in Criminal Justice,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Cybersecurity,https://wne.edu/academics/undergraduate/index.cfm,,,,,True,False,,True,False,False,,,program,
Minor in Digital Marketing,https://wne.edu/academics/undergraduate/index.cfm,,,,,True,False,,False,False,False,,,program,
Minor in Digital Publishing,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,
Minor in Economics,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Education,https://wne.edu/enrollment-services/registrar/doc/WNE-Academic-Catalog-2023-24.pdf,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in English,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Enterprise Resource Planning with SAP,https://wne.edu/academics/undergraduate/index.cfm,,,,,True,False,,False,False,False,,,program,
Minor in Entertainment Management,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Entrepreneurship,https://wne.edu/academics/undergraduate/index.cfm,,,"Students who wish to pursue a minor should consult with their academic advisor and the department chair for the minor. To declare a minor, students should obtain the Declaration of Minor form from the dean’s office of their respective college.",,True,False,,False,False,False,,,program,
Minor in Environmental Science,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Film Studies,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Finance,https://wne.edu/academics/undergraduate/index.cfm,,,,,False,False,,False,False,False,,,program,
Minor in Forensic Science,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Gender & Sexuality Studies,https://wne-academic-catalog-2025-26.catalog.prod.coursedog.com/undergradinfo/minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Health Sciences,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,,Not Required,True,False,,True,False,False,,,program,
Minor in History,https://wne.edu/academics/undergraduate/minor-history.cfm,,,"To declare a minor, students should obtain the appropriate form from the Dean's Office of their College.",,True,False,,False,False,False,,,program,
Minor in Human Resources Management,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,"A minor in Human Resources Management is available to any Western New England University student. The process to declare a minor is for students who are already enrolled at the university. Application requirements for general first-year admission include: Common Application or WNE Application, Official high school transcript(s), One letter of recommendation (from a teacher or school counselor), and a Personal Essay/Writing Sample. Western New England University is a Test Optional institution.",Required,True,False,,False,False,False,,,program,
Minor in International Business,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in International Studies,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,Students must complete 21 credits in the following areas with a grade of C- or better in each course and a minimum GPA of 2.0 in the minor.,Not Required,True,False,,False,False,False,,,program,
Minor in Journalism,https://wne.edu/academics/undergraduate/index.cfm,,,A minor in Journalism is open to students in all majors.,,True,False,,False,False,False,,,program,
Minor in Latin American Studies,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Legal Studies,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Management,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Marketing,https://belmontabbeycollege.edu/academics/majors-degrees/minor-marketing/,Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,
Minor in Mathematical Sciences,https://wne.edu/academics/undergraduate/minor-mathematical-sciences.cfm,Not Required,Not Required,"A Minor in Mathematical Sciences consists of 18 credits.

REQUIRED COURSES (12 credits)

MATH 133 Calculus I
MATH 134 Calculus II
MATH 235 Calculus III

SELECT ONE COURSE FROM THE FOLLOWING:

MATH 201 Introduction to Discrete Mathematics
MATH 307 Linear Algebra
MATH 315 Ordinary Differential Equations

ELECTIVES (6 credits)
Select two additional courses from the following:

Any MATH course numbered 200 or above

Note: At least two of the six required courses must be taken at Western New England University.",Not Required,True,False,,False,False,False,,,program,
Minor in Media,https://wne.edu/academics/undergraduate/minor-media.cfm,,,,,True,False,,False,False,False,,,program,
Minor in Music,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Neuroscience,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Philosophy,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,
Minor in Political Science,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Psychology,https://wne.edu/academics/undergraduate/index.cfm,,,,,True,True,,False,False,False,,,program,
Minor in Public Administration,https://wne.edu/academics/undergraduate/index.cfm,,,,,True,False,,False,False,False,,,program,
Minor in Public Relations,https://wne.edu/academics/undergraduate/index.cfm,,,,,True,False,,False,False,False,,,program,
Minor in Quantitative Economics,https://wne.edu/academics/undergraduate/index.cfm,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Spanish,https://spanport.washington.edu/spanish-minor-requirements,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Statistics,https://catalog.purdue.edu/preview_program.php?catoid=9&poid=10391,,,,,True,False,,True,False,False,,,program,
Minor in Theater,https://wne-academic-catalog-2025-26.catalog.prod.coursedog.com/programs/hLYrORcUeOaXuvNs3bMU,,,,,True,False,,False,False,False,,,program,
3+3 Doctorate in Occupational Therapy,https://wne.edu/academics/undergraduate/index.cfm,Not Required,Required,"First-year students apply to the Pre-Occupational Therapy major. The application process requires a completed Common Application or Western New England University Application, official high school transcript, one letter of recommendation, and an essay. To be considered for the 3+3 track, you will also be required to complete an interview with OT faculty.",Not Required,True,False,,False,False,False,,,program,
