ProgramName,CollegeId
Bachelor of Science in English – English Language Linguistics,95
Bachelor of Arts in English – Literary Studies,95
Bachelor of Arts in English – Literature and Culture,95
Bachelor of Science in English – Secondary English Teacher Licensure,95
Bachelor of Science in Exercise Science,95
Bachelor of Business Administration in Finance,95
Bachelor of Business Administration in Finance – Real Estate,95
Bachelor of Science in Forensic Science,95
Bachelor of Science in Geosciences – Geology,95
Bachelor of Science in Geosciences – Physical Geography,95
Bachelor of Science in Global Studies and Human Geography – Global Studies,95
Bachelor of Science in Global Studies and Human Geography – Human Geography,95
Bachelor of Science in History,95
Bachelor of Science in History – History 6-12 Teacher Licensure,95
Bachelor of Science in History – Public History,95
Bachelor of Science in Horse Science,95
Bachelor of Science in Human Performance – Exercise Science,95
Bachelor of Science in Human Sciences – Fashion Merchandising,95
Bachelor of Science in Human Sciences – Interior Design,95
Bachelor of Science in Human Sciences – Nutrition and Food Science,95
Bachelor of Arts in Humanities,95
Bachelor of Science in Industrial-Organizational Psychology,95
Bachelor of Business Administration in Information Systems,95
Bachelor of Science in Integrated Studies – Applied Leadership,95
Bachelor of Science in Integrated Studies,95
Bachelor of Science in Integrated Studies – Public Safety,95
Bachelor of Science in Interactive Media,95
Bachelor of Science in Interior Architecture,95
Bachelor of Science in International Relations,95
Bachelor of Science in Journalism,95
Bachelor of Science in Journalism – Entertainment Journalism,95
Bachelor of Science in Journalism – Environmental Journalism and Communication,95
Bachelor of Science in Journalism – Investigative Journalism,95
Bachelor of Science in Journalism – Media Design,95
Bachelor of Science in Journalism – Media Studies,95
Bachelor of Science in Journalism – Sports Media,95
Bachelor of Science in Law Enforcement,95
Bachelor of Science in Leisure and Sport Management,95
Bachelor of Business Administration in Management,95
Bachelor of Business Administration in Management – Human Resource Management,95
Bachelor of Business Administration in Marketing,95
Bachelor of Business Administration in Marketing – Digital Marketing,95
Bachelor of Business Administration in Marketing – Professional Selling,95
Bachelor of Science in Mathematical Sciences – Actuarial Science,95
Bachelor of Science in Mathematical Sciences – Mathematics,95
Bachelor of Science in Mathematical Sciences – Mathematics Teacher Licensure,95
Bachelor of Science in Mathematical Sciences – Statistics,95
Bachelor of Music,95
Bachelor of Music in Music – Commercial Songwriting,95
Bachelor of Science in Music – Music Business,95
Bachelor of Music in Music – Music Industry,95
Bachelor of Music in Music – Music Performance,95
Bachelor of Music in Music – Music Studies,95
Bachelor of Music in Music – Music Theory and Composition,95
Bachelor of Music in Music – Musicology,95
Bachelor of Music in Music – Theatre,95
Bachelor of Science in Nursing,95
Bachelor of Arts in Philosophy,95
Bachelor of Science in Physics – Applied Physics,95
Bachelor of Science in Physics – Astronomy,95
Bachelor of Science in Physics – Physics Teaching,95
Bachelor of Science in Physics – Professional Physics,95
Bachelor of Science in Physics – Quantum Science and Computing,95
Bachelor of Science in Plant and Soil Science,95
Bachelor of Science in Political Science,95
Bachelor of Science in Professional Studies – Health Administration,95
Bachelor of Science in Professional Studies – Information Technology,95
Bachelor of Science in Professional Studies – International Organizational Leadership,95
Bachelor of Science in Professional Studies – Organizational Leadership,95
Bachelor of Science in Psychology,95
Bachelor of Science in Public Health,95
Bachelor of Science in Recording Industry,95
Bachelor of Science in Recording Industry – Audio Production,95
Bachelor of Science in Recording Industry – Commercial Songwriting,95
Bachelor of Science in Recording Industry – Music Business,95
Bachelor of Arts in Religious Studies,95
Bachelor of Science in Science – Allied Health Science,95
Bachelor of Science in Science – Allied Health Technology,95
Bachelor of Science in Science – General Science,95
Bachelor of Science in Science – Medical School Early Acceptance Program (MSEAP),95
Bachelor of Social Work,95
Bachelor of Science in Sociology,95
Bachelor of Science in Sociology – Criminology,95
Bachelor of Science in Sociology – Social Justice,95
Bachelor of Arts in Spanish,95
Bachelor of Science in Speech-Language Pathology and Audiology,95
Bachelor of Arts in Theatre,95
Bachelor of Arts in Theatre – Theatre Education,95
"Aerospace B.S. (Aerospace Technology, Flight Dispatch and Maintenance Management only)",95
Undergraduate Certificate in Agri-Analytics,95
Bachelor of Science in Biochemistry,95
Bachelor of Science in Biology – Genetics and Biotechnology,95
Bachelor of Science in Biology – Teacher Licensure (MTeach),95
Bachelor of Science in Chemistry – ACS Certified,95
Master of Science in Computer Science,95
Bachelor of Science in Data Science,95
"Bachelor of Science in Engineering Technology, Computer Eng. Tech.",95
Bachelor of Science in Environmental Sustainability and Tech.,95
Master of Science in Geosciences,95
Bachelor of Science in Mathematics – Advanced Mathematics,95
Bachelor of Science in Mathematics – Professional Mathematics,95
Bachelor of Science in Mathematics – Statistics and Data Analysis,95
Accounting Minor,95
Agriculture Minor,95
Anthropology Minor,95
Business Administration Minor,95
Business Analytics Minor,95
Business Law Minor,95
Communication Minor,95
Criminal Investigation Minor,95
Criminal Justice Administration Minor,95
Cultural Geography Minor,95
Driver and Traffic Safety Education Minor,95
Economics Minor,95
Economics/Finance Minor,95
Engineering Technology Minor,95
English Minor,95
Environmental Science Minor,95
Finance Minor,95
Healthcare Administration Minor,95
History Minor,95
Homeland Security Minor,95
Human Sciences Minor,95
Information Systems Minor,95
Journalism Minor,95
Leisure and Sport Management Minor,95
Management Minor,95
Marketing Minor,95
Mass Communication Minor,95
Nutrition and Food Science Minor,95
Political Science Minor,95
Certificate in Professional Selling,95
Psychology Minor,95
Public Health Minor,95
Public Relations Minor,95
Medieval Studies Minor,95
Musical Theatre Performance Minor,95
Great Books Minor,95
African-American Studies Minor,95
Entrepreneurship Minor,95
Electronics Minor,95
Engineering Systems Minor,95
Bachelor of Arts in Africana Studies,95
Bachelor of Science in Africana Studies,95
African Studies Minor,95
Asian Studies Minor,95
Behavioral Research Minor,95
Classical Studies Minor,95
