Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,error,level
,"The Asian Religions major is designed for students who wish to focus on the study of religions in Asia. The major provides students with a broad knowledge of the history, philosophy, and practices of Asian religions, as well as the ability to read and analyze primary texts in Asian languages.",https://www.alc.ucla.edu/undergraduate/majors/asian-religions/,,Bachelor of Arts in Asian Religions,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BA,,
"East Asia, South Asia, or Southeast Asia","The Asian Studies major is an interdisciplinary program that allows students to study the cultures, histories, and societies of Asia from a variety of perspectives. The major is designed to provide students with a broad knowledge of the region and its global context, as well as depth in a specific geographic area (East Asia, South Asia, or Southeast Asia). Through their coursework, students develop a multi-disciplinary understanding of the region and its place in the world, while also developing proficiency in an Asian language. The program prepares students for a wide range of careers in international business, law, journalism, government, and non-profit organizations, as well as for graduate study in a variety of fields.",https://www.international.ucla.edu/idps/asianstudies/,,Bachelor of Arts in Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Astrophysics major is designed for students who plan to enter graduate school in astronomy or astrophysics, or who want a satisfactory foundation for careers in space sciences, such as with a research institute, a government laboratory, or a space-oriented industry. It is also suitable for students who wish to use their physics and mathematics background to pursue a career in a different field.",https://pa.ucla.edu/undergraduate-students/majors-and-minors/astrophysics-major/,,Bachelor of Science in Astrophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BS,,
,"The atmospheric and oceanic sciences major provides a comprehensive examination of the Earth’s atmosphere and oceans. This includes a study of the physics, chemistry, and dynamics of the atmosphere; the oceans and their interaction with the atmosphere; and the role of the atmosphere and oceans in the Earth’s climate system. Students learn about the fundamental physical and chemical processes that govern the behavior of the atmosphere and oceans, and develop the mathematical and computational skills necessary to model and predict these processes. The curriculum is designed to prepare students for graduate study or careers in atmospheric and oceanic sciences, environmental consulting, and related fields.",https://aos.ucla.edu/undergraduate/undergraduate-majors/atmospheric-and-oceanic-sciences-b-s/,,Bachelor of Science in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Atmospheric and Oceanic Sciences/Mathematics major is designed for students who are interested in the physics and chemistry of the atmosphere and oceans and who want a strong mathematical background. It provides excellent preparation for graduate study in atmospheric and oceanic sciences or other related fields, as well as for careers in government, industry, and teaching.",https://catalog.registrar.ucla.edu/degree-programs/undergraduate/atmospheric-and-oceanic-sciences/atmospheric-and-oceanic-sciences-mathematics-bs/,,Bachelor of Science in Atmospheric and Oceanic Sciences/Mathematics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
Specialization in Computing,"The Biochemistry major is designed to provide students with a thorough grounding in the principles of chemistry as they apply to biological systems. The major includes courses in general, organic, and physical chemistry, as well as courses in biochemistry, genetics, and molecular biology. Students also take laboratory courses that provide hands-on experience in biochemical techniques. It is also designed for students who want to enter the health professions or who want to work in the biotechnology or pharmaceutical industries. The major provides a strong foundation in chemistry, biology, and physics, with an emphasis on the molecular basis of life.",https://www.chemistry.ucla.edu/undergraduate/majors/biochemistry-major/,The Bachelor of Science degree in Biochemistry is accredited by the American Chemical Society (ACS).,Bachelor of Science in Biochemistry,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,,,,Bachelor of Science in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 4. Meaning that the model was reciting from copyrighted material.",
,"The Biology major is the general major in the Department of Ecology and Evolutionary Biology (EEB). The curriculum is designed to provide students with a broad background in the biological sciences, including genetics, evolution, ecology, and physiology. It is also suitable for students who wish to pursue a career in the health sciences.",https://www.eeb.ucla.edu/undergraduate/majors-minors/biology-major/,,Bachelor of Science in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Biophysics major is designed for students who wish to prepare for a career or graduate study in biophysics, bioengineering, biology, physics, or a health-related field. It provides a strong foundation in the core areas of physics—mechanics, electromagnetism, and quantum mechanics—and in the specialized area of biophysics. Students also gain experience in biology and chemistry, focusing on the application of physical principles to biological systems.",https://www.pa.ucla.edu/biophysics-major.html,,Bachelor of Science in Biophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BS,,
Value Investing Concentration; Computing Specialization,"The Business Economics major is designed for students who wish to combine the study of economics with business-related applications. Students are required to take courses in accounting, finance, and other business-related fields, in addition to the core economics curriculum.",https://economics.ucla.edu/undergraduate/current-students/majors/business-economics/,,Bachelor of Arts in Business Economics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The major in Central and East European Languages and Cultures is designed for students who wish to focus their studies on the languages, literatures, and cultures of Central and Eastern Europe. The program is designed to provide students with a broad knowledge of the region and to allow them to focus their studies on a particular area of interest.",https://slavic.ucla.edu/undergraduate/majors/central-and-east-european-languages-and-cultures/,,Bachelor of Arts in Central and East European Languages and Cultures,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Biomolecular Engineering, Biomedical Engineering, Environmental Engineering, and Semiconductor Manufacturing","The Chemical Engineering program provides a solid foundation in the fundamental principles of chemical engineering, including thermodynamics, transport phenomena, kinetics, and process control. The program also offers students the opportunity to gain expertise in specialized areas such as biomolecular engineering, semiconductor manufacturing, and environmental engineering. Through a combination of classroom instruction, laboratory experience, and research opportunities, students develop the skills necessary to design, analyze, and optimize chemical processes and systems. Graduates are prepared for careers in a wide range of industries, including chemicals, energy, biotechnology, and materials, as well as for further study in graduate or professional school.",https://www.chbe.ucla.edu/undergraduate-program/,"The Chemical Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",Bachelor of Science in Chemical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Chemistry major is designed to provide students with a broad background in the several traditional areas of chemistry—analytical, inorganic, organic, and physical. Students may also complete a more specialized course of study by choosing to emphasize one of those areas or by following a path that involves biochemistry, chemical physics, or materials chemistry. The major is designed to meet the needs of students who plan to continue their education in graduate school, who seek employment in a variety of industries, or who plan to enter a professional school such as medicine or dentistry.",https://catalog.registrar.ucla.edu/general-catalog/department-programs/chemistry-and-biochemistry/chemistry-bs,The Chemistry BS program is accredited by the American Chemical Society (ACS).,Bachelor of Science in Chemistry,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHBnl8sv3OZ0ncoqQOGal25UEmrUcvD8GeVIHXDaYTgilpCV2wH64fWTehcpTvpae5dN1tpyPRR7L_A0jk4Ln9JCP8qnHJouFeB6pzVNUaG8G39hRaaml-LxhIJdGMCvNqfh5tPz6HFqEYd2JJCiVj1czSHdnDGeS8Nnu-ORBDX770dtbU2Nt7oTc1QsPXWsJ7y,,,
,"The Chemistry/Materials Science major is designed for students who are interested in the chemistry of materials. Materials science is a broad, interdisciplinary field that involves applications from a number of traditional sciences and engineering disciplines. It involves the study of the relationships between the structure of materials at the atomic or molecular scale and their macroscopic properties. Materials scientists and engineers are at the center of virtually every area of modern technology, from electronics and computing to energy, transportation, and medicine.",https://catalog.registrar.ucla.edu/major/2024/chemistrymaterialssciencebs,,Bachelor of Science in Chemistry/Materials Science,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHqvx6hXvJf4Rk-K3OJ0bEdKIx6c9lu4gzZPBJhXYnYpsOQvN_VMDfHl1HXKRQ5872FHzLpHhdcErojApbzDr4mmGev-xqH1G0ULffnhm40aZ7M6Krk4AM-ocGXo0dXE_3HHLL7PujGraHkIFXssX8n5HZFMjEVyRUbU35GTSbAHyTEyXf4EhQY0zgYro25mvVf_4d2qQxRL6TjFsoktdKrXc6s,,,
"History, Culture, and Language; Social Science; Literature, Arts, and Media","The Chicana and Chicano Studies major is an interdisciplinary program that focuses on the Chicana/Chicano and Latina/Latino experience in the U.S. and beyond. The curriculum provides a broad-based, multidisciplinary education that encourages students to think critically about issues of race, class, gender, and sexuality in a global context. The major consists of a set of core courses and three areas of concentration: (1) history, culture, and language, (2) social science, and (3) literature, arts, and media. Students choose one area of concentration and take a series of courses within that area, as well as elective courses from the other two areas.",https://registrar.ucla.edu/academics/curriculum/chicanoa-and-central-american-studies,,Bachelor of Arts in Chicana and Chicano Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Bachelor of Arts in Chinese provides a foundation in the Chinese language and an overview of Chinese literature, culture, and linguistics. It prepares students for graduate study or for careers in a variety of fields including business, law, government, and education. Students gain proficiency in modern and classical Chinese and develop a critical understanding of the literature and culture of the Chinese-speaking world.",https://www.alc.ucla.edu/undergraduate/majors/chinese/,,Bachelor of Arts in Chinese,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BA,,
"Environmental Engineering, Geotechnical Engineering, Structural Engineering, and Water Resources Engineering","The civil engineering program is designed to provide students with a broad knowledge of the civil engineering profession and a strong foundation in mathematics, basic sciences, and engineering sciences, followed by a wide range of required and elective courses in various areas of civil engineering. The undergraduate curriculum is designed to prepare students for professional practice in civil engineering and for graduate study. All students take a core of courses that covers the primary subdisciplines of civil engineering. Students then choose to focus their studies in one or more of the following areas: environmental engineering, geotechnical engineering, structural engineering, and water resources engineering.",https://cee.ucla.edu/undergraduate-program/,"The Civil Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org",Bachelor of Science in Civil Engineering,https://www.fst.um.edu.mo/cee/degrees/bachelor/,,,
,"The Classical Civilization major is a program of broad-based study in the civilizations of Greece and Rome, with an emphasis on the literature and culture of the ancient world. Students take courses in Greek and Roman literature and culture, and they may choose to study ancient Greek or Latin as part of their major requirements. The major is designed to provide students with a comprehensive understanding of the history, literature, and culture of the ancient Mediterranean world. Students completing the Classical Civilization major should be able to: demonstrate broad-based knowledge of ancient Greek and Roman literature and culture; describe the history, literature, and culture of the ancient Mediterranean world; demonstrate knowledge of at least one ancient language (Greek or Latin), or demonstrate more in-depth knowledge of ancient culture through additional coursework in translation; and apply critical thinking and analytical skills to the study of the ancient world.",https://catalog.registrar.ucla.edu/browse/Departments/Classics/Classical-Civilization-BA,,Bachelor of Arts in Classical Civilization,https://catalog.registrar.ucla.edu/browse/Departments/Classics,,,
,"The Climate Science major is designed to provide students with the scientific skills to understand and better predict the impacts of climate change and to develop solutions to mitigate its effects. Students will gain a deep understanding of the physical and chemical processes that govern the climate system, including the atmosphere, the oceans, and the cryosphere. The major also emphasizes the human dimensions of climate change, including the impacts on society, the environment, and the economy.",https://www.atmos.ucla.edu/undergraduate/majors-minors/climate-science/,,Bachelor of Science in Climate Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
Specialization in Computing,"Cognitive Science is the study of the mind. It is an interdisciplinary field that combines theories and methods from psychology, computer science, linguistics, philosophy, and neuroscience. The Cognitive Science major is designed to provide students with a thorough grounding in the study of the mind. The program offers a broad approach to the study of the mind, with emphasis on the integration of these disciplines. Students will learn about the nature of human intelligence, the development of the mind, and the relationship between the mind and the brain.",https://www.psych.ucla.edu/undergraduate/academic-programs/cognitive-science-major/,,Bachelor of Science in Cognitive Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Communication major at UCLA is a multidisciplinary curriculum leading to a Bachelor of Arts degree. It provides a solid foundation in the study of human communication, with an emphasis on three areas of study: mass communication and media institutions, interpersonal communication, and communication and culture. The curriculum is designed to provide students with a broad-based education in communication while allowing them to explore specific areas of interest in more depth.",https://comm.ucla.edu/undergraduate/major/,,Bachelor of Arts in Communication,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Comparative Literature major provides students with a solid foundation in literary analysis and critical theory while offering flexibility for them to tailor their course of study to their individual interests. The major is designed for students who want to study literature and culture across national, linguistic, and disciplinary boundaries. It allows students to explore the intersections of different literary traditions and to investigate the ways in which literature relates to other forms of human expression, such as film, music, philosophy, and social theory.",https://registrar.ucla.edu/academics/curricula-and-courses/department-and-program-information/comparative-literature,,Bachelor of Arts in Comparative Literature,https://www.ithaca.edu/academics/majors-minors/all-undergraduate-majors,,,
Fundamental Research & Evolution,"The Fundamental Research & Evolution (FRE) concentration is intended for students who wish to pursue a research career in an academic or industrial environment. This concentration focuses on basic biological research using quantitative and computational methods, and includes a heavy emphasis on evolutionary biology. It is appropriate for students interested in basic research in many areas of biology, including ecology and evolution, physiology, and cell and molecular biology.",https://casb.ucla.edu/fre/,,Bachelor of Science in Computational and Systems Biology,https://casb.ucla.edu/fre/,,,
,"The computer engineering program is a joint program between the Computer Science Department and the Electrical and Computer Engineering Department. The program is designed to provide a strong background in both electrical engineering and computer science. It provides students with a solid foundation in both hardware and software, and the skills to design and implement complex systems that integrate both. The curriculum includes courses in computer hardware, software, and systems. Students learn about the design, analysis, and application of computer systems, from tiny microprocessors to large-scale data centers. The program emphasizes both theoretical foundations and practical hands-on experience.",https://www.seasoasa.ucla.edu/computer-engineering/,"The Computer Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",Bachelor of Science in Computer Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Computer Science curriculum is designed to accommodate students who want a professional education in computer science but who may also have interests in other areas. The Computer Science program is designed to provide a strong foundation in the principles of computer science, and to prepare students for professional practice in the computer field and for graduate study. The curriculum is a design-oriented program that provides students with a broad background in the field. It provides a solid foundation in the fundamental principles of mathematics, science, and computer science, and also gives students the opportunity to explore a variety of topics in computer science and other fields through its elective and technical breadth requirements.",https://www.cs.ucla.edu/undergraduate-program/,"The Computer Science program is accredited by the Computing Accreditation Commission of ABET, https://www.abet.org.",Bachelor of Science in Computer Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The computer science and engineering curriculum at UCLA provides students with the education and training necessary to design, implement, test, and utilize the hardware and software of digital computers and digital systems. The program has been designed to provide a background of computer science and computer engineering as well as a more general background in engineering and the physical sciences. It also includes the study of various elective areas such as computer systems, computer networks, computer graphics, artificial intelligence, and database systems.",https://samueli.ucla.edu/computer-science-and-engineering/,"The Computer Science and Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org, and the Computing Accreditation Commission of ABET, https://www.abet.org.",Bachelor of Science in Computer Science and Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Dance major is a program that integrates the study of choreography, performance, and world arts and cultures. It provides a foundation for students who wish to pursue careers in professional dance, choreography, teaching, or further study in dance and related fields. Students engage in technical training, creative research, and critical analysis of dance in various cultural and historical contexts.",https://wac.ucla.edu/undergraduate/dance,Member of the National Association of Schools of Dance (NASD),Bachelor of Arts in Dance,https://wac.ucla.edu/media/pages/programs/undergraduate/1826802650-1726854778/2024-2025-wacd-undergraduate-handbook.pdf,,,
,The Bachelor of Science in Data Theory is a joint program between the Department of Mathematics and the Department of Statistics. Data Theory is an intensive major that provides a foundation in the mathematical and statistical theory that underlies modern data science. It provides the skills needed for success in graduate school or in careers as a data scientist.,https://datatheory.ucla.edu/,,Bachelor of Science in Data Theory,https://datatheory.ucla.edu/,,,BS
,"The undergraduate major in Design Media Arts (DMA) is a multidisciplinary program that emphasizes a balance between aesthetic, creative, and critical thinking with proficiency in state-of-the-art technology. It focuses on the use of computers and other digital media for artistic expression and communication. Students are encouraged to develop their own personal vision while gaining a strong foundation in media history, theory, and practice. The DMA curriculum is organized around four main areas: visual communication and image, video and animation, networking and interactivity, and game design. Students take core courses in these areas and then choose from a variety of electives to tailor their studies to their interests. The program prepares students for careers in the media arts and design industries or for graduate study.",https://www.design.ucla.edu/undergraduate,,Bachelor of Arts in Design | Media Arts,https://www.design.ucla.edu/,Bachelor of Arts,,
,"The Earth and Environmental Science BA program is intended to provide a broad background in Earth sciences that is especially appropriate for students intending to become K through 12 teachers in Earth, physical, or life sciences. It may also be appropriate for students who plan to enter careers in environmental law, government or public policy, or business.",https://epss.ucla.edu/undergraduate/majors/earth-and-environmental-science-ba/,,Bachelor of Arts in Earth and Environmental Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Ecology, Behavior, and Evolution major is designed for students wishing to specialize in these areas. It is appropriate for students intending to pursue graduate studies in these fields or for students interested in careers in areas such as environmental biology, animal behavior, conservation, or teaching.",https://catalog.registrar.ucla.edu/major/2024/EcologyBehaviorandEvolutionBS,,"Bachelor of Science in Ecology, Behavior, and Evolution","The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
Specialization in Computing,"The UCLA Economics Department is among the best in the world. Our distinguished faculty provide a top-notch education through three undergraduate majors: Economics, Business Economics, and Mathematics/Economics. Our curriculum is designed to teach students the skills they will need to succeed in their future careers and in life. Whether a student is interested in finance, public policy, or academia, UCLA Economics has something for everyone. In all three majors, students receive a rigorous foundation in economic theory and its applications. Each major also offers students the opportunity to choose from a wide range of elective courses that allow them to explore their interests in more depth. The economics major is the most flexible of the three majors. It is designed for students who want to study economics from a broad perspective. Students in the economics major have the opportunity to take courses in a variety of areas, including microeconomics, macroeconomics, econometrics, and more.",https://economics.ucla.edu/undergraduate/,,Bachelor of Arts in Economics,https://economics.ucla.edu/undergraduate/,,,BA
,"The Education and Social Transformation major is for students who want to use the tools of scholarly inquiry to better understand and solve the most pressing issues in education today. This major is for students who are interested in exploring how education can be used as a tool for social change and justice. The major provides students with a solid foundation in the study of education, including the historical, social, and political contexts of schooling. Students will learn to analyze educational policies and practices, and to develop innovative solutions to educational challenges.",https://seis.ucla.edu/departments-and-degrees/department-of-education/education-and-social-transformation-major,,Bachelor of Arts in Education and Social Transformation,https://admission.ucla.edu/apply/transfer/deciding-on-major/major-preparation-education,,,
Circuits and Embedded Systems; Physical and Wave Electronics; Signals and Systems,"The Electrical Engineering curriculum provides a balanced education in the fundamentals of engineering, mathematics, and science, as well as a solid foundation in the core areas of electrical engineering. The curriculum is also designed to provide students with a broad education in the humanities and social sciences, as well as an appreciation for the social, economic, and ethical context of their professional work. The electrical engineering program is designed to prepare students for a professional career in industry, government, or academia.",https://www.ee.ucla.edu/undergraduate-program/,Accredited by the Engineering Accreditation Commission of ABET,Bachelor of Science in Electrical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Creative Writing Concentration, Specialization in Computing","The English major at UCLA provides students with a comprehensive foundation in the history of literature in English and the tools of critical and creative analysis. Our students learn to read closely, think critically, and write clearly and persuasively. They engage with a diverse range of texts and cultures, from the medieval period to the present day, and they develop the skills they need to succeed in a wide range of careers.",https://english.ucla.edu/undergraduate/the-major/,,Bachelor of Arts in English,https://english.ucla.edu/,,,
