Program name,Program Page url,Concentration name,description,program website url,Accreditation status,error,Level
Bachelor of Science in Professional Pilot,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Big Data and Business Analytics,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Biology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Biomedical Sciences,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Business Economics,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Business Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Chemistry,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Child and Family Development,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Communication,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Computer Information Systems,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Computer Science,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Construction Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Criminal Justice and Criminology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Cybersecurity,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Data Science,The official university website for the University of Central Missouri is ucmo.edu.,,"UСM's Bachelor of Science in Data Science, helps you understand how to use tools to dissect data coming from a variety of sources. Our Data Science bachelor's degree will introduce you to visualization, artificial intelligence, machine learning, a mining, programming, statistics and forecasting to help you tackle large-scale data sets. As a Data Science major, you will learn to uncover patterns and employ statistical methods that help you provide data-driven insights to decision makers in your chosen field.",https://www.ucmo.edu/academics/programs/majors/computer-science-bs-data-science-option/index.php,An HLC-accredited bachelor's degree in Data Science that focuses on processing and analyzing data. [3],,BS
Bachelor of Science in Design and Drafting Technology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Digital Media Production,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Early Childhood Education,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Economics,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Education,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Elementary Education,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Engineering Technology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Arts in English,The official university website for the University of Central Missouri is ucmo.edu.,"['Literature track', 'Creative Writing track']","The Bachelor of English program at the University of Central Missouri starts as a blank page, with you as the author. Whether you're eager to analyze the world's best literary works or to write your own story, you can do it while pursuing your bachelor's in English degree at UCM. [10] English undergraduates at the University of Central Missouri complete intensive work in writing and research — two important skills for the 21st century. Literature majors gain broad exposure to the history of English literature and share their analyses with each other. You'll read everything from medieval romances to modern dystopias — from Shakespeare's Hamlet to Langston Hughes' Harlem and from Jane Austen's England to Toni Morrison's America. Creative Writing majors practice storytelling in various forms. Try out different genres of self-expression and cultivate your unique voice. [10]",https://www.ucmo.edu/academics/programs/english-bachelor-of-arts/index.html,,,BA
Bachelor of Science in Entrepreneurship and Social Enterprise,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
"Bachelor of Science in Environmental, Safety and Risk Management",The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Events Marketing and Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Fashion,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Finance,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Financial Economics,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in General Studies,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Arts in Geography,https://www.ucmo.edu/academics/programs/majors/index.php,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Graphic Design,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Health Studies,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Arts in History,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Hospitality Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Human Development and Family Science,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Human Resource Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Information Technology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Integrated Marketing Communications,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Fine Arts in Interior Design,The official university website for the University of Central Missouri is ucmo.edu.,,"The Bachelor of Fine Arts in Interior Design program at the University of Central Missouri prepares students for a career in interior design, to pursue advanced studies, and to apply for membership in professional organizations. [3] The curriculum equips students to produce creative work that is informed by both historical and contemporary art and design. [3] Students will gain the ability to research and understand the impact of interior design on people and the environment, and to solve problems through a critical and creative process. [3] The program's mission is to offer an inclusive and collaborative academic environment where students learn the fundamentals of the interior design discipline. [3] Students develop an understanding of concepts and apply skills to create interior spaces that support the health, safety, and welfare of all users, while also exploring creative, environmentally conscious, culturally responsive, and accessible design solutions. [3]",https://www.ucmo.edu/academics/programs/interior-design-bfa/index.html,The Interior Design program leading to the Bachelor of Fine Arts degree is accredited by the Council for Interior Design Accreditation (CIDA) and the National Association of Schools of Art and Design (NASAD). [3],,Bachelor of Fine Arts
Bachelor of Science in Interior Design,The official university website for the University of Central Missouri is ucmo.edu.,,"Your bachelor's in Interior Design from the University of Central Missouri will equip you to produce creative work that draws on both historical and contemporary art and design. With UCM's Interior Design degree, you'll gain the tools to research and understand how interior design impacts people and the environment and how to solve problems through a critical and creative process for the benefit of your clients. [3] The Interior Design Bachelor of Fine Arts degree program at the University of Central Missouri prepares undergraduate students to launch a career in interior design, pursue advanced study and apply for membership in professional organizations. [3] Students with UCM's Interior Design degree have gone on to work at many of the region's top firms in residential design, commercial interior design and sales. [3]",https://www.ucmo.edu/academics/programs/majors/interior-design-bfa/,"The Interior Design program leading to the Interior Design Bachelor of Fine Arts degree is accredited by the Council for Interior Design Accreditation, www.accredit-id.org, 206 Grandville Avenue, Suite 350, Grand Rapids, MI, 49503. [3] The Interior Design program is accredited by both the Council for Interior Design Accreditation (CIDA) and the National Association of Schools of Art and Design (NASAD). [3]",,BFA
Bachelor of Science in International Business,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in International Studies,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Kinesiology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Marketing,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Mathematics,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Mechanical Engineering Technology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Medical Laboratory Science,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Middle-Secondary Education,https://www.ucmo.edu/college-of-education/department-of-early-elementary-middle-and-physical-education/middle-school-education/,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Arts in Modern Languages,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Music,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Music Education,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Nursing,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Occupational Safety,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Physical Education,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Physics,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Political Science,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Psychology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Public Relations and Strategic Communications,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Radiologic Technology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Social Work,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Arts in Sociology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Software Engineering,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Special Education,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Speech-Language Pathology,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Science in Sport Management,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Bachelor of Fine Arts in Studio Art,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
