Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error,level
Biological Anthropology,"This minor is for students with an interest in human evolution, nonhuman primates, human genetics and variation, and the biological bases of human behavior.",https://catalog.ucsd.edu/curricula-departments-programs/anthropology.html#minor,,Minor,Anthropology-Biological Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The climate change and human solutions minor is an interdisciplinary minor that provides students with an understanding of the science of climate change, its social and cultural impacts on human societies, and the human solutions that can be used to mitigate and adapt to its effects. The minor prepares students to address one of the most significant challenges of the twenty-first century as a professional or a global citizen. Open to all majors, the minor provides a foundation to work in a variety of fields connected to climate change.",https://catalog.ucsd.edu/curric/ANTH-mi.html,,Minor,Anthropology-Climate Change and Human Solutions Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Sociocultural Anthropology,"This minor focuses on the study of culture and society. Students examine the diversity of human cultures and the ways in which social and cultural forms have changed over time. Sociocultural anthropology provides critical perspectives on the cultural and social dimensions of colonialism, capitalism, globalization, and other broad-scale historical forces, as well as on the intimate domains of subjective experience and personal life. Students will become familiar with the foundational theories and methods of sociocultural anthropology and will have the opportunity to take specialized courses on such topics as global health, psychological anthropology, religion, law, race and ethnicity, gender and sexuality, and political and economic anthropology.",https://anthropology.ucsd.edu/undergraduate/minors.html,,,Anthropology-Sociocultural Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The minor in applied physics is designed to provide students with a strong foundation in physics with an emphasis on applied physics. The minor consists of a total of eight courses. Students must complete a minimum of twenty units in the Department of Physics, of which at least twelve units must be upper division.",https://catalog.ucsd.edu/curricula-departments-programs/physics.html#minors,,Minor,Applied Physics Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The art history, criticism and conservation major provides a strong background for careers in art criticism, art history, museum and gallery work, art conservation, and historic preservation. The program is also a solid liberal arts major for students who plan to continue their education in graduate and professional school in fields such as art history, law, medicine, or business. The BA in art history, criticism and conservation is designed to provide students with a solid foundation in the historical and critical study of art and architecture, while allowing them to pursue an area of emphasis in art history, criticism, or conservation. The major offers a wide range of courses covering various historical periods and geographical regions, from ancient to contemporary art, and from Western to non-Western cultures. Students are trained in visual analysis, critical thinking, research methods, and effective writing, preparing them for a variety of careers and for advanced studies. The major includes a practicum or internship requirement that allows students to gain hands-on experience in a museum, gallery, or other arts organization.",https://catalog.ucsd.edu/curric/VIS-ug.html#arthistorycriticismandconservation,,B.A.,"Art History, Criticism and Conservation (B.A.)","The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Asian American and Pacific Islander studies minor focuses on the histories, cultures, and contemporary experiences of Asian Americans and Pacific Islanders. It is designed to broaden students’ understanding of the multicultural nature of US society by focusing on the particularities of Asian American and Pacific Islander experiences. The department encourages students to develop a project that integrates and extends what they have learned in the minor. For instance, students can do a research paper or a creative project.",https://catalog.ucsd.edu/curric/ETH-mi.html#asianamericanandpacificislande,,Minor,Asian American and Pacific Islander Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"China, Japan, Korea, South Asia, Southeast Asia","The B.A. in Asian studies is an interdisciplinary program that allows students to focus on a particular region of Asia, while also gaining a broader understanding of the continent as a whole. Students will take courses in a variety of disciplines, including history, literature, political science, sociology, and anthropology, and will be required to demonstrate proficiency in an Asian language. The program is designed to provide students with a strong foundation for careers in government, business, education, and other fields where knowledge of Asia is essential. The Asian studies major offers a curriculum that is both broad and deep. The lower-division requirements provide a solid foundation in the history and culture of Asia, while the upper-division requirements allow students to focus on a particular region and discipline. All majors must demonstrate proficiency in an Asian language, and are encouraged to study abroad.",https://catalog.ucsd.edu/curric/AS-ba.html,,B.A.,Asian Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The astrophysics major is designed for students who are interested in the fundamental physics of the universe. The major is structured to prepare students for graduate school in astrophysics and for jobs in industry. The curriculum provides a strong foundation in physics and mathematics, as well as a survey of the main topics in modern astrophysics. Students learn both observational and theoretical skills.",https://catalog.ucsd.edu/curricula-schedules/departments/physics/physics-major.html#Astrophysics-BS,,,Astronomy & Astrophysics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,The minor in astronomy and astrophysics is designed for students with a quantitative background. It is particularly suitable for students majoring in other areas of science or engineering. The minor consists of an introductory sequence in astronomy and astrophysics and a selection of upper-division courses.,https://catalog.ucsd.edu/curric/PHYS-mi.html,,Minor,Astronomy & Astrophysics Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The astrophysical sciences major is a new specialization offered by the Department of Physics, leading to a bachelor of science degree. This program is designed for students who are interested in the fundamental physics of the universe and in a quantitative, research-oriented approach to problem-solving. It offers a strong foundation in physics and mathematics, together with a broad introduction to astronomy and astrophysics. The curriculum is structured to prepare students for graduate study in astrophysics or physics, as well as for a wide range of careers in research, education, and industry.",https://catalog.ucsd.edu/curric/PHYS-ug.html,,B.S.,Astrophysical Sciences (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The undergraduate programs in bioengineering are designed to provide students with the engineering and life science fundamentals to be successful in the bioengineering and biotechnology industries, in graduate school, or in medical school. The curricula are built on a strong foundation of mathematics, physics, and chemistry. The main focus of the curricula is the application of engineering principles and methods to define and solve problems in biology and medicine.",https://catalog.ucsd.edu/curric/BE-ug.html,All bioengineering programs of study are accredited by the Engineering Accreditation Commission of ABET.,,Bio-Engineering (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The biochemistry BS major deals with the chemical processes in living organisms, seeking to understand biological form and function in chemical terms. The biochemistry major is designed to provide students with a strong background in chemistry and biology and to build on this a thorough understanding of the chemistry of biological systems. This major is excellent preparation for careers in the biotechnology or pharmaceutical industries, as well as for graduate study in biochemistry and related fields. It also provides an excellent background for premedical, predental, and prepharmacy students. To assist with academic planning, the department has prepared a four-year-plan for this major. Because many of the upper-division courses have prerequisites, students should begin their science and math courses in their first year. Students must complete a total of one hundred units for this major.",https://catalog.ucsd.edu/curric/CHEM-ug.html#biochemistrybs,"The department is accredited by the ACS. A student who completes a major in chemistry or biochemistry may be awarded a certificate from the American Chemical Society if they have successfully completed an ACS-certified degree program. The biochemistry major (CH31), with some additional course work, is certifiable.",,Biochemistry (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Bioinformatics,"This major prepares students for careers in the rapidly growing field of bioinformatics, which is at the intersection of bioengineering, computer science, and life sciences. Bioinformatics is a discipline that uses computational approaches to analyze biological data, such as DNA and protein sequences, and to model biological systems. The major combines a strong foundation in bioengineering fundamentals with a curriculum in computer science, algorithms, statistics, and databases. It is a rigorous program that will provide graduates with the skills to develop and apply computational methods in a wide range of biological and medical problems. The curriculum is designed to prepare students for bioinformatics careers in the biotechnology and pharmaceutical industries, as well as for graduate studies in bioinformatics and related fields. In addition, it provides an excellent background for students planning to attend medical school.",https://catalog.ucsd.edu/curric/BE-ug.html,"The bioengineering programs are accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",B.S.,Bioengineering (Bioinformatics) (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
BioSystems,The bioengineering: biosystems major is a premed major that prepares students for careers in the medical device and biotechnology industries. The curriculum has a strong engineering foundation and gives students the breadth and depth of knowledge in bioengineering and premed sciences. Students have sufficient training in bioengineering for a career in the biomedical industry. Students who wish to pursue a medical career will have the necessary science background to be a competitive applicant for medical school. Students have the opportunity to participate in a research project under the direction of a faculty member. All bioengineering students are encouraged to participate in the Freshman Seminar Program and to work in a faculty lab as a 199 student.,https://catalog.ucsd.edu/curricula-departments-programs/jacobs-school-of-engineering/bioengineering/bioengineering-biosystems-bs.html,"The BS degree in bioengineering: biosystems is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",B.S.,Bioengineering (BioSystems) (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Biotechnology,"The Department of Bioengineering offers undergraduate programs leading to the BS in bioengineering, the BS in bioengineering: biotechnology, the BS in bioengineering: biosystems, and the BS in bioengineering: bioinformatics. All bioengineering programs of study are designed to provide students with the academic background needed to work in the bioengineering industry, or to be admitted to medical school or to graduate school.

The BS in bioengineering: biotechnology program is a pre-med major that has a stronger emphasis in molecular biology, biochemistry, and genetics. It is designed for students who are interested in the molecular and cellular aspects of bioengineering with applications to human health and disease. It is good preparation for medical school and graduate studies, as well as for careers in the biotechnology industry.",https://catalog.ucsd.edu/curricula-departments-programs/jacobs-school-of-engineering/bioengineering/BE-ug.html#bsbioengineeringbiotechnology,"All four majors [BS in bioengineering, BS in bioengineering: biotechnology, BS in bioengineering: biosystems, and BS in bioengineering: bioinformatics] are accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",B.S.,Bioengineering (Biotechnology) (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The bioethics minor is an interdisciplinary minor, and students are required to take courses in at least two different departments. Students will take two required lower-division courses, a required upper-division course in bioethics, and four upper-division elective courses. The bioethics minor will equip students with a sophisticated understanding of the ethical and social issues raised by advances in biotechnology and the life sciences. It will also improve students’ abilities to engage in the kind of rigorous and critical ethical reasoning that is essential for responsible citizenship and professional success.",https://catalog.ucsd.edu/minors/ET.html,,Minor,Bioethics Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The bachelor of science in biological anthropology is designed for students with a strong interest in the biological and biomedical sciences. The major provides the foundation for careers in medicine and other health sciences, for a variety of careers in laboratory and field research, as well as for graduate study in biological anthropology and related disciplines. The curriculum is structured to provide students with a strong background in the natural sciences and to build on this foundation with a core of courses in biological anthropology, including human origins and evolution, primatology, human anatomy and physiology, the biological basis of behavior, and human genetics and disease. Laboratory and field courses provide hands-on experience in the methods and techniques of biological anthropology.",https://catalog.ucsd.edu/curricula-departments-programs/anthropology/#bachelorofscienceinbiologicalanthropology,,,Biological Anthropology (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Bioinformatics,"The bioinformatics specialization is designed for biology majors with an interest in the quantitative analysis of biological data. The curriculum is an interdisciplinary program that brings together biology, chemistry, mathematics, physics, and computer science. Students who complete the major will be well prepared for graduate programs in biology and bioinformatics, as well as for careers in the biotechnology and pharmaceutical industries.",https://catalog.ucsd.edu/curric/BIO-ug.html#bioinfbs,,B.S.,Biology with Specialization in Bioinformatics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Black Diaspora and African American Studies (BDAAS) major and minor are interdisciplinary programs that provide a comprehensive and critical understanding of the histories, cultures, and experiences of people of African descent, with a particular focus on the United States. Through a wide range of courses in the humanities and social sciences, students will explore the complex social, political, and economic forces that have shaped Black life, as well as the rich cultural traditions and intellectual movements that have emerged from Black communities. Our curriculum encourages students to develop a nuanced and intersectional analysis of race, power, and inequality, while also celebrating the resilience, creativity, and agency of Black people. By engaging with diverse perspectives and methodologies, students will gain the critical thinking, research, and communication skills necessary to become informed and engaged citizens who can contribute to a more just and equitable world.",https://catalog.ucsd.edu/curric/AAS-ma.html,,B.A.,Black Diaspora and African American Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Business Analytics minor provides foundational knowledge of business analytics, which includes the skills to analyze data, build models, and inform business decisions. The minor is sponsored by the Rady School of Management and is intended for undergraduate students who are interested in the business applications of data analysis.

Upon completion of the Business Analytics minor, students will be able to:

*   Recognize and explain key business principles.
*   Analyze data using descriptive, predictive, and prescriptive methods.
*   Utilize relevant software to conduct data analysis.
*   Identify ethical issues and societal impacts associated with the use of business analytics.
*   Communicate findings and recommendations effectively.",https://rady.ucsd.edu/programs/undergraduate-programs/business-analytics-minor/,,Minor,Business Analytics Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The business economics major provides a strong background for a career in business or management. The curriculum is a combination of fundamental economics courses along with a broad range of business-oriented electives from which to choose. Students can tailor their course work to focus on business topics that are of most interest to them. Business economics majors complete a quantitative methods sequence that includes calculus, statistics, and econometrics. This major has a quantitative orientation, and students who are interested in a less-quantitative major may want to consider the business- and management-focused electives for the B.A. in economics or one of the other social sciences majors.",https://catalog.ucsd.edu/curric/ECON-ug.html,,B.S.,Business Economics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Business Minor is designed to provide students with a foundational understanding of business principles and practices. This minor is suitable for students in any major who wish to gain a competitive edge in the job market, start their own business, or prepare for graduate studies in business or a related field. The curriculum covers key business areas such as finance, marketing, management, and operations, providing a comprehensive overview of how organizations create and deliver value.",https://rady.ucsd.edu/programs/undergraduate-programs/business-minor/,,Minor,Business Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"materials science and engineering, biotechnology/bioengineering, energy technologies, environmental engineering","The chemical engineering program has a strong foundation in the basic sciences (mathematics, physics, chemistry, and biology) and the engineering sciences (fluid mechanics, heat and mass transfer, thermodynamics, and reaction kinetics). All students get hands-on laboratory experience. The program provides a broad education that is designed to prepare students for a wide variety of careers in industry, government, and academia. The program is also designed to provide students with a solid foundation for graduate studies in chemical engineering or related fields. The chemical engineering curriculum is designed to be completed in four years of full-time study. Students must complete a minimum of 144 units for graduation. Students must also satisfy the university’s general-education requirements. The program educational objectives are to provide our students with 1) a strong technical education and communication skills; 2) the ability to be creative, to synthesize, and to analyze and solve challenging problems with a professional and ethical manner; 3) a multidisciplinary education to be successful in a diverse range of careers including the chemical and semiconductor industries, biotechnology, and other emerging fields; and 4) an understanding of the importance of, and a commitment to, lifelong learning.",https://ne.ucsd.edu/undergrad/chem-eng,"The chemical engineering BS program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",,Chemical Engineering (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The chemistry major (CH25) provides a broad and rigorous education in all of the principal fields of chemistry. The curriculum is designed to give students the intellectual and experimental tools to understand and critically evaluate modern chemical problems. The core curriculum provides a solid background in inorganic, organic, and physical chemistry. The laboratory curriculum develops the students’ abilities to design and carry out chemical experiments and to evaluate the resulting data. Elective courses in the major allow students to explore advanced and specialized topics in chemistry. This major prepares students for a career in the chemical industry, and for graduate school in chemistry or a related field. It also serves as an excellent background for those interested in biochemistry, environmental science, medicine, and other health-related fields. The BS in chemistry is certified by the American Chemical Society.",https://catalog.ucsd.edu/curricula-departments-programs/chemistry-biochemistry.html#Majors,Certified by the American Chemical Society.,,Chemistry (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"For students with a serious interest in chemistry, a minor in chemistry is an excellent choice. A minor in chemistry consists of seven courses (twenty-eight units) in chemistry, at least five of which must be upper-division.",https://chemistry.ucsd.edu/undergraduate/minor-requirements.html,,,Chemistry Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Chicanx and Latinx studies (CLS) major and minor is an interdisciplinary program that provides a broad and in-depth understanding of the histories, cultures, and sociopolitical experiences of people of Latin American ancestry in the United States, with a particular focus on the US Southwest. The program’s curriculum encourages students to develop a critical understanding of the experiences of Chicanx and Latinx populations. Students are introduced to the field’s central theoretical and methodological questions, consider the histories of Chicanx and Latinx communities, and study the cultural and artistic productions of these communities.",https://catalog.ucsd.edu/curric/CGS-ba.html,,B.A.,Chicanx and Latinx Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The Chicanx and Latinx studies (CLS) minor is an interdisciplinary program that offers students the opportunity to learn about the historical and contemporary experiences of Chicanx and Latinx peoples in the United States. Course offerings focus on the US-Mexico borderlands and the intersectional axes of race, class, gender, and sexuality in the formation of Chicanx and Latinx identities and communities. With a focus on social justice, the CLS minor trains students to critically engage with questions of representation, politics, and culture. The minor is administered by the Critical Gender Studies Program. Students are encouraged to contact the CLS faculty adviser or the CGS/CLS student affairs coordinator for advising.",https://catalog.ucsd.edu/programs/CL.html,,Minor,Chicanx and Latinx Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The major in Chinese studies is an interdisciplinary major that allows students to develop a strong linguistic and cultural competence in China. In addition to the language requirements, the major consists of nine upper-division courses on China from a variety of departments and disciplines, including history, literature, political science, sociology, anthropology, and visual arts. Students are highly encouraged to participate in the Education Abroad Program (EAP) to spend a year, a semester, or a summer in China or Taiwan. Chinese studies majors are prepared for careers in business, law, government service, and international relations, as well as for graduate studies.",https://catalog.ucsd.edu/curricula-departments-programs/chinese-studies/chinese-studies-major-ba.html,,B.A.,Chinese Studies (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
