Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
"['Biochemistry and Molecular Biology', 'Developmental and Cell Biology', 'Exercise Sciences', 'Genetics', 'Human Biology', 'Microbiology and Immunology', 'Neurobiology', 'Biology/Education', 'Ecology and Evolutionary Biology']","Students in the Bachelor of Science program in biological sciences program study the organization and processes of life, from molecules to ecosystems. Coursework explores genetics, evolution, ecology, physiology, zoology, microbiology, and cell and molecular biology to reveal how living systems develop, adapt and interact with their environments. Through lectures, laboratory work and research opportunities, students build skills in critical thinking and scientific communication. [2] The Biological Sciences major presents a unified, in-depth study of modern biology. [1] The Biological Sciences Core is a five-quarter series of courses ranging from ecology and evolutionary biology, to genetics, biochemistry, and molecular biology. [1] Important laboratory techniques and methodology are presented in upper-division laboratories. [1] Advanced elective courses provide an opportunity to continue to diversify students' exposure to the biological sciences or to gain a much more in-depth study of a particular area of the biological sciences. [1]",https://catalogue.uci.edu/schoolofbiologicalsciences/departmentofbiologicalsciences/biologicalsciences_bs/,,BS,Bachelor of Science in Biological Sciences,"The official university website for the University of California, Irvine is uci.edu.",
,"The Biological Sciences minor presents a unified, in-depth study of modern biology. The courses range from ecology and evolutionary biology to genetics, biochemistry and molecular biology. [3]",https://catalogue.uci.edu/schoolofbiologicalsciences/biologicalsciences_minor/,,Minor,Minor in Biological Sciences,"The official university website for the University of California, Irvine is uci.edu.",
Biology/Education,"The Biology/Education major at the University of California, Irvine is a pathway for students to earn both a Bachelor of Science degree in Biological Sciences and a California Preliminary Single Subject Teaching Credential in four years. This program is offered through the UCI CalTeach Science and Mathematics Program, which is a joint initiative of the School of Biological Sciences, the School of Physical Sciences, and the School of Education. Upon completion, graduates are authorized to teach biology and general science in a middle school or high school setting.",https://www.bio.uci.edu/undergraduates/calteach-program/,"{'accrediting_body': 'California Commission on Teacher Credentialing (CTC)', 'status': 'Accredited'}",Bachelor's,Bachelor of Science in Biology/Education,"The official university website for the University of California, Irvine is uci.edu.",
['Biomedical Engineering: Premedical'],"The Department of Biomedical Engineering offers a Bachelor of Science degree in Biomedical Engineering. The B.S. in Biomedical Engineering is a four-year curriculum that prepares students for careers in the biomedical engineering industry, as well as for further education in graduate school. For those students interested in pursuing a career in medicine, the department also offers a B.S. degree in Biomedical Engineering: Premedical. This curriculum is designed to meet the requirements for admission to medical schools while also providing training in biomedical engineering. It is one of many majors that can serve as preparation for further training in medical, veterinary, or allied health professions. The premedical curriculum has less engineering content and more biological sciences content than the straight biomedical engineering major.",https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/,"The Bachelor of Science in Biomedical Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",Bachelor of Science,Bachelor of Science in Biomedical Engineering,"The official university website for the University of California, Irvine is uci.edu.",
,"The minor in Biomedical Engineering requires a total of nine courses: two advanced mathematics courses, five core Biomedical Engineering courses, and two Biomedical Engineering electives. Some of these courses may include prerequisites that may or may not be part of a student's course requirements for their major. Private biomedical industry has indicated a keen interest in engineers that have a more traditional engineering degree (i.e., electrical engineering), but also possess some in-depth knowledge of biomedical systems. Hence, the minor in Biomedical Engineering is designed to provide a student with the introductory skills necessary to perform as an engineer in the biomedical arena. [9, 10, 11] NOTE: Students may not receive both a minor in Biomedical Engineering and a specialization in Biochemical Engineering within the Chemical Engineering major. [9, 10, 11]",https://engineering.uci.edu/dept/bme/undergraduate/biomedical-engineering-minor,,Minor,Minor in Biomedical Engineering,"The official university website for the University of California, Irvine is uci.edu.",
Premedical,"The major program objective of the Bachelor of Science in Biomedical Engineering: Premedical is to prepare students for medical school. [6, 10] The curriculum is designed to meet the requirements for admission to medical schools, and it is also suitable for those planning to enter graduate school in biomedical engineering, physiology, biology, neurosciences, or related fields. [6, 10] It has less engineering content and more biological sciences than the standard Biomedical Engineering major. [6, 10] This program serves as preparation for further training in medical, veterinary, or allied health professions. [6, 10] It provides future physicians with a quantitative background in biomechanics, physiology, and biotransport, which is increasingly important due to the heavy use of biomedical technology in modern medical practice. [6] The curriculum includes the necessary science courses to satisfy the requirements of most medical schools. [6, 10]",https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/biomedicalengineeringpremedical_bs/,"The undergraduate major in Biomedical Engineering: Premedical (BMEP) is not designed to be accredited and is therefore not accredited by the Engineering Accreditation Commission of ABET. [8, 10, 12]",BS,Bachelor of Science in Biomedical Engineering: Premedical,"The official university website for the University of California, Irvine is uci.edu.",
"['Accounting', 'Finance', 'Information Systems', 'Marketing', 'Operations and Decision Technologies', 'Organization and Management']","The undergraduate Business Administration major at The Paul Merage School of Business prepares students with essential business management theories and concepts for diverse careers. It emphasizes teamwork, leadership skills, analytical decision-making, critical thinking, and understanding digital transformation. Students will gain experience in both participating in and leading collaborative efforts. The Business Administration major at The Paul Merage School of Business offers a comprehensive curriculum similar to top business schools nationwide. It covers a range of topics, including organizations, communication, behavior, leadership, strategy, finance, information technology, and marketing, within a global context. Students are encouraged to tailor their education with courses inside and outside the Merage School to align with their career goals and personal interests. This flexibility allows students to combine management education with industry-specific areas such as bioscience business, government service, international commerce, arts management, and entrepreneurship in computer gaming. Students can also prepare for advanced degrees in law, accounting, or business-related fields through their course selections.",https://catalogue.uci.edu/thepaulmerageschoolofbusiness/businessadministration_ba/#text,,B.A.,Bachelor of Arts in Business Administration,"The official university website for the University of California, Irvine is uci.edu.",
,"The Bachelor of Arts in Business Economics offers a major for students seeking a business orientation in their study of economics. It does not replicate the traditional undergraduate business school curriculum. Instead, it offers a more tightly focused curriculum that is guided by the rigorous logic and integrative perspective of economics. It is designed to prepare students for graduate education in business, economics, and law. The program requires students to include specific courses offered by the department and the John E. Anderson Graduate School of Management. Upon completion of the Business Economics major, students will have achieved the following learning objectives: a) Understanding, through application of microeconomics, of the interaction of individuals and organizations in markets; and of the role of public policy in shaping those interactions; b) Understanding, through application of macroeconomics, of the functioning of market economies at regional, national, and global levels; and of the role of public policy in shaping those interactions; c) Understanding and application of accounting principles to analysis of business problems; d) Acquisition and use of data to evaluate hypotheses with tables, charts, and statistical analyses; e) Use of appropriate analytical perspectives and approaches to frame problems involving the interaction of people, organizations, markets, and society; identify effective strategic approaches to problem solving; and gather and organize key information to facilitate problem solving. [1]",https://www.economics.uci.edu/undergrad/major.php#be,,Bachelor of Arts,Bachelor of Arts in Business Economics,"The official university website for the University of California, Irvine is uci.edu.",
,"The undergraduate Business Information Management major administered by the Donald Bren School of Information and Computer Sciences is a collaborative, interdisciplinary degree program between the Bren School and The Paul Merage School of Business. [8] The program seeks to educate students to understand and then apply the theories and concepts of a broad, integrated curriculum covering computing, informatics, business fundamentals, and analytical decision-making. [8, 16] The major prepares students for a wide variety of careers and life experiences. [8, 16] Business Information Management majors can pursue careers in the for-profit and not-for-profit sectors or can proceed to graduate school in several disciplines, including information systems, computing, economics, business, and law. [8, 16] The curriculum is presented across three general academic areas: Computing (computer science, informatics, and software); Business Foundations (accounting, finance, marketing, strategy, and operations); and Analytical Methods (mathematics, statistics, economics, management science, and decision analysis). [8, 16] The fundamentals of information and computer science, including the rudiments of software design and construction with an emphasis on data management, provide the foundation for understanding, describing, and evaluating the technology through which most business information is gathered and presented. [8, 16] The business fundamentals, covering all the functional areas in the Merage School, provide a background and context in which information and its analysis will be applied. [8, 16]",https://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/businessinformationmanagement_bs/,"The B.S. in Business Information Management is accredited by The Association to Advance Collegiate Schools of Business, with the next accreditation review date in Fall 2028. [5]",B.S. [8],Bachelor of Science in Business Information Management,"The official university website for the University of California, Irvine is uci.edu.",
,"Chemical Engineering uses knowledge of chemistry, mathematics, physics, biology, and humanities to solve societal problems in areas such as energy, health, the environment, food, clothing, materials, and sustainability and serves a variety of processing industries whose vast array of products include chemicals, petroleum products, plastics, pharmaceuticals, foods, textiles, fuels, consumer products, and electronic and cryogenic materials. Chemical Engineering also advances societal goals by developing environmentally conscious and sustainable technologies to meet global challenges. The undergraduate curriculum in Chemical Engineering builds on basic courses in chemical engineering, other branches of engineering, and electives which provide a strong background in humanities and human behavior. Elective programs developed by the student with a faculty advisor may include such areas as applied chemistry, biochemical engineering, chemical reaction engineering, chemical processing, environmental engineering, materials science, process control systems engineering, and biomedical engineering.",https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofchemicalandbiomolecularengineering/chemicalengineering_bs/,"The Chemical Engineering, B.S. program is accredited by the Engineering Accreditation Commission of ABET.",BS,Bachelor of Science in Chemical Engineering,"The official university website for the University of California, Irvine is uci.edu.",
,,,,,Bachelor of Science in Chemistry,"The official university website for the University of California, Irvine is uci.edu.",Failed to parse JSON response
,"The Department of Chicano/Latino Studies at UCI is a nationally top-ranked, multidisciplinary program of research, teaching, and social service. We provide UC Irvine students with the opportunity to explore the histories, cultures, and ethnic diversity of the Chicano/Latino diaspora, equipping them with the tools to develop projects that help us better understand and serve these communities. The undergraduate major is built on a strong foundation of three interdisciplinary pillars: History, Literature, Arts, and Media, and Contemporary Inequalities and Social Issues. [13] This diverse population includes people who trace their heritage to Mexico, Puerto Rico, Cuba, El Salvador, Guatemala, Nicaragua, and other Latin American and Caribbean nations. [9, 10] The curriculum is designed to provide an awareness, knowledge, and appreciation of the language, history, culture, literature, sociology, anthropology, politics, social ecology, health, medicine, and creative (art, dance, drama, film, music) accomplishments of Chicano/Latino communities. [9, 10]",https://www.chicanolatinostudies.uci.edu/undergrad/major.php,,"B.A. [9, 10]",Bachelor of Arts in Chicano/Latino Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"The minor in Chicano/Latino studies provides undergraduate students with an opportunity to examine the historical and contemporary experiences of Chicanos and Latinos. [2] The curriculum provides awareness, knowledge and appreciation of the language, history, culture, literature, sociology, anthropology, politics, social ecology, health, medicine and creative accomplishments in Chicano/Latino communities. [2] In addition to satisfying the requirements for the minor, students are encouraged to take advantage of the variety of unique educational opportunities available at UCI. [2]",https://www.chicanolatinostudies.uci.edu/undergraduate/minor.php,,Minor,Minor in Chicano/Latino Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"Minoring in the Chinese program will give students foundational knowledge needed to pursue a career involving this important Pacific Rim nation. [10] Students will be equipped with linguistic and cultural skills and be prepared in a variety of endeavors, such as international business, law, government service, journalism, teaching, and other careers involved with public affairs. [10, 11] Seven courses (28 units) are required for the minor. [10, 11]",https://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/chineselangandlit_minor/,,Minor,Minor in Chinese Language and Literature,"The official university website for the University of California, Irvine is uci.edu.",
,,,,,Bachelor of Arts in Chinese Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"Minoring in the Chinese program will give students foundational knowledge needed to pursue a career involving this important Pacific Rim nation. Students will be equipped with linguistic and cultural skills and be prepared in a variety of endeavors, such as international business, law, government service, journalism, teaching, and other careers involved with public affairs. [9, 10]",https://catalogue.uci.edu/dss/eall/chinesestudies_minor/,,Minor,Minor in Chinese Studies,"The official university website for the University of California, Irvine is uci.edu.",
"['General Civil Engineering', 'Environmental Hydrology and Water Resource Engineering', 'Structural Engineering', 'Transportation Systems Engineering', 'Computer Applications', 'Engineering Management', 'Infrastucture Planning', 'Mathematical Methods']","Civil engineering is described as the art of substainably harnessing the natural environment to meet human needs. The goal of the Civil Engineering curriculum is to prepare graduates for a career in practice, research, or teaching. [2] At the undergraduate level a common core of fundamental subjects is provided, and students are required to specialize in their senior year. [2] Specialization are offered in General Civil Engineering, Environmental Hydrology and Water Resource Engineering, Structural Engineering, and Transportation Systems Engineering. [2] The educational mission of the Civil Engineering undergraduate program is to provide students with an multidisciplinary curriculum that is fundamental, yet broad and flexible, to produce graduates who are well-grounded in mathematical, scientific, and technical knowledge; have the ability to analyze, evaluate, and design civil engineering systems; have the ability to communicate effectively; have had meaningful opportunities for undergraduate research; and who have acquired an understanding and appreciation for global and societal issues and are thus prepared for a career path toward leadership in industry, government, and academia. [3] Graduates may look forward to long-term careers in major corporations, public bodies, the military, private consulting firms, or to being self-employed in private practice. [2]",https://engineering.uci.edu/dept/cee/undergraduate/program,"The Civil Engineering program is accredited by the Engineering Accreditation Commission of ABET, under the commission's General Criteria and Program Criteria for Civil and Similarly Named Engineering Programs. [3]",Bachelor of Science,Bachelor of Science in Civil Engineering,"The official university website for the University of California, Irvine is uci.edu.",
,"The Department offers minors in Classical Civilization, Greek, and Latin for students who plan to follow a shorter but formally recognized program of study in the field of Classics. The minor program in Classical Civilization approaches the ancient world from a broad interdisciplinary perspective with the goal of gaining a deeper understanding and appreciation for the diverse cultures of the ancient Mediterranean. Students who minor in Classical Civilization have many of the same advantages as our majors, and they benefit from being part of our inclusive community as they develop their study on civilizations that have had profound influence on our current socio-cultural, intellectual, and civic lives. Students further benefit from enhancing their critical thinking and their creative and historically-informed problem solving, which can successfully complement their majors and studies in other areas, including the Humanities, Social Sciences, STEM or other professional fields.",https://catalogue.uci.edu/schoolofhumanities/departmentofclassics/classicalcivilization_minor/,,Minor,Minor in Classical Civilization,"The official university website for the University of California, Irvine is uci.edu.",
"['Greek and Latin Language and Literature', 'Latin Language and Literature', 'Classical Civilization']","The Department of Classics aims to provide the undergraduate student with a working knowledge of the origins and heritage of Graeco-Roman civilization. [4, 6] The Department is committed to a twofold purpose: (1) disseminating interest in and knowledge of Classical Civilization through the teaching of Greek and Latin language and literature; and (2) helping students, through courses in Classical literature, history, civilization, mythology, and religion taught through English translations, to appreciate the achievements of Greek and Roman culture and their pervasive influence on our own civilization. [4, 6] The Department offers a major in Classics with three possible emphases. [6] Students may chose an emphasis in (i) Greek and Latin Language and Literature, (ii) Latin Language and Literature, or (iii) Classical Civilization. [6]",https://www.humanities.uci.edu/classics,,B.A.,Bachelor of Arts in Classics,"The official university website for the University of California, Irvine is uci.edu.",
,"The B.S. in Cognitive Sciences exposes students to the theoretical foundations and experimental and computational methods of cognitive science and neuroscience research. Coursework is highly interdisciplinary incorporating (a) Cognitive Psychology, (b) Cognitive Neuroscience, (c) Mathematics, (d) Statistics, (e) Computer Science, and (f) Natural Sciences. [3]",https://www.undergrad.psci.uci.edu/major/bs-degree-in-cognitive-sciences/,,BS,Bachelor of Science in Cognitive Sciences,"The official university website for the University of California, Irvine is uci.edu.",
"['General Languages and Literature', 'Advanced Language and Literature', 'Literature and a Related Discipline (such as sociology, history, music, or film)', 'Translation Concentration', 'Film Concentration']","An interdisciplinary and adaptable major exploring a world of literary traditions. Comparative literature is the study of all modes of human expression: oral, written, and visual. Our students become knowledgeable about multiple cultures and disciplines, and study topics like gender and sexuality, literary history, colonialism, human rights, global censorship, postcolonial and diaspora studies, literary theory, film, and translation. Students build facility with multiple languages as well as skills in critical thinking, viewing, writing, research, and oral presentation.",https://www.humanities.uci.edu/complit/,,Bachelor of Arts,Bachelor of Arts in Comparative Literature,"The official university website for the University of California, Irvine is uci.edu.",
