Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Required,"To be considered for admission to the Bachelor of Arts in Asian Languages and Linguistics, applicants must meet UCLA's general undergraduate admission requirements. Freshman applicants must complete 15 year-long 'a-g' courses with a grade of C or better, including at least 11 before their senior year, and maintain a minimum GPA of 3.0 (3.4 for non-residents). Transfer applicants must complete 60 semester (90 quarter) units of transferable college credit with a minimum GPA of 3.2. Major-specific preparation includes completing the equivalent of two years of an Asian language (Chinese, Japanese, or Korean) and relevant introductory linguistics or civilization courses as specified by the Department of Asian Languages and Cultures.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Asian Languages and Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To apply for the Bachelor of Arts in Asian Religions at UCLA, applicants must complete the University of California Application. Freshman applicants are required to complete 15 'a-g' high school courses (11 by the end of their junior year) with a minimum 3.0 GPA (3.4 for non-California residents). Transfer applicants must complete 60 semester or 90 quarter units of UC-transferable college credit with a minimum GPA of 3.2. All applicants must answer the Personal Insight Questions. Specific preparation for the Asian Religions major includes elementary-level language study and lower-division introductory courses such as Asian 20, Asian 30, or Religious Studies 11.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Asian Religions,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Not Required,"To be admitted to the Asian Studies major, students must have completed all preparation for the major courses. These include three years (nine quarters) of one modern Asian language or the equivalent. Admission to the major is based on academic performance in the preparatory courses and overall grade-point average. Students must meet with the academic counselor in the International Institute to declare the major. Freshmen and transfer applicants must meet the general University of California admission requirements, including the completion of 'a-g' subject requirements for freshmen and specific credit/GPA requirements for transfers.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be eligible for admission to UCLA, freshman applicants must complete a specific set of 15 college-preparatory courses (a-g courses) with at least a C or better, earn a minimum GPA of 3.0 (3.4 for non-residents), and graduate from high school. Preparation for the Astrophysics B.S. major includes specific lower-division requirements: Physics 1A, 1B, 1C, 4AL, and 4BL; Mathematics 31A, 31B, 32A, 32B, 33A, and 33B; and Astronomy 81. All students are admitted as pre-majors and must complete these courses with a 2.0 grade-point average to be eligible for the major.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Astrophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"For freshman applicants, UCLA requires the completion of 15 college-preparatory (A-G) courses with a GPA of 3.0 or better (3.4 for non-residents). For transfer applicants to the Atmospheric and Oceanic Sciences B.S., required lower-division preparation includes: Calculus (Math 31A, 31B, 32A, 32B, 33A, 33B), Physics (Physics 1A, 1B, 1C), and Chemistry (Chemistry 20A). Applicants must also complete the University of California's Personal Insight Questions.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be eligible for admission to UCLA, you must complete 15 year-long high school courses with a grade of C or better — at least 11 of them prior to your last year of high school (the A-G subject requirements). You must earn a grade point average (GPA) of 3.0 or better (3.4 for non-California residents) in these courses with no grade lower than a C. Applicants must also submit the University of California application, which includes answering four Personal Insight Questions. For the Atmospheric and Oceanic Sciences/Mathematics major, students should demonstrate strong preparation in mathematics and physics.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Atmospheric and Oceanic Sciences/Mathematics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission as a freshman, you must have completed a minimum of 15 year-long high school courses (A-G courses) with at least 11 of those finished prior to your senior year. You must also earn a grade point average (GPA) of 3.0 or better (3.4 if you're a nonresident) in these courses with no grade lower than a C. For transfer students, the Department of Chemistry and Biochemistry major is highly selective and requires the completion of specific major preparation coursework including general chemistry, organic chemistry, calculus-based physics, and a year of calculus.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biochemistry,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be eligible for admission to UCLA, freshman applicants must complete a specific set of 15 college-prep courses (A-G courses) with at least a 3.0 GPA (3.4 for non-residents). These include: 2 years of history/social science, 4 years of English, 3 years of mathematics (4 recommended), 2 years of laboratory science (3 recommended), 2 years of language other than English (3 recommended), 1 year of visual and performing arts, and 1 year of college-preparatory elective. Applicants to the UCLA Samueli School of Engineering are also expected to have a strong background in mathematics and sciences. All applicants must submit the University of California application, which includes answering four Personal Insight Questions.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for freshman admission, you must complete high school (or its equivalent) and satisfy the University of California’s minimum admission requirements. These include completing 15 year-long 'a-g' courses with a grade of C or better (at least 11 of them prior to your last year of high school), earning a GPA of 3.4 or better for non-residents or 3.0 or better for California residents, and completing the personal insight questions. Students interested in biology and other life sciences majors should have a strong background in high school math and science; it is recommended that students complete three years of math (four years highly recommended) and two to three years of laboratory science.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Not Required,"To be considered for admission to the Bachelor of Science in Biophysics, applicants must complete the University of California application. Freshman applicants are required to complete the 'A-G' subject requirements with a minimum GPA. Transfer applicants must complete at least 60 semester (90 quarter) units of transferable credit, including specific major preparation courses such as calculus-based physics, chemistry, and mathematics (calculus and linear algebra). Admission is based on a comprehensive review of academic performance, extracurricular involvement, and responses to the Personal Insight Questions. UCLA is a test-free institution and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To apply for the Bachelor of Arts in Business Economics, students must submit the University of California (UC) Application. Applicants must complete the UC Personal Insight Questions. Freshman applicants are expected to complete the 'A-G' secondary school course requirements. For transfer applicants, the major is highly selective and requires the completion of specific major preparation courses, including Microeconomics, Macroeconomics, and two terms of Calculus, with a minimum grade of C in each course. The Business Economics major is a capped program, and students are typically admitted into the Pre-Business Economics major initially.",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Business Economics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Not Required,"To be considered for freshman admission, applicants must be on track to graduate from high school and complete the 'a-g' subject requirements with a minimum 3.0 GPA (3.4 for non-residents). Transfer applicants are expected to have completed 60 semester (90 quarter) units of transferable coursework with a minimum GPA of 3.2. UCLA is test-blind and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Central and East European Languages and Cultures,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission to the UCLA Samueli School of Engineering for the Bachelor of Science in Chemical Engineering, applicants must satisfy the University of California 'A-G' subject requirements with a grade of C or better. Specifically, applicants must have completed the equivalent of one year of high school chemistry and have a strong background in mathematics, including calculus. Physics is also recommended. Applicants must submit the University of California Application, which includes four Personal Insight Questions.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Chemical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"Applicants to the Bachelor of Science in Chemistry program must meet general UCLA undergraduate admission requirements. For freshman applicants, this includes completion of the A-G subject requirements and the Personal Insight Questions. For transfer applicants, admission is based on completion of major preparation courses, including general chemistry, organic chemistry, calculus, and calculus-based physics. All applicants must submit the University of California Application.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Chemistry,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHBnl8sv3OZ0ncoqQOGal25UEmrUcvD8GeVIHXDaYTgilpCV2wH64fWTehcpTvpae5dN1tpyPRR7L_A0jk4Ln9JCP8qnHJouFeB6pzVNUaG8G39hRaaml-LxhIJdGMCvNqfh5tPz6HFqEYd2JJCiVj1czSHdnDGeS8Nnu-ORBDX770dtbU2Nt7oTc1QsPXWsJ7y
Not Required,Required,"To be considered for admission, applicants must follow the University of California’s general undergraduate admission requirements. Freshman applicants must complete the 'A-G' subject requirements and are evaluated through a holistic review process that includes academic performance and responses to Personal Insight Questions. Transfer students are expected to complete lower-division major preparation before arriving at UCLA, which includes one year of general chemistry with laboratory, one year of organic chemistry with laboratory, one year of calculus, and one year of calculus-based physics with laboratory. UCLA is test-free and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Chemistry/Materials Science,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHqvx6hXvJf4Rk-K3OJ0bEdKIx6c9lu4gzZPBJhXYnYpsOQvN_VMDfHl1HXKRQ5872FHzLpHhdcErojApbzDr4mmGev-xqH1G0ULffnhm40aZ7M6Krk4AM-ocGXo0dXE_3HHLL7PujGraHkIFXssX8n5HZFMjEVyRUbU35GTSbAHyTEyXf4EhQY0zgYro25mvVf_4d2qQxRL6TjFsoktdKrXc6s
Not Required,Not Required,"Applicants must meet general University of California admission requirements. For transfer students, the department requires completion of the following major preparation courses: Chicana and Chicano Studies 10A, 10B, and 10C. All major preparation courses must be completed with a C or better. For freshman applicants, admission is based on the general University of California application requirements, including the completion of A-G courses and the Personal Insight Questions. UCLA is test-free and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Chicana and Chicano Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be eligible for admission to UCLA, applicants must complete the University of California Application. Applicants must complete a set of 15 year-long high school courses with a grade of C or better (A-G requirements). A minimum GPA of 3.0 (3.4 for non-California residents) is required in these courses. Specifically for the Bachelor of Arts in Chinese, the preparation for the major includes completion of Chinese 1, 2, 3, 4, 5, and 6 (or equivalent) and one course from Chinese 50, 70, or 80. UCLA is test-free and will not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Chinese,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for freshman admission to the UCLA Samueli School of Engineering, applicants must complete the University of California’s 'A-G' course requirements with a grade of C or better and a minimum GPA of 3.0. Admission is based on a holistic review process, which includes the evaluation of academic performance in math and science courses, as well as the applicant's responses to the Personal Insight Questions. UCLA is test-free and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Civil Engineering,https://www.fst.um.edu.mo/cee/degrees/bachelor/
,,"Preparation for the Major: Two courses from Classics 10, 20, 30, 40, 41, 42, 51A, 51B, 60. Transfer Students: Transfer applicants to the Classical Civilization major with 90 or more units must complete as many of the following courses as possible prior to admission: two courses from classical civilization, ancient Greek or Latin, or ancient history. Refer to the UCLA transfer admission guide for up-to-date information regarding transfer selection for admission.",,True,False,False,False,False,,,program,Bachelor of Arts in Classical Civilization,https://catalog.registrar.ucla.edu/browse/Departments/Classics
Not Required,Required,"To be considered for admission to the Bachelor of Science in Climate Science, applicants must fulfill the general University of California admission requirements. This includes completing the required 'A-G' subject courses with a minimum GPA of 3.0 (3.4 for non-residents) and submitting the UC application. The application requires students to answer Personal Insight Questions. While the major is housed in the Department of Atmospheric and Oceanic Sciences, freshman applicants apply to the College of Letters and Science as 'Climate Science' or 'Pre-Climate Science' majors.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Climate Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission to the Bachelor of Science in Cognitive Science, applicants must apply through the general University of California application. Admission is based on a comprehensive review of the applicant's academic history, including completion of the 'A-G' subject requirements with a minimum GPA. Applicants must submit the Personal Insight Questions. Students are typically admitted into the 'Pre-Cognitive Science' major and must complete specific preparatory courses—including psychology, calculus, and computer programming—with a minimum grade requirement to transition to the full major.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Cognitive Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"Admission to the Communication major is highly competitive. Freshman applicants apply to the 'Pre-Communication' major via the University of California application. Admission is based on the general UCLA freshman review process, which includes academic achievement and Personal Insight Questions. Transfer applicants must apply directly to the Communication major and must have completed specific preparatory courses (including Communication 10 and three other courses from a list of related social sciences and humanities) with a minimum grade of C in each. A high GPA (minimum 3.7) is typically required for transfer consideration. All applicants must complete the University of California application, including the mandatory Personal Insight Questions.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Communication,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"Admission to the Comparative Literature major is based on the standard University of California undergraduate admission requirements. Freshman applicants must complete the A-G subject requirements with a minimum GPA of 3.0 (3.4 for non-residents). Transfer applicants must complete 60 semester (90 quarter) units of transferable college credit with a minimum GPA of 3.2, including specific major preparation courses. Proficiency in at least one language other than English is required for the major.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Comparative Literature,https://www.ithaca.edu/academics/majors-minors/all-undergraduate-majors
Not Required,Required,"First-year applicants to UCLA can apply directly to the Pre-CaSB major. To declare the pre-major, a student must have completed at least one of the 7 pre-major prep courses at UCLA and have a cumulative GPA of 3.0 or higher. For transfer students, please check out the Transfer Students page for more information.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Computational and Systems Biology,https://casb.ucla.edu/fre/
Not Required,Required,"To be considered for admission to the Computer Engineering program at UCLA, applicants must meet the University of California’s minimum admission requirements: completion of 15 year-long 'A-G' college-preparatory courses with a grade of C or better, and a minimum GPA of 3.0 (3.4 for non-residents). Applicants must also submit the UC application including the four Personal Insight Questions. The Samueli School of Engineering specifically evaluates applicants on their academic preparation, particularly in mathematics and science, and performance in these subjects is a primary factor in the selection process.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Computer Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission to the UCLA Samueli School of Engineering, freshman applicants must meet the University of California’s 'A-G' course requirements and have a minimum 3.0 GPA (3.4 for non-residents). Specifically for Computer Science, applicants are expected to have a strong background in mathematics and science, including completion of at least one year of high school chemistry and physics, and at least three years of high school mathematics, including calculus. Transfer applicants must complete lower-division requirements including calculus, physics, and computer science courses with a minimum competitive GPA.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Computer Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be eligible for admission to UCLA, you must complete 15 year-long high school courses (the A-G courses) with a grade of C or better — at least 11 of them prior to your last year of high school. You must earn a grade point average (GPA) of 3.0 or better (3.4 for non-residents) in these courses with no grade lower than a C. Applicants to the Samueli School of Engineering are also evaluated on their academic preparation in studies such as mathematics and physics.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Computer Science and Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Required,Required,"Applicants must complete the University of California Application for Undergraduate Admission by the November 30 deadline. In addition to the UC Application, applicants must also complete a WACD Supplemental Application. Applicants for the Dance major are selected by the Dance faculty based on their UC application, supplemental application, and an audition/interview.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Dance,https://wac.ucla.edu/media/pages/programs/undergraduate/1826802650-1726854778/2024-2025-wacd-undergraduate-handbook.pdf
Not Required,Not Required,"The Data Theory major is a capstone major. Admission to the major is competitive. Freshman applicants should apply to UCLA as a Pre-Data Theory major and are reviewed by the UCLA Undergraduate Admission office. To be considered for the Data Theory major, transfer students must complete the following courses by the end of the spring term prior to transfer: one year of calculus, multivariable calculus, linear algebra, and one computer programming course (C++, Python, or Java).",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Data Theory,https://datatheory.ucla.edu/
,Required,"All applicants to Design Media Arts must submit the UC application. In addition, applicants must submit the Department of Design Media Arts (DMA) supplemental application. The supplemental application includes a questionnaire, a statement of interest, and a creative portfolio.",,True,False,False,False,False,,,program,Bachelor of Arts in Design | Media Arts,https://www.design.ucla.edu/
Not Required,Required,"To apply for the Bachelor of Arts in Earth and Environmental Science, applicants must meet the general University of California admission requirements. This includes completion of the A–G high school course pattern and submission of the University of California application, which includes the Personal Insight Questions. Specific preparation for the major involves introductory courses in Earth, Planetary, and Space Sciences, Chemistry (14A and 14B, or 20A and 20B), and Mathematics or Life Sciences (Life Sciences 7A, 30A, Mathematics 3A, or 31A).",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Earth and Environmental Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Not Required,"To be admitted to the major, students must complete the following preparatory courses with a grade of C- or better in each and a combined grade-point average of 2.0 or higher: Life Sciences 7A, 7B, 7C, and 23L; Chemistry and Biochemistry 14A, 14B, 14BL, and 14C, or 20A, 20B, 20L, and 30A; Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A, or Life Sciences 30A and 30B; Physics 5A, 5B, and 5C, or 1A, 1B, 1C, 4AL, and 4BL. Freshman applicants must also meet general University of California admission requirements, including the A-G subject sequence.",Not Required,True,False,True,False,False,,,program,"Bachelor of Science in Ecology, Behavior, and Evolution","The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Not Required,"To enter the Economics major, students must first be a Pre-Economics major. Students must apply for the Economics major after they have completed the following pre-major courses with a 2.5 grade-point average and a 'C' or better in each course: Economics 1, 2, 11, 41; Writing II; and Mathematics 31A, 31B. For transfer students, the following courses are required for admission: one course in microeconomics, one course in macroeconomics, and two courses in calculus. All pre-major and major courses must be taken for a letter grade.",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Economics,https://economics.ucla.edu/undergraduate/
,,"Required: Education 10 or 11 (must be completed with a grade of B or better); One course from: Anthropology 3, Communication 1, Geography 3, Geography 6, Political Science 40, Psychology 10, or Sociology 1; One introductory course in statistics from: Statistics 10, 12, or 13.",,True,False,False,False,False,,,program,Bachelor of Arts in Education and Social Transformation,https://admission.ucla.edu/apply/transfer/deciding-on-major/major-preparation-education
Not Required,Required,"Admission to the UCLA Samueli School of Engineering is highly selective and based on a comprehensive review of the UC Application. Requirements include completion of the 'A-G' subject requirements, a strong GPA (minimum 3.0 for California residents and 3.4 for non-residents), and the Personal Insight Questions. For engineering applicants, there is a specific emphasis on achievement in mathematics and science courses.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Electrical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission to the English major, freshman applicants must complete the University of California (UC) application, which includes the secondary school 'a-g' requirements with a minimum GPA of 3.0 (3.4 for non-residents). Applicants must also respond to four Personal Insight Questions. For the major specifically, students enter as Pre-English and must complete English 10A, 10B, and 10C with a grade of C or better to satisfy the requirements for the major.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in English,https://english.ucla.edu/
