Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Divinity in Professional Counseling,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Divinity (MDiv) in Professional Counseling is a professional-level degree program for individuals planning to enter or continue careers in full-time ministry. This program provides students with extensive studies in biblical text and thorough preparation in theology, while also offering a foundation in psychology theory, scientific research, and clinical practice to prepare them for state licensure as a Professional Counselor (LPC).",,https://www.amridgeuniversity.edu/,,,650.0,FALSE,False,,,,,,,,,,,,,,,,,,Counseling##Theology##Religious Studies,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Need-based, Grants, Discounts",FALSE,,,FALSE,FALSE,,
,Master of Divinity in Ministerial Leadership,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Divinity (MDiv) in Ministerial Leadership is a professional-level degree program for individuals planning to enter or continue careers in full-time ministry. A major element of this program provides students with extensive studies in the biblical text and thorough preparation in theology and various areas of practical ministry. The program prepares students for admission to more advanced studies, such as the Doctor of Ministry degree program.",,https://www.amridgeuniversity.edu,,,515.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Theology##Religion##Religious Studies,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Financial Aid,FALSE,,,FALSE,FALSE,,
,Master of Science in Christian Ministry,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,The Master of Science (MS) in Christian Ministry is designed to prepare students to serve more effectively in their respective ministry environments. Students will receive advanced ministerial training via the core course requirements and may select from a variety of elective courses to enhance their training in a specific area of interest. This program provides a proper foundation for students to pursue more advanced studies and is open to applicants who hold a four-year bachelor's degree in any field of study.,,https://www.amridgeuniversity.edu/,,,515.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Religion##Religious Studies##Theology,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Master of Science in Human Services,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,"family studies, ministry","The Master of Science in Human Services is a non-licensure program designed to introduce students to the dynamics of human development and interaction.  Students will develop an in-depth understanding of the primary models, theories, and techniques used in individual, group, and family counseling.  This program prepares graduates to work in settings such as private life coaching, church settings, governmental agencies, or community agencies.",,https://www.amridgeuniversity.edu/,,,675.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Human Services##Counseling##Social Work and Human Services,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Corporate Alliance Award, Accelerated Degree Grant Program",FALSE,,,FALSE,FALSE,,
,Master of Science in Leadership and Management,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Master of Science in Leadership and Management is designed to provide graduates with critical skills and knowledge for today's competitive workplace.  The program emphasizes team building, leadership development, conflict resolution, and other management skills within a context of ethical and moral approaches.",,https://www.amridgeuniversity.edu/,,,650.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Business/Management##Leadership,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Master of Science in Ministerial Leadership,,,,,Graduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,"The Master of Science in Ministerial Leadership is a professional-level degree designed to prepare students for work in Christian ministry with a practitioner's approach to Biblical studies.  This program provides a foundation for students to pursue more advanced studies and degree programs.  Upon completion, graduates will be able to demonstrate knowledge of leadership principles, effectively make decisions, communicate, and address conflict while leading an organization from a values-based position.",,https://www.amridgeuniversity.edu/,,,565.0,FALSE,False,,,,,,,,,,,,,,,,,,Religion##Theology##Religious Studies,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Doctor of Education in Higher Education Administration,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Doctor of Education in Higher Education Administration curriculum prepares current and future leaders for executive level positions within postsecondary institutions. With a programmatic emphasis in research, institutional effectiveness, student services, curriculum development, finance, law, and future trends, students will develop the theoretical skills necessary to effectively address real-world problems within higher education.",,https://www.amridgeuniversity.edu/,,,675.0,FALSE,False,,,,,,,,,,,,,,,,,,Education##Administration,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Federal Financial Aid, Military Students, First Time Freshmen, Ministers, Corporate Alliance",FALSE,,,FALSE,FALSE,,
,Doctor of Ministry,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,Family Therapy,"The Doctor of Ministry (DMin) degree program is for qualified persons currently engaged in ministry. The program's goal is to develop effective Christian ministers by combining theological reflection with continued spiritual growth, leading to greater competence in ministerial skills. The curriculum utilizes the candidate's own work setting as a primary learning resource, with much of the coursework involving in-service projects.",,https://www.amridgeuniversity.edu,,,535.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Theology##Religion,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,
,Doctor of Ministry in Family Therapy I,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,The Doctor of Ministry (DMin) in Family Therapy I is an advanced professional degree designed for those in community organizations and church-related vocations. This program integrates academic knowledge with practical application to prepare students for ministry focused on family therapy and counseling.,,https://www.amridgeuniversity.edu,,,715.0,FALSE,False,,,,,,,,,,,,,,,,,,Theology##Counseling##Marriage and Family Therapy,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Scholarship and/or loans,FALSE,,,FALSE,FALSE,,
,Doctor of Ministry in Family Therapy II,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,"Counseling with Couples, Counseling with Families, Counseling with Individuals","The Doctor of Ministry (DMin) in Family Therapy II is an advanced professional degree for community organizations and church-related vocations. This degree has three concentrations designed to prepare participants to counsel with couples, families, and individuals. Being a capstone program, it infuses academics and practice to prepare students for family therapy and counseling ministry and is designed for students who have a Master of Divinity in a related field.",,https://www.amridgeuniversity.edu,,,715.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Marriage and Family Therapy##Theology##Counseling##Religion,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Grants, Scholarships, Loans, Military Students, First Time Freshmen, Ministers, Corporate Alliance partners",FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Biblical Studies – New Testament,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,,,,,,,,"New Testament, Old Testament","The Doctor of Philosophy (PhD) in Biblical Studies program is designed to prepare students for academic teaching, research, and scholarly writing in the fields of Old or New Testament.  Students choose one of these as a concentration and will complete a comprehensive examination and a dissertation in that area.  The curriculum equips students with critical skills for analyzing, interpreting, and explaining biblical texts, preparing them for roles in universities, seminaries, and for higher-level service to the church.",,https://www.amridgeuniversity.edu/,,,750.0,FALSE,False,,,,,,,,,,,,,,,,,,Theology##Religious Studies##Philosophy##Religion,,,False,False,,,95.0,,,,6.0,,,,,79.0,,,,,,,,,,,,,Federal Financial Aid,FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Biblical Studies – Old Testament,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,Old Testament,"The Doctor of Philosophy (PhD) degree in Biblical Studies aims to equip students for academic teaching, research, and scholarly writing in the fields of Old Testament and New Testament. The program is designed to prepare students to teach Bible and biblical languages in academic institutions and to produce scholarly work. This rigorous, research-oriented study consists of 51 semester hours beyond a relevant master's degree.",,https://www.amridgeuniversity.edu/,,,780.0,FALSE,False,,,,,,,,,,,,,,,,,,Religion##Religious Studies##Theology,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Grants, scholarships or loans",FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Interdisciplinary Studies,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,"Counseling, Marriage and Family Therapy, Leadership, Ministry, Biblical Studies","The Doctor of Philosophy in Interdisciplinary Studies is designed to prepare students for academic teaching, research, and service in a variety of professions in which interpersonal relationships are of great importance.  Upon acceptance, students choose courses from multiple disciplines such as Counseling, Marriage and Family Therapy, Leadership, Ministry, and Biblical Studies to design an individual plan of study.  This flexibility attracts students from various academic and professional backgrounds including human services, business, education, and ministry.",,https://www.amridgeuniversity.edu,,,700.0,FALSE,False,,,,,,,,,,,,,,,,,,Interdisciplinary Studies##Counseling##Theology##Business/Management##Religion,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Grants, Scholarships, Loans",FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Marriage and Family Therapy,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,"Quality Practice and Fiscal Systems, Teaching Practicum","The Doctor of Philosophy (PhD) in Marriage and Family Therapy at Amridge University is a 60-semester hour, research-oriented program designed for students who have already completed the coursework for professional licensure. The program focuses on intensive studies in marriage and family therapy theories, human development, abuse and addiction, cultural diversity, and research. This program is delivered through a combination of traditional classroom settings and online formats.",,https://www.amridgeuniversity.edu,,,715.0,FALSE,False,,,,,,,,,,,,,,,,,,Marriage and Family Therapy##Counseling##Psychology,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,Scholarship and/or loans,FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Organizational Leadership and Management,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Doctor of Philosophy in Organizational Leadership and Management is an advanced degree program designed for professionals who desire to incorporate research-driven strategies and evidence-based concepts into their work. Throughout this course of study, students will improve their research skills and enhance their ability to lead and manage in diverse environments, equipping them to address the most prevalent challenges organizations face today.",,https://www.amridgeuniversity.edu,,,700.0,FALSE,False,,,,,,,,,,,,,,,,,,Business/Management##Organizational Development,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,"Scholarships, loans",FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Professional Counseling,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Required,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,"Quality Practice and Fiscal Systems, Teaching Practicum","Offered through the Amridge University School of Human Services, the Doctor of Philosophy (PhD) Degree in Professional Counseling is a 60-semester hour rigorous research-oriented program designed for students who have already completed the coursework required for professional licensure.  The program focuses on intensive studies in counseling theories, human development, abuse and addiction, cultural diversity, and research.  This degree is not intended to lead to professional licensure but rather to build upon existing credentials with advanced scholarship and therapeutic expertise.",,https://www.amridgeuniversity.edu,,,715.0,FALSE,False,,,,,,,,,,,,,,,,,,Counseling##Psychology##Human Services,,,False,False,,,,,,,,,,,,79.0,,,,,,,,,,,,,Scholarship and/or loans,FALSE,,,FALSE,FALSE,,
,Doctor of Philosophy in Biblical Studies,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,"Old Testament, New Testament","The Doctor of Philosophy (PhD) in Biblical Studies is a rigorous, research-oriented program designed to equip students for academic teaching, research, and scholarly writing in the fields of Old Testament and New Testament.  This 51-semester-hour program prepares graduates for teaching roles in universities, seminaries, and colleges, as well as for higher-level service to the church.  Students will develop skills in original research and the competent use of biblical languages like Hebrew and Greek.",,https://www.amridgeuniversity.edu,,,750.0,FALSE,False,,,3.0,,,,,,,,,,,,,,,Religion##Theology##Religious Studies,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Federal Financial Aid, Military, Ministers, Corporate Alliance",FALSE,,,FALSE,FALSE,,
,Associate of Arts in Business Administration,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Associate of Arts in Business Administration program provides students with the opportunity to complete an initial college degree while establishing a solid academic foundation for a bachelor's degree in business.  Graduates will be prepared in the essential areas of accounting, management, and marketing.  The program requires 64 semester credit hours, including general education, core business courses, and electives.",,https://www.amridgeuniversity.edu,,,395.0,FALSE,False,,,,,,,,,,,,,,,,,,Business Administration##Business/Management,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Merit-based, Need-based, Corporate Alliance, First-time Freshman",FALSE,,,FALSE,FALSE,,
,Associate of Arts in Human Resource Leadership,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Associate of Arts in Human Resource Leadership program provides students with opportunities to complete an initial college degree while establishing a solid academic foundation for a bachelor's degree in business and human resources.  Students will study human effort, relationships, and leadership, as well as how to secure and maintain those who make up the organization.  Upon completion, graduates will be able to analyze basic business concepts and demonstrate entry-level skills in areas like organizational behavior, management information systems, and management communication.",,https://www.amridgeuniversity.edu,,,455.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Human Resources##Business/Management,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,Grants,FALSE,,,FALSE,FALSE,,
,Associate of Arts in Information Systems Management,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Associate of Arts in Information Systems Management program provides students with opportunities to complete an initial college degree while establishing a solid academic foundation for a bachelor's degree in the field of information systems.  Upon completing the associate degree, a student may have completed one-half of the requirements for a bachelor's degree.  The program is designed to equip students with basic knowledge of business principles and the ability to plan, acquire, and build information systems in a business setting.",,https://www.amridgeuniversity.edu,,,335.0,FALSE,False,,,3.25,,,,,,,,,,,,,,,Business Information Systems##Information Systems##Management,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,Grants,FALSE,,,FALSE,FALSE,,
,Associate of Arts in Web Development,,,,,Associate,Fall 2026,,,,Not Required,Not Required,,Required,,Not Required,,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"The Associate of Arts in Web Development program provides students with opportunities to complete an initial college degree while establishing a solid academic foundation for a bachelor's degree in the field of business.  This associate degree requires 20 credit hours of general education and 44 credit hours of prescribed core courses.  Upon completing the associate degree, a student may have completed one-half of the requirements for a bachelor's degree.",,https://www.amridgeuniversity.edu,,,335.0,FALSE,False,,,2.0,,,,,,,,,,,,,,,Computer Science and Technology##Business/Management,,,True,True,,18.0,,,,,,,,,900.0,,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,
