Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Doctor of Philosophy in Business with Healthcare Administration specialty,,,,,Doctoral,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,,False,False,False,,,,False,False,,,,Hutton School of Business,,,,,,,,Healthcare Administration,"The online PhD in Business from University of the Cumberlands will impart the skills you need to stay at the cutting edge of innovations in business, along with the tools you need to teach at postsecondary institutions. You'll learn the business philosophy, critical thinking skills, and evidence-based practices necessary to excel in teaching, research, or business roles. Our PhD in Business online program builds on your undergraduate and graduate work, as well as your practical, real-world business experience. In addition to professional research courses, you'll take core business courses in areas ranging from comparative economics and corporate finance to managerial ethics and social responsibility. The curriculum for this online PhD in Business program—including all coursework and field and clinical experiences—will engage you in the theories, strategies, and tactics you need to: Research and attain business discipline-specific knowledge and competencies. Develop business-related professional skills—from communication to collaboration. Assess your personal values, connecting them with ethical business and research behaviors.",,https://www.ucumberlands.edu/academics/graduate,"The Hutton School of Business at University of the Cumberlands has received specialized accreditations for its business programs through the International Accreditation Council for Business Education (IACBE). [6] Specializations available for the Ph.D. in Business include accounting, entrepreneurship, healthcare administration, marketing, project management, and strategic management. [3] These programs have received new program accreditation through the International Accreditation Council for Business Education (IACBE). [3]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Business with Marketing specialty,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,Marketing,"A content specialty area of at least twenty-four (24) hours must be earned in one of these disciplines: Accounting, Blockchain, Business Analytics, Entrepreneurship, Finance, Healthcare Administration, Marketing, Project Management, Public Administration, Strategic Management, Supply Chain Management. [14] The mission of the Plaster Graduate School of Business is to foster academic excellence and student achievement at the graduate level. [14] Our PhD in Business Management prepare you academically to become a productive, competent, and ethical professional. [14] Evaluate your personal values and connect them to ethical behaviors. [14] Synthesize and integrate current research and literature to problems found in the areas of accounting, finance, economics, management, and marketing. [14] Construct research-based, strategic, effective, and ethical solutions to optimize organizational performance (both domestic and international). [14]",,https://www.ucumberlands.edu/academics/graduate,The Hutton School of Business at University of the Cumberlands has received specialized accreditations for its business programs through the International Accreditation Council for Business Education (IACBE). [14] For a list of accredited programs please refer to our IACBE member status page. [14] The Doctor of Philosophy in Business (PhD) programs have received new program accreditation through the International Accreditation Council for Business Education (IACBE). [8],,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Business with Project Management specialty,,,,,Doctoral,Fall 2026,,,,,,,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Hutton School of Business,,,,,,,,,"The online PhD in Business from University of the Cumberlands will impart the skills you need to stay at the cutting edge of innovations in business, along with the tools you need to teach at postsecondary institutions. You'll learn the business philosophy, critical thinking skills, and evidence-based practices necessary to excel in teaching, research, or business roles. Our PhD in Business online program builds on your undergraduate and graduate work, as well as your practical, real-world business experience.",,https://www.ucumberlands.edu/academics/graduate,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Business with Public Administration specialty,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,Public Administration,"The Doctor of Philosophy in Business Management degree equips students with the research skills, strategic insight, and leadership knowledge needed to expand career opportunities. The program emphasizes original research, theory development, and advanced problem-solving, preparing graduates for roles in academia, research, consulting, and executive leadership. The Public Administration concentration is designed to equip students with practical knowledge in the management and administration of public sector organizations, with an emphasis on public administration and public enterprise systems. The goal is to teach students how to effectively serve in executive or managerial roles within the public sector. Upon completion, students in this concentration will have learned how to assess the structure, function, and performance of public enterprises, and how to develop and implement strategic, sustainable objectives that align with public service goals.",,https://www.ucumberlands.edu/academics/graduate,The Hutton School of Business at University of the Cumberlands has received specialized accreditations for its business programs through the International Accreditation Council for Business Education (IACBE). [2],,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Business with Strategic Management specialty,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://www.ucumberlands.edu/academics/graduate,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Business with Supply Chain Management specialty,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://www.ucumberlands.edu/academics/graduate,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,100.0,,,,6.0,,,,,"550 (PBT), 79 (IBT)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Information Technology with Artificial Intelligence specialty,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://www.ucumberlands.edu/academics/graduate,,,"$549/credit hour for online Ph.D. in Information Technology, $749/credit hour for hybrid Executive Ph.D. in Information Technology",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,,,,6.0,,,,,550,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Information Technology with Blockchain specialty,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,Blockchain,"The Doctorate of Philosophy in Information Technology at University of the Cumberlands focuses on the advanced practice role of the use of predictive analytics to identify cyber threats, employ big data analytics to improving healthcare, and empower smart cities in making data-driven policy changes critical for societal well-being. [2] This program is designed to meet the aggressive demand for qualified data scientists in virtually every sector of the economy, with classes in computer science, data intelligence, analytics, security, strategic planning, governance and global economy. [2, 7] The program is comprised of 60 required credit hours, which include professional research courses, content specialty courses, and a dissertation. [9] Students will learn to master the ins and outs of information governance, technology for a global economy, enterprise risk management, data science, big data, and emerging threats and their countermeasures. [11] A content specialty area of at least eighteen hours (18) must be earned in one of several disciplines, including Blockchain. [9, 10]",,https://www.ucumberlands.edu/academics/graduate,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Information Technology with Computer Science specialty,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,"Admission requirements for the Executive Ph.D. in Information Technology include a completed graduate application, official transcripts from undergraduate and graduate-level work, evidence of a completed master’s degree from an accredited university, an average GPA of at least 3.0 on a 4.0 scale on all graduate-level work, and an interview. [8] International students must also submit evidence of English language proficiency. [8]",,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,Computer Science,"The PhD in information technology online degree program from University of the Cumberlands is designed to help you take your IT career to new heights. The program is comprised of 60 required credit hours, which include professional research courses, content specialty courses, and a dissertation. Our fully online curriculum focuses on predictive analytics, enhancing your credentials and giving you the tools you need to be your company's IT expert in cybercrime security, big data, and smart technology. You'll explore information governance, technology for a global economy, enterprise risk management, data science, big data, and more.",,https://www.ucumberlands.edu/academics/graduate,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,50.0,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Information Technology with Cyber Engineering specialty,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,"Doctoral degree admission requires a cumulative grade point average of at least 3.0 on a 4.0 scale from the conferred master's degree as well as in any subsequent graduate study. [3] Admission to a Doctoral degree program requires a master's degree or higher from a United States Department of Education accredited institution in a field related to the doctoral degree of application. [3] For example, application to a Ph.D. in Information Technology would require a master's in Information Technology, Computer Science, Computer Information Systems, or closely related area. [3] The PhD in information technology online degree program from University of the Cumberlands is designed to help you take your IT career to new heights. The program is comprised of 60 required credit hours, which include professional research courses, content specialty courses, and a dissertation. [1]",,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,Cyber Engineering Emphasis,"The Doctorate of Philosophy in Information Technology at University of the Cumberlands focuses on the advanced practice role of the use of predictive analytics to identify cyber threats, employ big data analytics to improving healthcare, and empower smart cities in making data-driven policy changes critical for societal well-being. [2] This program is designed to meet the aggressive demand for qualified data scientists in virtually every sector of the economy, with classes in computer science, data intelligence, analytics, security, strategic planning, governance and global economy. [2, 9] The PhD in information technology online degree program from University of the Cumberlands is designed to help you take your IT career to new heights. [4] The program is comprised of 60 required credit hours, which include professional research courses, content specialty courses, and a dissertation. [4] Our fully online curriculum focuses on predictive analytics, enhancing your credentials and giving you the tools you need to be your company's IT expert in cybercrime security, big data, and smart technology. [4] You'll explore information governance, technology for a global economy, enterprise risk management, data science, big data, and more. [4]",,https://www.ucumberlands.edu/academics/graduate,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.0,,,,,79,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
