Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Doctor of Philosophy in Chemical Engineering,,,,,Doctoral,Fall 2026,,,,Optional,Required,,,"Students admitted to the graduate program normally have a Bachelor's degree in chemical engineering or its equivalent. Students with undergraduate degrees in chemistry, physics or other engineering disciplines may be admitted but will be required to make up undergraduate course work not in their previous degree programs.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,"The Doctor of Philosophy in Chemical Engineering (PhD in Chemical Engineering) provides students with a unique opportunity to demonstrate innovation in a wide range of chemical engineering research areas. [1] The PhD in Chemical Engineering degree is awarded to candidates who successfully complete a program of advanced courses, qualification and research requirements and dissertation defense. [1] Students are expected to carry out an independent investigation in a chemical engineering research area under supervision of experienced researchers. [1] Graduates of the program are anticipated to meet the challenges in the chemical engineering discipline and provide innovative solutions based on the most recent developments in chemical engineering. [1]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Chemical Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,"Admission to the M.S. in Chemical Engineering program requires an undergraduate degree in chemical engineering from an accredited institution or its equivalent with an overall GPA of 3.0. [8] Students with undergraduate degrees in chemistry, physics or other engineering disciplines may be admitted but will be required to make up undergraduate course work deficiencies in chemical engineering without graduate credit. [5] The application package should include undergraduate and graduate transcripts and letters of reference. [14]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The Master of Science in Chemical Engineering (MSCHE) prepares students for a career using the principles of chemistry and engineering basics to solve problems that involve the production or use of chemicals, fuel, drugs, food or other products. Designed for professionals who wish to pursue a graduate degree, the Master of Science in Chemical Engineering is ideal for outstanding students with degrees in biochemistry, chemistry, engineering, physics and other branches of science. The 30-credit, non-thesis program includes core chemical engineering courses and electives in polymers, biotechnology, environmental science and electronic materials. [5]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Chemical Engineering,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,Minimum undergraduate grade-point average (GPA) of 3.00 (based on 4.00). The Master of Chemical Engineering (MChE) degree is offered as a non-thesis program for working professionals.,,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,,,,,,,,"A Master of Chemical Engineering (MChE) degree is offered as a non-thesis program for the working professional. The program has been designed for those persons who plan careers in plant operations, design and management. It is not intended to be competitive with the Master of Science degree, which is specifically research oriented, nor with the MBA degree. Rather, the goal of this program is not only to permit earlier productive use of the young engineer's technical skills, but also to a broad concept introduce the engineer to s, analysis, advanced process economics, and technical management. The program is aimed at improving opportunities for chemical engineers in the chemical process industry and related industries. Constituting the program is a core of five (5) required courses plus five elective courses, selected to meet the student's interests in the areas of process control, management and business economics, biochemical and environmental engineering, and petroleum engineering. The courses are available in the late afternoon and evenings, and the degree can be completed in 2-3 years of part-time study. Professionals working in the chemical process industry and related industries with degrees other than but related to chemical engineering (such as mechanical engineering or chemistry) are encouraged to apply. If admitted to the MChE program, such students are required to take a number of undergraduate chemical engineering courses that will prepare them to take the graduate-level MChE courses. A list of preparatory courses is composed by the MChE Director on an individual basis, depending on the student's background. [1]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Chemistry,,,,,Doctoral,Fall 2026,,,,Not Required,Required,,NOT REQUIRED,"Applicants should have an undergraduate degree in chemistry or in a closely related field with a strong chemistry background. A GPA of at least 3.0 in the sciences is needed for consideration. GRE General Test scores are not required. Admission decisions are made as completed applications are received. For most favorable consideration for the Fall term, all application materials should be received by January 15 (both domestic and international students). [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,An official description for the Doctor of Philosophy in Chemistry program is not available on the North Carolina State University website. The page for the program does not contain a detailed description of the program's objectives and curriculum. [13],,https://catalog.ncsu.edu/graduate/,"North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, masters, and doctorate degrees. [11, 14] Information regarding specific accreditation for the Doctor of Philosophy in Chemistry program is not mentioned on the university's website. [11]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Chemistry,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants should have an undergraduate degree in chemistry or in a closely related field with a strong chemistry background. A GPA of at least 3.0 in the sciences is needed for consideration. [10] Graduate applications are submitted electronically and consist of transcripts, three (3) letters of recommendation, and a statement of purpose. [5] The statement of purpose (personal statement) should focus on research accomplishments and aspirations, as well as specific faculty research programs of interest, and may include figures and chemical structures. [5, 11]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Sciences,,The Chemistry Department pays the application fee for domestic applicants only.,,,,,,,"The Department of Chemistry offers programs of study leading to the Doctor of Philosophy and Master of Science degrees. These degrees are based on coursework and original research. Many research projects merge disciplines such as chemical/synthetic biology, biophysics/physics, computational science, informatics, photonics/photophysics and materials science with chemistry. General courses as well as advanced and special topics courses are offered. The Master of Science (M.S.) degree in chemistry is a research degree that requires six graduate courses, a minimum of 30 credit hours, and research leading to a thesis. [3]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Certificate in City Design,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Not Required,Not Required,NOT REQUIRED,"Applicants must complete an application form to be considered for the certificate program. [2] To qualify for admission to the certificate program, students must be enrolled in a professional program in architecture or landscape architecture. [2] At the time of application, students must have a 3.00 grade point average (GPA) in their professional degree program. [2, 6] Practicing Professionals and Graduate Students in Approved Alternative Programs are also welcome to apply. [4]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,College of Design,,"The graduate tuition per credit hour is $547 for North Carolina residents and $1,701 for out-of-state students.",,,,,,,"The Graduate Certificate in City Design is a joint program between the School of Architecture and the Department of Landscape Architecture. [3] The certificate program promotes design inquiry and application at the scale of the city for students and practitioners of architecture and landscape architecture. [3] The program's objectives are to consider the human condition, particularly in making signification urban places; design integrated systems of movement with increased accessibility; promote a greater mix of uses and amenities within a well-scaled urban fabric; foster new opportunities for energy production at the local scale; define new means of 'greening' the city; and capture greater senses of identity, meaning, and quality within the city fabric. [3]",,https://catalog.ncsu.edu/graduate/,,,"An additional Mandatory Health Insurance charge will be included on your account unless you waive out of the semester premium charge. Students who do not go online to waive out, or submit verifiable health insurance information will be enrolled automatically in Student Blue, the University sponsored plan, and will be billed $1,396.54 or $1,802.92 each semester for the optional premium plan.",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"merit-based, need-based",FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Civil Engineering,,,,,Doctoral,Fall 2026,,,,Required,Optional,,,"To gain admission to the Ph. D. program in civil engineering students should have a bachelor ofscience (or bachelor of engineering) degree from an ABET accredited institution (or from a comparable foreign institution) with an overall GPA of 3.3 or greater. [5] Students who do not satisfy these minimum requirements must earn a master of science (or master of engineering) in civil or environmental engineering, or in a closely related field, with a GPA in graduate courses not less than 3.5 (or equivalent). [5]",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,,"['Computing and Systems', 'Construction Engineering', 'Environmental, Water Resources, and Coastal Engineering', 'Geotechnical/Geoenvironmental Engineering', 'Mechanics and Materials', 'Structural Engineering and Mechanics', 'Transportation Materials and Systems']","The Doctor of Philosophy in Civil Engineering (PhD in Civil Engineering) provides students with a unique opportunity to demonstrate innovation in a wide range of civil engineering research areas. The PhD in Civil Engineering degr ee is awarded to candidates who successfully complete a program of advanced courses, qualification and research requirements and dissertation defense. Students are expected to carry out an independent investigation in a civil engineering research area under supervision of experienced researchers. Graduates of the program are anticipated to meet the challenges in the civil engineering discipline and provide innovative solutions based on the most recent developments in civil engineering. [2]",,https://catalog.ncsu.edu/graduate/,"North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, masters, and doctorate degrees. [14, 15] Program-specific accreditation for the Doctor of Philosophy in Civil Engineering is not mentioned on the university website.",,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,fellowships,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Civil Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Computing and Systems', 'Construction Engineering', 'Environmental, Water Resources, and Coastal Engineering', 'Geotechnical/Geoenvironmental Engineering', 'Mechanics and Materials', 'Structural Engineering and Mechanics', 'Transportation Materials and Systems']","Graduate programs are offered in coastal and water resources engineering, computing and systems, construction engineering and management, environmental engineering, geotechnical and geoenvironmental engineering, mechanics and materials, structural engineering and mechanics, transportation engineering and materials. Degrees earned will be distributed as: ""Master of Civil Engineering"", ""Master of Science,"" and ""Doctor of Civil Engineering"" without specialization specifications. The MSCE degree requires a thesis and a formal minor is optional.",,https://catalog.ncsu.edu/graduate/,"The NC State Civil Engineering program is accredited by the Engineering Accreditation Commission of ABET. [9] North Carolina State University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, masters, and doctorate degrees. [16, 17]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Civil Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,Prerequisites for admission to the MCE degree include an undergraduate degree in civil engineering from an accredited institution or its equivalent with an overall GPA of 3.0. [7],,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,"College of Engineering, Department of Civil, Construction, and Environmental Engineering",,,,,,,,"['Construction engineering', 'Environmental, water resources, and coastal engineering', 'Geotechnical/geoenvironmental engineering', 'Structures and mechanics', 'Transportation materials', 'Transportation systems']","The Master of Civil Engineering provide students an opportunity for advanced training and specialization through programs in construction engineering and management, environmental engineering, geotechnical engineering, hydraulics/hydrology (on-campus students only), pavements and materials, structural engineering, and transportation engineering (on-campus students only). [1] No thesis is required for this program. [1]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,"80 (iBT), 550 (PBT), 213 (Computer-based)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Certificate in Climate Adaptation,,,,,Graduate-Certificate,Fall 2026,,,,Optional,Required,Not Required,REQUIRED,"All applicants for degree-seeking graduate programs at North Carolina State University are required to submit an online application form, which includes a statement of purpose. [2] Additionally, applicants must provide an unofficial transcript from each college or university previously attended and three letters of recommendation. [2] Some programs may have additional requirements, such as portfolios or other work samples. [2]",Optional,,False,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Sciences,,,,,,,,," The Graduate Certificate in Climate Adaptation program at NC State University provides accredited, academic training in the emerging field of climate adaptation. [5] The online, twelve credit program is designed to provide mid-career professionals and entry-level students with technological skills and specialization in climate adaptation. [5] The certificate is a fully accredited credential and a potential path toward the Climate Adaptation degree program. [5] Coursework includes Fundamentals of Climate Change Science, Climate Risk Analysis, Climate Communication and Introduction to Geographic Information Systems. [5]",,https://catalog.ncsu.edu/graduate/,"The Graduate Certificate in Climate Adaptation program at NC State University provides accredited, academic training in the emerging field of climate adaptation. [5]",,Online and Distance Education students are charged the standard graduate tuition rates.,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,550 on the paper-based test (with scores of 50 on at least two of the three sections and no section score below 45) or 213 on the computer-based test (with at least 17 on three sections and no section score below 13),,,,,,,,,,,,,"Students in a graduate certificate program may qualify for financial aid, which is mostly in the form of student loans. [17]",FALSE,,,FALSE,FALSE,,,,
,Master of Climate Change and Society,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants to the Master's Climate Change and Society degree should send a letter of application to the department outlining why they want the degree and their professional aspirations. A grade point average (GPA) of at least 3.0 on a 4-point scale is the minimum requirement for admission to the Marine, Earth, and Atmospheric Sciences department.",Not Required,,True,False,True,True,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,110.0,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Education in Clinical Mental Health Counseling,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Completed online application, resume, personal statement/goals, and non-refundable application fee. We are no longer requiring the GRE Scores/MAT Scores for our masters program. 3 recommendations from people who know your academic record and potential for graduate study (letters should be uploaded online). Official transcripts of all post-secondary education. Official statement of English Proficiency (TOEFL) for international students. [4] Applicants are expected to have an undergraduate GPA of 3.0 or higher. [10]",Optional,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Education,,"$6,367.25/semester for residents, $15,188.75/semester for non-residents (9+ credit hours, 2025-2026)",,,,,,Clinical Mental Health Counseling,"This M. Ed. in clinical mental health counseling is designed to prepare students to work with professionals in different fields to promote wellness and benefits of their clients while maintaining a commitment to multiculturalism. In addition to the traditional core curriculum on developmental theory and the design and implementation of preventive interventions, the program focuses on clinical counseling theory and practice. [8]",,https://catalog.ncsu.edu/graduate/,"Both on-campus and online deliveries are accredited by the Council for the Accreditation of Counseling and Related Educational Programs (CACREP) till March 30, 2030, and prepare students to be eligible for state licensure as a Licensed Clinical Mental Health Counselor Associate (LCMHCA). [8]",,"$568.33/credit hour for residents, $1,751.56/credit hour for non-residents (2025-2026)",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$500 to $10,000",,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,,
,"Doctor of Philosophy in Communication, Rhetoric, and Digital Media",,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Master's degree in Communication, English, Rhetoric, or other relevant field with GPA of 3.0 or better. [3] Master's level work should include one quantitative or qualitative methods course, as well as three courses in an approved disciplinary area. [3] Three reference letters, a statement of goals and interests, a resume of work experience, and a writing sample are also required for application to the program. [3]",Required,,True,True,True,False,False,False,,True,,True,,False,True,True,False,False,,,,College of Humanities and Social Sciences,,,,,,,,,"The Ph.D. Program in Communication, Rhetoric, and Digital Media prepares doctoral students to analyze the social, cultural, rhetorical, philosophical, and political dimensions of information technologies, new communication media, and digital texts, and to actively engage digital media through research, criticism, production, and practice. [2, 6] Students work with program faculty from the departments of Communication and English and with affiliated faculty from departments across the university and the broader UNC system to study oral, written, visual, computational, and multimodal forms of communication and rhetoric; to examine the transformation of communication in the context of converging digital media and communication networks; and to address the theoretical and practical challenges of innovative, interdisciplinary research. [1, 3] The program offers comprehensive mentoring for professional development, diverse opportunities for teaching experience, and research assistantships associated with grant-funded faculty projects. [2, 6] CRDM faculty and students collaborate with colleagues in science and technology fields across the university and the Research Triangle. [2]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,"Teaching Assistantships, Research Assistantships",FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Communication,,,,,Doctoral,Fall 2026,,,,Required,Required,,REQUIRED,"Admission Requirements for consideration for the Doctor of Philosophy degree in Communication, Rhetoric, and Digital Media include a Master's degree in Communication, English, Rhetoric, or other relevant field with a Master's GPA of 3.0 or better. [9] Master's level work should include one quantitative or qualitative methods course (this requirement may be met after admission from courses at NC State) and 9 credit-hours in an approved disciplinary area and 3 credit-hours in a second disciplinary area. [9] The online application requires the submission of a personal statement, a résumé or curriculum vitae, academic writing samples, and unofficial transcripts. [1] Applicants must also provide the names and addresses of three recommenders. [1]",Required,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The Ph.D. Program in Communication, Rhetoric, and Digital Media prepares doctoral students to analyze the social, cultural, rhetorical, philosophical, and political dimensions of information technologies, new communication media, and digital texts, and to actively engage digital media through research, criticism, production, and practice. Students work with program faculty from the departments of Communication and English and with affiliated faculty from departments across the university and the broader UNC system to study oral, written, visual, computational, and multimodal forms of communication and rhetoric; to examine the transformationਜ of communication in the context of converging digital media and communication networks; and to address the theoretical and practical challenges of innovative, interdisciplinary research. [1]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Communication,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply, you'll complete your application through the NC State Graduate School. It will include a resume, personal statement, writing samples and reference letters. We do not require prospective students to take the Graduate Record Examination (GRE). [4] Applicants should have a minimum 3.0 GPA in their undergraduate major and a minimum of 3.0 over the last 60 hours of undergraduate work. [5]",Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Humanities and Social Sciences,,,,,,,,,,,https://catalog.ncsu.edu/graduate/,,,"NC Resident: $707.47/credit hour; Non-Resident: $1,890.70/credit hour",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,"The Graduate Student Support Plan (GSSP) offers tuition support and health insurance for eligible students with qualifying graduate assistantships (teaching or research) or fellowships. [2, 5, 9, 10, 13]",FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Community College Leadership,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A concise statement about your academic and professional (work) background, your career goals and your reasons for applying to this degree program. Please be specific in explaining how this program fits your educational and career objectives.",,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Education in Community College Teaching,,,,,Graduate,Fall 2026,,,,,,,REQUIRED,"General application requirements are not explicitly listed at the institute level. Applicants are directed to the specific requirements of their program of interest. The general process involves submitting an online application, application fee, and transcripts. Other materials such as a personal statement, resume/CV, letters of recommendation, and test scores are determined by the individual graduate programs.",,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Education,,,,,,,,Community College Teaching,"The Master of Education (M.Ed.) in Adult and Community College Education is designed for entering and experienced educators who seek to advance their careers. Our degree program integrates the best of established adult and lifelong education topics with emerging professional fields. [2] The program is designed for entering and experienced community college instructors who value having both academic discipline content expertise, as well as a strong background in adult learning, instructional design and evaluation, and community college education. [1] Our program prepares graduates in key subject areas such as understanding adult learner characteristics, motivations, barriers and opportunities; the study of how adults learn, change and grow and how they can be supported by others to do so; the role of technology and distance education in adult learning; and, how professionals can build capacities to design, assess, lead and change organizations that serve adult learners. [2]",,https://catalog.ncsu.edu/graduate/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Comparative Biomedical Sciences,,,,,Doctoral,Fall 2026,,,,Optional,Required,Not Required,REQUIRED,"Students are accepted into the Comparative Biomedical Sciences program based on their academic records (GPA) as undergraduates and/or as veterinary or medical students, letters of recommendation, and expression of interest in comparative biomedical research. For the Ph.D. program, special consideration will be given to students who have had research experience (either an M.S. degree or other laboratory experience), especially in a biomedical discipline, or students who are completing strong clinical residency programs. To be admitted, a student should be a graduate of a major accredited biological science or medical science program. Students with a 3.0 (on a 4.0 scale) undergraduate or DVM curriculum with appropriate course background will be considered for admission. [3, 2, 5]",Not Required,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Veterinary Medicine,"For 9+ credit hours: $6,367.25 (NC Resident), Non-resident: Not specified on the page. [88]",,,,,,,,,,https://catalog.ncsu.edu/graduate/,,,"1 credit hour: $707.47 (NC Resident), $1,890.70 (Non-resident). [88]",FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,Graduate assistantships. [74],FALSE,,,FALSE,FALSE,,,,
,Master of Science in Comparative Biomedical Sciences,,,,,Graduate,Fall 2026,,,,Optional,Required,Optional,REQUIRED,"Students are accepted into the Comparative Biomedical Sciences program based on their academic records (GPA) as undergraduates and/or as veterinary or medical students, letters of recommendation, and expression of interest in comparative biomedical research. [1] To apply, complete the NC State Graduate School online application. [1] Include with your application: Official transcripts, Curriculum vitae (recommended), Expression of interest in comparative biomedical research (personal statement), and Letters of recommendation. [1] Candidates who do not have a DVM degree must have a baccalaureate degree or advanced degree from a college or university recognized as standard by a regional or general accrediting agency. [2] Students with a 3.0 (on a 4.0 scale) undergraduate or DVM curriculum with appropriate course background will be considered for admission. [2]",,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Veterinary Medicine,,,,,,,,"['cell biology', 'immunology', 'infectious diseases', 'pathology', 'pharmacology', 'population medicine']"," The  C o m p a r a t i v e  B i o m e d i c a l  S c i e n c e s  g r a d u a t e  p r o g r a m  i s  a  m u l t i d i s c i p l i n a r y  g r a d u a t e  p r o g r a m  h o s t e d  i n  t h e  C o l l e g e  o f  V e t e r i n a r y  M e d i c i n e  w i t h  f a c u l t y  w h o  a r e  e m p l o y i n g  s t a t e - o f - t h e - a r t  t e c h n i q u e s  t o  a d d r e s s  a  n u m b e r  o f  i n t e r e s t i n g  s c i e n t i f i c  p r o b l e m s  i n  t h e  b a s i c  a n d  a p p l i e d  b i o m e d i c a l  s c i e n c e s .  T h e  o b j e c t i v e s  o f  t h e  g r a d u a t e  p r o g r a m  a r e .  T o  t r a i n  s t u d e n t s  t o  ( 1 )  c o n d u c t  i n d e p e n d e n t  r e s e a r c h  i n  b a s i c  a n d / o r  a p p l i e d  b i o m e d i c a l  s c i e n c e s  i n  t h e i r  a r e a  o f  s p e c i a l i z a t i o n ,  ( 2 )  h a v e  a  f u n d a m e n t a l  a n d  b r o a d - b a s e d  i n t e r d i s c i p l i n a r y  k n o w l e d g e  o f  a n i m a l  a n d  h u m a n  h e a l t h - r e l a t e d  b i o m e d i c a l  s c i e n c e s ,  ( 3 )  d e v e l o p  c r i t i c a l  t h i n k i n g ,  o r a l  a n d  w r i t t e n  c o m m u n i c a t i o n ,  l e a d e r s h i p  a n d  t e a m  s k i l l s ,  a n d  ( 4 )  e x c e l  a s  t e a c h e r s  o f  b i o m e d i c a l  s c i e n c e .  T o  p r e p a r e  s t u d e n t s  f o r  c o m p e t i t i v e  c a r e e r s  a t  a c a d e m i c  i n s t i t u t i o n s ,  g o v e r n m e n t  a n d  n o n p r o f i t  a g e n c i e s  o r  p r i v a t e  i n d u s t r y .",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Comparative Biomedical Sciences,,,,,Graduate,Fall 2026,,,,Optional,Required,Optional,REQUIRED,"Students are accepted into the Comparative Biomedical Sciences program based on their academic records (GPA) as undergraduates and/or as veterinary or medical students, letters of recommendation, and expression of interest in comparative biomedical research. [1] To apply, complete the NC State Graduate School online application and meet all admission requirements. Applicants must include official transcripts, a curriculum vitae (recommended), an expression of interest in comparative biomedical research (personal statement), and letters of recommendation. [1]",,,True,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Veterinary Medicine,,,,,,,,,,,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80,,,,,,,,,,,,,Graduate assistantships,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Computer Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,,,"A strong Ph.D. program is available for those who wish to pursue a research and/or teaching career in Industry, Government or Academia. Approximately 54 credit hours are required beyond the M.S. degree or 72 credit hours beyond the B.S. degree. For those with an NC State MS degree in our department, no additional courses are required. For those with an NC State MS degree in another department, 6 credit hours are required in our department. For those with a non NC State MS degree, 12 credit hours of coursework are required. For those with only a Bachelors degree 30 credit hours of coursework are required. The remaining credit hours are research. All Ph.D. students are required to pass a qualifying review before the end of their third semester of study. This review is based on the student's academic performance to date and the results of a project with one of their committee members. Results are presented to the committee in both written and oral form.",,https://catalog.ncsu.edu/graduate/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Graduate Student Support Plan (GSSP), Research Assistantship, Teaching Assistantship",FALSE,,,FALSE,FALSE,,,,
