QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,extraction_level,Program name,Program Page url
,College of Health and Human Sciences,,,3.0,96.4,"Fall, Spring, Summer",2024-08-19,"Fall: May 1 (international), July 1 (domestic); Spring: October 1 (international), November 1 (domestic); Summer: March 1 (international), April 1 (domestic)",65.0,,653.2,,70.0,"Merit-based, Need-based",36 credit hours,,program,Applied Family Science,https://global.k-state.edu/courses/masters/applied-family-science/
,Department of Architectural Engineering and Construction Science,,4.0,3.0,96.1,"Fall, Spring",2024-08-26,,65.0,,,,,"Graduate Research Assistantships, Graduate Teaching Assistantships",30 semester hours,,program,Architectural Engineering,https://engg.k-state.edu/are-cns/academics/graduate/
,"College of Architecture, Planning & Design, Department of Architecture",,,3.0,97.2,Fall,2024-08-19,,65.0,,,,78.1,Graduate Assistantship,3.5 years,,program,Architecture,https://apdesign.k-state.edu/arch/programs/master-of-architecture/
,Department of Art,,,3.0,97.2,Fall,2024-08-26,XXXX-01-15,65.0,,452.9,,,Graduate Assistantship,60 credit hours,,program,Art,https://www.k-state.edu/grad/academics/programs/art/
,Department of Art,,,3.0,97.0,Fall,2024-08-26,2025-02-01,65.0,,,,90.0,Graduate Teaching Assistantship,"2 years, 30 credit hours",,program,Art History,https://art.k-state.edu/academics/graduate/art-history/
781.0,Department of Biochemistry and Molecular Biophysics,,,3.0,97.7,Fall,2024-08-19,2025-02-01,65.0,,,30000.0,,Graduate research or teaching assistantship,,,program,Biochemistry,https://www.k-state.edu/grad/academics/programs/biochemistry/
,Department of Biochemistry and Molecular Biophysics,,,3.0,,Fall,2024-08-26,2024-12-01,65.0,30000.0,,30000.0,,Graduate research assistantship,90 semester credit hours,,program,Biochemistry and Molecular Biophysics,https://www.bmb.k-state.edu/graduate/
851.0,Center for Bioinformatics and Functional Genomics,,4.0,3.0,97.0,"Fall, Spring, Summer",2024-08-26,"August 1 (Fall), January 1 (Spring), May 1 (Summer)",65.0,,,,,Merit-based,12-credit hour,,program,Bioinformatics,https://www.k-state.edu/bioinfo/academics/graduate-certificate/
,"Department of Biological and Agricultural Engineering, Carl R. Ice College of Engineering",,,3.0,,"Fall, Spring",,,40.0,,,,,"Graduate Research Assistantships (GRAs), Graduate Teaching Assistantships (GTAs), Fellowships",M.S.: 30 credit hours; Ph.D.: 90 credit hours,,program,Biological and Agricultural Engineering,https://www.bae.k-state.edu/graduate/
,Division of Biology,,,3.0,,Fall,2024-08-26,2024-12-01,65.0,,,24000.0,100.0,Graduate Assistantship,"2 years (M.S.), 4-5 years (Ph.D.)",,program,Biology,https://www.k-state.edu/biology/grad/
512.0,College of Veterinary Medicine,,,3.0,,"Fall, Spring",,"January 15 (Fall), August 15 (Spring)",65.0,,,,,"Graduate Research Assistantships, Graduate Teaching Assistantships, Fellowships",30 semester-credit hours,,program,Biomedical Science,https://www.vet.k-state.edu/education/graduate/biomed/
,College of Agriculture,,,3.0,98.1,"Fall, Spring, Summer",2024-08-26,,65.0,,725.0,,,Merit-based,30 credit hours,21750.0,program,Biosecurity,https://global.k-state.edu/ag/biosecurity/
,College of Business Administration,,,3.0,97.5,"Fall, Spring",,,65.0,,1015.9,,,"Graduate Assistantship, Scholarship",36 credit hours,33525.0,program,Business Administration,https://cba.k-state.edu/academics/graduate/index.html
,"Department of Chemical Engineering, Carl R. Ice College of Engineering",,,3.0,96.3,"Fall, Spring, Summer",2024-08-19,January 8,65.0,,,,,"Graduate Research Assistantship, Graduate Teaching Assistantship",30 credit hours (M.S.); 90 credit hours (Ph.D.),,program,Chemical Engineering,https://www.che.ksu.edu/academics/grad/
,Department of Chemistry,,,3.0,,"Fall, Spring",2024-08-19,2024-08-01,65.0,,,26000.0,100.0,"Graduate Teaching Assistantship, Graduate Research Assistantship",30 semester hours,,program,Chemistry,https://www.k-state.edu/chem/academics/graduate/
,Department of Civil Engineering,,,3.0,,"Fall, Spring",2024-08-26,"Fall: February 1 (international), March 1 (domestic); Spring: August 1 (international), October 1 (domestic)",65.0,,,,,"Graduate Research Assistantships (GRAs), Graduate Teaching Assistantships (GTAs)","30 semester hours (M.S.), 90 semester hours (Ph.D.)",,program,Civil Engineering,https://ce.k-state.edu/academics/graduate/
,"College of Education, Department of Educational Leadership",,4.0,3.0,,Fall,,,65.0,,,,,Graduate Assistantship,36 credit hours,,program,College Student Development,https://coe.k-state.edu/academics/graduate/college-student-development/
,"Department of Communication Studies, College of Arts and Sciences",,,3.0,,Fall,,,65.0,,,13158.0,,Graduate Teaching Assistantship,2 years,,program,Communication Studies,https://www.k-state.edu/commstudies/graduate/
,"College of Architecture, Planning & Design",,,3.0,96.9,"Fall, Spring, Summer",2024-08-26,"Fall: July 1, Spring: November 15, Summer: April 15",65.0,7028.0,,16000.0,,Graduate Assistantship,36 credit hours,,program,Community Development,https://online.k-state.edu/programs/community-development-masters/
,Department of Diagnostic Medicine/Pathobiology,,,3.0,97.9,Fall,2024-08-26,2024-08-01,65.0,,,,,"Graduate research assistantships, graduate teaching assistantships and fellowships",A minimum of 90 graduate credit hours is required for the Ph.D. degree beyond the B.S. degree.,,program,Comparative Pathobiology,https://www.vet.k-state.edu/education/dmp/graduate/phd-program.html
,"Department of Computer Science, Carl R. Ice College of Engineering",,4.0,3.0,97.1,"Fall, Spring",2024-08-19,2024-08-01,40.0,7493.0,,18000.0,,"Graduate Teaching Assistantship, Graduate Research Assistantship",30 semester credit hours,,program,Computer Science,https://cs.k-state.edu/graduate/
,School of Security Studies,,,3.0,97.8,"Fall, Spring, Summer",2024-08-26,,65.0,6263.0,,,54.8,"Merit-based, Need-based",12 credit hours,,program,Conflict Analysis and Trauma Studies,https://www.k-state.edu/security-studies/academics/graduate/CATS/
493.0,College of Arts and Sciences,,4.0,3.0,97.5,"Fall, Spring, Summer",2024-08-26,,65.0,,,,,Graduate Assistantship,33 credit hours,,program,Conflict Resolution,https://www.k-state.edu/conflict-resolution/
,"College of Education, Department of Special Education, Counseling, and Student Affairs",,,3.0,98.0,Fall,2024-08-26,,65.0,,,,,Graduate Assistantship,93 credit hours,,program,Counseling and Student Development,https://coe.k-state.edu/academics/departments/special-education-counseling-student-affairs/counseling-student-development/phd-counseling-student-development.html
,College of Health and Human Sciences,,4.0,3.0,97.1,"Summer, Fall",2024-08-26,2024-12-01,65.0,,,,100.0,Graduate Assistantship,57 credit hours,,program,Couple and Family Therapy,https://www.hhs.k-state.edu/cft/
,Department of English,,4.0,3.0,97.3,Fall,,2025-01-15,65.0,,,14000.0,100.0,Graduate Teaching Assistantship,30 credit hours,,program,Creative Writing,https://english.k-state.edu/academics/graduate/ma-creative-writing.html
801.0,"College of Education, Department of Curriculum & Instruction",,4.0,3.0,97.3,"Fall, Spring, Summer",2024-08-26,,65.0,,595.0,,,Graduate Assistantship,31 credit hours,,program,Curriculum and Instruction,https://coe.k-state.edu/academics/departments/curriculum-instruction/
,"Department of Computer Science, Carl R. Ice College of Engineering",,,2.2,97.0,"Fall, Spring, Summer",2024-08-19,2025-02-01,60.0,6328.0,,,,Merit-based,15 credit hours,,program,Cybersecurity,https://global.k-state.edu/academics/cybersecurity-certificate/
,"College of Agriculture, College of Arts and Sciences, Carl R. Ice College of Engineering, and College of Health and Human Sciences",,,3.0,97.7,"Fall, Spring, Summer",,"Fall: July 1 (Domestic), June 1 (International); Spring: Dec 1 (Domestic), Nov 1 (International); Summer: April 1 (Domestic), March 1 (International)",65.0,6644.0,750.0,,,"Merit-based, Need-based",30 credit hours,22500.0,program,Data Analytics,https://www.k-state.edu/data-analytics/
851.0,"Department of Diagnostic Medicine/Pathobiology, College of Veterinary Medicine",,4.0,3.0,96.7,"Fall, Spring, Summer",,,65.0,6501.0,,,,"Graduate Research Assistantship, Graduate Teaching Assistantship",30 credit hours,,program,Diagnostic Medicine/Pathobiology,https://www.vet.k-state.edu/academics/dmp/graduate/ms-pathobio.html
,"College of Health and Human Sciences, Department of Food, Nutrition, Dietetics and Health",,,3.0,97.9,"Fall, Spring",2024-08-26,2024-12-01,65.0,,721.1,,,"Merit-based, Need-based, Leadership-based",30 credit hours,21633.0,program,Dietetics,https://global.k-state.edu/ag/dietetics/
,"School of Music, Theatre, and Dance",,4.0,2.0,96.8,Fall,2024-08-26,XXXX-02-01,65.0,,,,,Graduate Assistantship,60 credit hours,,program,Drama Therapy,https://www.k-state.edu/mtd/academics/grad/drama-therapy/
,College of Education,,,3.0,97.7,"Fall, Spring, Summer",,"July 1, December 1, May 1",65.0,,621.1,,,"Graduate scholarships, Graduate Assistantship",30 credit hours,18633.0,program,Early Childhood Education,https://www.k-state.edu/education/academics/graduate-programs/masters-programs/early-childhood-education/
,"Department of Economics, College of Arts and Sciences",,,2.0,96.9,Fall,2024-08-19,2024-08-01,40.0,,,18000.0,100.0,Graduate Teaching Assistantship,5 years,,program,Economics,https://www.k-state.edu/economics/academics/phd/
,College of Education,,,3.0,96.8,"Fall, Spring, Summer",2024-08-26,2024-08-01,65.0,,429.6,,,Graduate Assistantship,,,program,Education,https://coe.k-state.edu/academics/graduate/
801.0,"College of Education, Department of Educational Leadership",,,3.0,97.1,"Fall, Spring, Summer",2024-08-19,2024-12-01,65.0,,566.2,,,Graduate Assistantship,30 credit hours,,program,Educational Leadership,https://coe.k-state.edu/academics/departments/educational-leadership/graduate-programs/
,Department of Electrical and Computer Engineering,,,3.0,97.5,"Fall, Spring, Summer",,,,9371.0,,26000.0,,"Graduate research assistantships, Graduate teaching assistantships",30 credit hours,,program,Electrical and Computer Engineering,https://www.ece.k-state.edu/academics/grad/
,Electrical and Computer Engineering,,,3.0,96.3,"Fall, Spring, Summer",2024-08-19,2024-12-01,75.0,,,,,"Graduate Research Assistantships, Graduate Teaching Assistantships",30 credit hours,,program,Electrical Engineering,https://www.ece.k-state.edu/graduate/ms/
,College of Education,,,3.0,95.3,"Fall, Spring, Summer",2024-08-26,2024-12-01,65.0,,575.0,,,Graduate Assistantship,30 credit hours,,program,Elementary Education,https://www.k-state.edu/grad/academics/programs/masters/elem-ed/
,Carl R. Ice College of Engineering,,4.0,3.0,97.3,"Fall, Spring, Summer",2024-08-26,,65.0,8833.0,,,,Graduate research and/or teaching assistantships,"minimum of 90 semester hours of graduate credit beyond the B.S. degree, or a minimum of 60 semester hours of graduate credit beyond the M.S. degree",,program,Engineering,https://engg.k-state.edu/academics/phd/
851.0,Carl R. Ice College of Engineering,,4.0,3.0,97.4,"Fall, Spring, Summer",2024-08-26,,65.0,13983.0,850.0,,,Merit-based,30 credit hours,25500.0,program,Engineering Management,https://engm.k-state.edu/
801.0,"Department of English, College of Arts and Sciences",,4.0,3.0,97.2,"Fall, Spring",2024-08-26,2024-10-01,65.0,,,13150.0,100.0,Graduate Teaching Assistantship,2 years,,program,English,https://www.k-state.edu/english/academics/graduate/ma-english/
,Department of Entomology,2.0,,3.0,97.2,"Fall, Spring",,,65.0,,,,,Graduate Assistantship,"M.S.: 30 credit hours, Ph.D.: 90 credit hours",,program,Entomology,https://entomology.k-state.edu/graduate/
,"College of Architecture, Planning & Design",,,3.0,96.0,Fall,2024-08-19,XXXX-01-08,65.0,6715.0,,,,Graduate Assistantship,60 credit hours,,program,Environmental Design and Planning,https://apdesign.k-state.edu/phd/
,"Department of Civil Engineering, Carl R. Ice College of Engineering",,,3.0,97.6,"Fall, Spring",2024-08-26,"February 1 (Fall, for financial consideration), August 1 (Spring, for financial consideration)",65.0,,,8000.0,,"Graduate Research Assistantships, Graduate Teaching Assistantships",30-credit hour,,program,Environmental Engineering,https://www.k-state.edu/grad/academics/programs/environmental-eng/
,Division of Biology,,4.0,3.0,97.2,Fall,2024-08-26,2024-08-01,65.0,,,,100.0,"Graduate Teaching Assistantships, Graduate Research Assistantships, University fellowships",M.S.: 30 credit hours; Ph.D.: 90 credit hours,,program,Evolutionary Biology,https://www.k-state.edu/evol/
,"Department of Applied Human Sciences, College of Health and Human Sciences",,4.0,3.0,97.8,"Fall, Spring, Summer",2024-08-19,"February 1 (Fall Priority), June 1 (Fall Final), October 1 (Spring), March 1 (Summer)",65.0,,603.5,,,Graduate Assistantship,30 credit hours,18105.0,program,Family and Community Services,https://www.hhs.k-state.edu/ahs/academics/fcs/ms/
,"School of Personal Financial Planning, College of Health and Human Sciences",,4.0,3.0,97.4,"Fall, Spring, Summer",,,65.0,,,,,,18 credit hours,,program,Financial Planning,https://www.hhs.k-state.edu/pfp/academics/graduate/financial-planning-cert/
,College of Health and Human Sciences,,,3.0,96.0,"Fall, Spring, Summer",,,40.0,,653.2,,,Merit-based,18 credit hours,11757.6,program,Financial Therapy,https://online.k-state.edu/programs/financial-therapy-graduate-certificate/
,College of Agriculture,,4.0,3.0,96.9,"Fall, Spring, Summer",2024-08-19,2024-12-01,65.0,,675.0,,,"Merit-based, Need-based",13 credit hours,8775.0,program,Food Safety and Defense,https://global.k-state.edu/ag/food-safety/
841.0,"Food Science Institute, College of Agriculture",,,3.0,97.0,"Fall, Spring",2024-08-26,January 8 for Fall; August 1 for Spring,65.0,,,,,"Graduate Research Assistantships, Graduate Teaching Assistantships",30 semester credits,,program,Food Science,https://foodsci.k-state.edu/graduate/
,"Department of Gender, Women, and Sexuality Studies",,,3.0,96.7,"Fall, Spring",2024-08-26,2024-08-01,,4910.0,,300.0,,Graduate Teaching Assistantship,30-credit hour program,,program,"Gender, Women, and Sexuality Studies",https://www.k-state.edu/gwss/academics/graduate/
,Interdepartmental,,4.0,3.0,97.9,"Fall, Spring",,,65.0,,,28000.0,,Graduate Research Assistantship,,,program,Genetics,https://www.k-state.edu/grad/academics/programs/genetics/
,Department of Geography and Geospatial Sciences,,,3.0,,"Fall, Spring",,,65.0,,,15300.0,100.0,Graduate Assistantship,30 graduate credit hours,,program,Geography,https://www.k-state.edu/geography/academics/graduate/
,"Department of Geology, College of Arts and Sciences",,,3.0,97.2,"Fall, Spring",2024-08-19,2024-08-01,65.0,5857.0,,,90.0,"Graduate Teaching Assistantships, Graduate Research Assistantships",,,program,Geology,https://www.k-state.edu/grad/academics/programs/geology/
851.0,"Center on Aging, College of Health and Human Sciences",,,3.0,,"Fall, Spring",2024-08-26,"February 1 (Fall), October 1 (Spring)",65.0,,,,,"Graduate Assistantship, Scholarship",36-credit hour,,program,Gerontology,https://www.hhs.k-state.edu/aging/academics/masters/
,Department of Grain Science and Industry,,4.0,3.0,,"Fall, Spring",2024-08-19,2024-08-01,40.0,,,20000.0,,"Graduate research assistantships (GRAs), graduate teaching assistantships (GTAs), Scholarship","M.S.: 30 semester hours, Ph.D.: 90 semester hours",,program,Grain Science,https://www.grains.k-state.edu/academics/graduate/
,"Department of Agronomy, College of Agriculture",,4.0,2.5,97.0,"Fall, Spring, Summer",2024-08-26,2024-12-01,65.0,,544.7,,,Merit-based,15 credit hours,,program,Grassland Management,https://online.k-state.edu/programs/grassland-management-certificate/
,"Department of History, College of Arts and Sciences",,4.0,3.0,97.6,Fall,,,65.0,14000.0,,2000.0,100.0,Graduate Teaching Assistantship,30 hours,,program,History,https://www.k-state.edu/history/graduate/
,College of Agriculture,,,3.0,95.2,"Fall, Spring, Summer",,,65.0,,,,,"Graduate Research Assistantship, Graduate Teaching Assistantship","30 (thesis option), 32 (non-thesis option), 35 (report option) credit hours",,program,Horticulture,https://www.k-state.edu/grad/academics/program-details/horti.html
,"Department of Horticulture and Natural Resources, College of Agriculture",,4.0,3.0,96.1,"Fall, Spring, Summer",,,65.0,,725.0,,,Merit-based,34 credit hours,24650.0,program,Horticulture with an emphasis in Urban Food Systems,https://online.k-state.edu/programs/urban-food-systems-masters/
,Department of Hospitality Management,,,3.0,97.1,"Fall, Spring, Summer",2024-08-19,2024-08-01,65.0,4583.0,,,,Graduate Assistantship,30 credit hours,,program,Hospitality Administration,https://www.hhs.k-state.edu/hospitality/academics/graduate/
,Department of Psychological Sciences,,,3.0,97.3,"Fall, Spring, Summer",2024-08-19,2024-12-01,40.0,6451.0,,,,"Merit-based, Need-based",12 credit hours,,program,Human-Computer Interaction,https://global.k-state.edu/courses/graduate-certificate/human-computer-interaction/
,Industrial and Manufacturing Systems Engineering,,,3.0,95.5,"Fall, Spring, Summer",2024-08-26,YYYY-12-01,,,,,,"Graduate Assistantship, Scholarship, Fellowship",30 semester hours,,program,Industrial and Manufacturing Systems Engineering,https://www.imse.k-state.edu/academics/graduate/
,College of Agriculture,,,3.0,97.7,"Fall, Spring, Summer",2024-08-19,2024-08-01,65.0,,725.0,,,Merit-based,30 credit hours,,program,Infectious Diseases of Animals,https://global.k-state.edu/ag/animal-health/infectious-disease/
,Department of Computer Science,,,3.0,98.5,"Fall, Spring, Summer",2024-08-19,2025-02-01,65.0,,,,,Graduate Assistantship,15 credit hours,,program,Information Security and Assurance,https://www.cs.k-state.edu/academics/graduate/certificates/infosec.html
596.0,"College of Education, Department of Curriculum and Instruction",,,3.0,97.3,"Fall, Spring, Summer",,2025-08-01,65.0,,,,,Graduate Assistantship,33 credit hours,,program,Instructional Design and Technology,https://coe.k-state.edu/academics/graduate/instructional-design-technology/
,"College of Architecture, Planning & Design, Department of Interior Architecture & Industrial Design",,4.0,3.0,96.1,Fall,2024-08-26,February 1,65.0,4899.0,,,,"Merit-based, Graduate Assistantship",5 years (157 credit hours),,program,Interior Architecture,https://apdesign.k-state.edu/interior-architecture/academics/miarc/
801.0,"College of Architecture, Planning & Design, Department of Interior Architecture & Product Design",,,3.0,95.5,Fall,2024-08-19,2025-01-15,65.0,,,,,"Graduate Assistantship, Scholarship",Three-plus-year track or a two-year post-baccalaureate track,,program,Interior Architecture and Product Design,https://apdesign.k-state.edu/iapd/graduate/
,A.Q. Miller School of Journalism and Mass Communications,,4.0,3.0,95.1,"Fall, Spring, Summer",2024-08-19,"Fall: Jan. 8 (priority), March 1 (international), June 1 (domestic); Spring: Aug. 1 (international), Oct. 1 (domestic); Summer: Dec. 1 (international), March 1 (domestic)",65.0,,,,,Graduate Teaching Assistantship,30 credit hours,,program,Journalism and Mass Communications,https://www.k-state.edu/grad/academics/program-details/mass-communications/
,"College of Education, Department of Educational Leadership",,,3.0,96.9,"Fall, Spring, Summer",,,65.0,,614.9,,,Merit-based,36 credit hours,,program,K-12 School Leadership,https://coe.k-state.edu/academics/departments/educational-leadership/masters/
,"Department of Kinesiology, College of Health and Human Sciences",,4.0,3.0,,"Fall, Spring",,,65.0,,,,,"Graduate Assistantship, Scholarship",Minimum of 30 semester credit hours,,program,Kinesiology,https://www.hhs.k-state.edu/kines/academics/grad/
,"College of Architecture, Planning & Design, Department of Landscape Architecture and Regional & Community Planning",,4.0,3.0,97.0,"Fall, Spring",,2025-01-08,65.0,,,1500.0,,"Merit-based, Graduate Assistantship",2 to 3+ years,,program,Landscape Architecture,https://apdesign.k-state.edu/larcp/academics/mla/
,Staley School of Leadership,,4.0,3.0,96.0,Fall,2024-08-19,2025-01-08,65.0,7701.0,,,,Graduate Assistantship,"four-year, full-time program",,program,Leadership,https://www.k-state.edu/leadership/academics/phd/
,Staley School of Leadership,,,3.0,98.0,Fall,2024-08-19,2025-12-01,65.0,6375.0,,20000.0,100.0,Graduate Assistantship,60 credit hours,,program,Leadership Communication,https://www.k-state.edu/leadership/academics/phd-communication/
671.0,Graduate School,,4.0,3.0,97.3,"Fall, Spring",2024-08-26,"Jan. 8 for fall, Aug. 1 for spring",65.0,,,,,Graduate Research Assistantship,,,program,Life Sciences,https://www.k-state.edu/grad/academics/interdisciplinary/life-sciences/
,College of Education,,,3.0,96.9,"Fall, Spring, Summer",2024-08-26,YYYY-08-01,65.0,,545.0,20000.0,,Merit-based,12 credit hours,6540.0,program,Literacy Education,https://online.k-state.edu/programs/literacy-education-certificate/
,A.Q. Miller School of Journalism and Mass Communications,,4.0,3.0,96.0,Fall,2024-08-26,2025-02-01,65.0,16000.0,,16000.0,100.0,Graduate Teaching Assistantship,At least 90 semester hours of graduate study beyond the bachelor's degree,,program,Mass Communications,https://www.k-state.edu/jmc/graduate/phd/
,Department of Mathematics,,,3.0,97.7,"Fall, Spring",2024-08-26,,65.0,,,20000.0,,Graduate Assistantship,,,program,Mathematics,https://www.math.k-state.edu/graduate/
,Alan Levin Department of Mechanical and Nuclear Engineering,,,3.0,97.4,"Fall, Spring",2024-08-26,,65.0,5205.0,,16000.0,,"Graduate Research Assistantships, Graduate Teaching Assistantships",30 semester hours (M.S.),,program,Mechanical Engineering,https://www.mne.k-state.edu/graduate/
,Division of Biology,,,3.0,96.3,"Fall, Spring",2024-08-19,2024-12-01,65.0,,,25500.0,86.0,Graduate Teaching or Research Assistantships,M.S.: Minimum 30 semester hours; Ph.D.: Minimum 90 semester hours,,program,Microbiology,https://www.k-state.edu/biology/grad/micro/
,"Department of Modern Languages, College of Arts and Sciences",,4.0,3.0,94.9,"Fall, Spring",2024-08-19,2024-12-01,40.0,8045.0,,15140.0,,Graduate Teaching Assistantship,30 semester hours,,program,Modern Languages,https://www.k-state.edu/mlangs/academics/graduate/ma/
,"School of Music, Theatre, and Dance",,4.0,3.0,96.8,"Fall, Spring, Summer",,February 1,65.0,,,6930.0,,Graduate Assistantships,A minimum of 30 semester hours of graduate credit,,program,Music,https://www.k-state.edu/mtd/music/areas/grad/
,Alan Levin Department of Mechanical and Nuclear Engineering,,,3.0,97.5,"Fall, Spring",2024-08-26,2024-08-01,,,,,,Teaching and research assistantships and fellowships,30 semester hours,,program,Nuclear Engineering,https://mne.k-state.edu/academics/grad/nuclear-option/
,"Department of Food, Nutrition, Dietetics and Health",,4.0,3.0,98.3,"Fall, Spring, Summer",2024-08-19,2024-08-01,65.0,,,,,"Graduate Assistantship, Scholarship",30 credit hours (M.S.),,program,"Nutrition, Dietetics and Sensory Sciences",https://www.hhs.k-state.edu/fndh/graduate/ndss/
,"College of Agriculture, College of Arts and Sciences, College of Health and Human Sciences, and the College of Veterinary Medicine",,,3.0,97.1,"Fall, Spring, Summer",2024-08-26,2024-12-01,65.0,,656.7,,,Academic Scholarship,12 credit hours,7880.4,program,One Health,https://global.k-state.edu/ag/one-health/
901.0,Industrial and Manufacturing Systems Engineering,,,3.0,97.0,"Fall, Spring",2024-08-19,2024-08-01,65.0,,,,,Graduate teaching assistantships (GTAs) and graduate research assistantships (GRAs),30-credit hour,,program,Operations Research,https://www.imse.k-state.edu/graduate/msor/
,"Department of Diagnostic Medicine/Pathobiology, College of Veterinary Medicine",,4.0,3.0,97.8,"Fall, Spring",2024-08-19,,65.0,5606.0,,30000.0,63.7,Graduate Research Assistantship,4-5 years,,program,Pathobiology,https://www.vet.k-state.edu/academics/dmp/graduate/phd/
851.0,"Department of Personal Financial Planning, College of Health and Human Sciences",,,3.0,97.4,"Fall, Spring, Summer",2024-08-26,2025-01-08,65.0,4589.0,785.0,10000.0,,Merit-based,36 credit hours,28260.0,program,Personal Financial Planning,https://www.hhs.k-state.edu/pfp/
801.0,"Department of Grain Science and Industry, College of Agriculture",,4.0,3.0,96.3,"Fall, Spring, Summer",,,65.0,6373.0,750.0,,,Merit-based,12 credit hours,9000.0,program,Pet Food Processing,https://online.k-state.edu/programs/pet-food-processing-certificate/
,Department of Philosophy,,,3.0,97.5,Fall,2024-08-19,YYYY-01-15,65.0,,,12700.0,,Graduate Teaching Assistantships,30 hours of graduate coursework,,program,Philosophy,https://www.k-state.edu/philosophy/academics/graduate/
851.0,College of Arts and Sciences,,,3.0,97.3,"Fall, Spring",2024-08-26,"February 1 (Fall), September 1 (Spring)",65.0,,,,,Graduate Assistantships,30 credit hours,,program,Physical Science,https://www.k-state.edu/grad/academics/programs/physical-science/
,Department of Physics,,4.0,3.0,95.6,"Fall, Spring",,,40.0,,,24000.0,100.0,Graduate Assistantship,"30 semester hours (M.S.), 90 semester hours (Ph.D.)",,program,Physics,https://www.k-state.edu/physics/graduate/
,"Department of Anatomy & Physiology, College of Veterinary Medicine",,4.0,3.0,98.0,"Fall, Spring",,,65.0,7300.0,,,70.0,Graduate Research Assistantship,M.S.: minimum 30 semester hours; Ph.D.: minimum 90 semester hours,,program,Physiology,https://www.vet.k-state.edu/academics/anatomy-physiology/graduate/
,Department of Plant Pathology,,4.0,3.0,,"Fall, Spring, Summer",2024-08-26,2024-12-01,75.0,,,,100.0,Graduate Research Assistantship,A minimum of 30 semester hours,,program,Plant Pathology,https://www.plantpath.k-state.edu/graduate/
,Department of Political Science,,,3.0,95.3,"Fall, Spring",2024-08-26,,65.0,,,13500.0,,Graduate Teaching Assistantships,30 credit hours,,program,Political Science,https://www.k-state.edu/grad/academics/program-details/polscima/
