Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The Certificate in Educational Technology and Distance Learning is a fully online certificate program designed for K-12 educators, educational leaders, corporate trainers, and those who seek to improve their online design and technology skills in P-20, public, or private settings. Courses examine the most current and emerging technologies to engage learners of all ages. Participants have opportunities to experiment with a variety of technology tools and resources. Each course provides hands-on opportunities to design and create a range of multimedia materials and projects for teaching and learning. Courses completed for the certificate may be applied to the MA in Education option in curriculum and instruction with the approval of the graduate coordinator.",https://catalog.csuchico.edu/colleges-departments/college-communication-education/education/educational-technology-distance-learning/,,Certificate,Certificate in Educational Technology and Distance Learning,https://catalog.csuchico.edu/colleges-departments/college-communication-education/education/educational-technology-distance-learning/,
,"The Master of Science in Electrical and Computer Engineering provides advanced knowledge and skills in specialized areas for students who desire a career in research, development, and design in industrial, governmental, and academic settings. The goal of the MS ECE program is to produce high-quality masters-level engineers who are able to apply modern theory, tools, and techniques to solve real-world problems. The program is specifically designed to provide a balance between theory and practice and prepare the students for the challenges of the 21st century. The MS ECE students have two options for completing their degree: thesis option or project option.",https://www.csuchico.edu/ece/programs/ms-electrical-computer-engineering/index.shtml,,,Master of Science in Electrical and Computer Engineering,https://www.csuchico.edu/graduatestudies/programs/,
"Literary Studies Option, Creative Writing Option, Special-Major Option","The Master of Arts in English at Chico State provides students with a rich and varied engagement with literary study. The graduate curriculum combines broad training in literary history, literary theory, and pedagogy with specialized seminars in a wide range of topics, periods, and theoretical approaches. Students in our program benefit from small classes and close working relationships with our dedicated graduate faculty. In addition to a rigorous course of study, MA students have many opportunities to develop as professionals. Most of our graduate students gain valuable teaching experience in our first-year composition program, and many others work as tutors in the Student Learning Center. Our graduate students present their work at conferences, publish their essays in journals, and are regularly accepted into prestigious PhD programs.",https://www.csuchico.edu/engl/programs/graduate/index.shtml,,MA,Master of Arts in English,https://www.csuchico.edu/graduatestudies/programs/,
Public History,"The Master of Arts in History is a 30-unit program that provides advanced study in selected fields of history, offers training in historical research and writing, and culminates in a thesis or a comprehensive exam. We have both a general program and an option in public history. Students work closely with faculty members in small seminars and on individual research projects. This close interaction is one of the chief attractions of our department. Graduate seminars are devoted to intensive reading, discussion, and writing on selected topics. We work with students in the credential program. Please speak to the graduate coordinator for more information on our integrated credential program. The MA in history at Chico State helps prepare students for a variety of careers. Our graduates have gone on to doctoral programs, teaching careers at the secondary and community college levels, and positions in archives, museums, and other government agencies. We also welcome students who wish to pursue a master's degree for personal enrichment.",http://www.csuchico.edu/hist/,,Master of Arts,Master of Arts in History,https://catalog.csuchico.edu/colleges-departments/college-humanities-fine-arts/history/history.pdf,
,"The Interdisciplinary Studies MA/MS is for students who want to create their own graduate degree from two or more academic departments. Students design a curriculum to address a specific academic interest or professional objective that cannot be met by an existing graduate program. Recent graduates have used their degree for career advancement in social work, business, environmental agencies, community organizations, and the arts.",https://www.csuchico.edu/graduatestudies/prospective-students/programs/interdisciplinary.shtml,,,Master of Arts/Master of Science in Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/prospective-students/programs/interdisciplinary.shtml,
,"The graduate program in kinesiology provides an intensive course of study based on scientific principles of physical activity and their application in the sub-disciplines of biomechanics, exercise physiology, motor control/learning, sport and exercise psychology, and sport sociology. The program prepares students for advanced doctoral studies and for careers in fields related to health, wellness, physical activity, and sport.",https://catalog.csuchico.edu/colleges-departments/college-communication-education/kinesiology-exercise-physiology/kinesiology-exercise-physiology.pdf,,Master of Science,Master of Science in Kinesiology,https://catalog.csuchico.edu/colleges-departments/college-communication-education/kinesiology-exercise-physiology/kinesiology-exercise-physiology.pdf,
"['Second Language Teaching', 'Spanish']","The MA in Language Teaching is an interdisciplinary program that prepares students to teach languages in a wide variety of contexts in the U.S. and abroad. The program offers two tracks: Second Language Teaching and Spanish. Students in both tracks have the opportunity to take courses from both the Department of English and the Department of International Languages, Literatures, and Cultures. The MA in Language Teaching is a two-year program for full-time students. Part-time students may take up to seven years to complete the degree. In their final semester, all students are required to write a master’s project or thesis. Graduates of the program are well-prepared to work as language teachers at any level, from elementary school to university. Many also find work in curriculum development and design, language program administration, and language testing and assessment. Others choose to continue their studies in a PhD program.",https://www.csuchico.edu/engl/programs/graduate/ma-in-language-teaching.shtml,,Master of Arts,Master of Arts in Language Teaching,https://www.csuchico.edu/graduatestudies/programs/,
"Mathematics Education, Pure Mathematics","The graduate program in mathematics is a vibrant community of faculty and students. We are committed to excellence in teaching and research in mathematics and mathematics education. Our graduate program provides a supportive environment for students to learn advanced mathematics and develop as mathematicians and educators. The Master of Science in Mathematics has two options: Mathematics Education and Pure Mathematics. Our program prepares students with the skills needed to succeed in industry, education, and in doctoral programs.",https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/mathematics-ms/,,,Master of Science in Mathematics,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/mathematics-ms/,
"General Option, Nutrition Education Option","The Master of Science in Nutritional Science provides an opportunity for advanced study in nutritional science, preparing students for careers in nutrition and dietetics. The program enhances skills and competencies of students for positions in administration, advocacy, counseling, education, and research in government, health care, industry, private practice, and the community. The program provides current, in-depth knowledge of nutritional science, including macronutrient and micronutrient metabolism, as well as an emphasis on research methods. The graduate curriculum provides students with the academic proficiency needed to pursue doctoral studies.",https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/nutrition-food-science/nutritional-science-ms/nutritional-science-ms.pdf,,Master of Science,Master of Science in Nutritional Science,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/nutrition-food-science/nutritional-science-ms/nutritional-science-ms.pdf,
,"The Master of Arts in Political Science program provides students with comprehensive and specialized knowledge in the field of political science. It is designed to prepare students for teaching at the community college level, for a variety of careers in government and the private sector, and for doctoral programs in political science and related fields. The department's graduate seminars are small, providing for a close working relationship between students and faculty. Students work with a graduate advisor in their primary field to develop a specific program of study.",https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/political-science-criminal-justice/political-science-criminal-justice.pdf,,,Master of Arts in Political Science,https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/political-science-criminal-justice/political-science-criminal-justice.pdf,
Psychological Science,"The Master of Arts Program in Psychological Science at California State University, Chico is a two-year graduate program designed for students who plan to go on to a doctoral program in psychology and/or who are interested in a master's level career in research. In our program, students receive mentoring and hands-on research experience with our faculty. They also take graduate-level coursework in a variety of content areas of psychology. All of our students complete a master's thesis, which they defend in an oral examination. Through this experience, students receive intensive training in the research process from the design of a study to the dissemination of findings.",https://www.csuchico.edu/psy/graduate-programs/psychological-science.shtml,,Master's,Master of Arts in Psychology,https://www.csuchico.edu/graduatestudies/programs/,
Marriage and Family Therapy Option,"The Master of Science in Psychology with the Marriage and Family Therapy (MFT) option is a 60-unit program designed to prepare students for licensure as a Marriage and Family Therapist in the state of California. Students who graduate from the MFT program at Chico State are eligible to sit for the MFT licensure exams as regulated by the California Board of Behavioral Sciences (BBS). Our program is designed to train ethical, multiculturally-aware, and competent psychotherapists who can serve the diverse needs of the North State and beyond. We prepare students through a combination of coursework, clinical practicum, research, and professional development.",https://www.csuchico.edu/academics/college/behavioral-social-sciences/departments/psychology/masters-programs/ms-marriage-family-therapy.shtml,"The Master of Science in Psychology degree at CSU, Chico is accredited by the Western Association of Schools and Colleges (WASC). The MFT program is NOT accredited by the Commission on Accreditation for Marriage and Family Therapy Education (COAMFTE). COAMFTE accreditation is not required for licensure as an MFT in California. Our MFT program is designed to meet the requirements of the California Board of Behavioral Sciences (BBS) to enable our graduates to pursue licensure.",,Master of Science in Psychology,https://www.csuchico.edu/academics/college/behavioral-social-sciences/departments/psychology/masters-programs/ms-marriage-family-therapy.shtml,
"General MPA Option, Health Administration Option","The Master of Public Administration (MPA) at California State University, Chico is a nationally accredited, 39-unit professional degree for those who wish to enter or advance in a career in public or nonprofit service. The program is designed to develop the knowledge and skills necessary for the effective and ethical management and leadership of public and nonprofit organizations in an increasingly diverse and dynamic society. Graduates of the Master of Public Administration program will be able to: 1. Lead and manage in public governance; 2. Participate in and contribute to the policy process; 3. Analyze, synthesize, think critically, solve problems, and make decisions; 4. Articulate and apply a public service perspective; 5. Communicate and interact productively with a diverse and changing workforce and citizenry.",https://www.csuchico.edu/pols/programs/graduate/mpa.shtml,"Accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA) Commission on Peer Review & Accreditation.",,Master of Public Administration,https://www.csuchico.edu/_assets/documents/office/bss/mpa-handout-25-26.pdf,
,"The Master of Science in Regenerative Agriculture is an interdisciplinary degree program housed within the College of Agriculture. The program is designed for students with a passion for agriculture and a commitment to build a more sustainable and equitable food system. The program's core philosophy is that agriculture must be regenerative of natural resources and socially just to be truly sustainable. The MS in Regenerative Agriculture is a research-focused degree where students work closely with a faculty advisor to conduct an original research project that culminates in a master's thesis. Throughout their program, students take a range of coursework across campus to build a solid foundation in the principles and practices of regenerative agriculture. Students also receive specialized training in research design, grant writing, and science communication.",https://www.csuchico.edu/ragr/programs/ms-regenerative-agriculture.shtml,,Masters,Master of Science in Regenerative Agriculture Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/programs/,
"['Special Case Pattern', 'Teaching College Social Science Pattern']","The Master of Arts in Social Science is an interdisciplinary program designed for students with diverse backgrounds and career goals. Students customize their programs of study in consultation with the graduate coordinator. The special case pattern allows students to design their own MA in consultation with the graduate coordinator. Special case students select courses from at least three different disciplines with no more than 12 units coming from any one discipline. The teaching college social science pattern is a more structured program focusing on sociology, political science, and United States history to prepare students who plan to teach in the California Community College system. Both patterns require the completion of a master's thesis or project.",https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/social-science/social-science-ma/,,,Master of Arts in Social Science,https://catalog.csuchico.edu/colleges-departments/college-behavioral-social-sciences/social-science/social-science-ma/,
,"The mission of the Master of Social Work (MSW) Program is to provide graduate students with a quality educational experience that prepares them for advanced generalist practice in a rural context. The program is specifically committed to educating students who will work with and on behalf of oppressed, impoverished and otherwise disenfranchised individuals, families, groups, and communities. The curriculum is delivered to facilitate the integration of foundation and advanced-level competencies for ethical and effective social work practice.",https://www.csuchico.edu/sowk/programs/msw/index.shtml,"The Master of Social Work program at California State University, Chico is fully accredited by the Council on Social Work Education (CSWE).",Masters,Master of Social Work,https://www.csuchico.edu/graduatestudies/programs/,
,"The Master of Science in Wildland Management is an interdisciplinary program including course work in agriculture, biological sciences, geosciences, and social science. The program addresses the science and management of wildlands including the physical, biological, and social factors that influence them. The program is designed for students with undergraduate degrees in a range of fields, including biology, agriculture, geography, environmental science, recreation, and related resource management disciplines. The program provides the knowledge and skills for a variety of careers managing wildlands in public agencies and the private sector. It can also be a preparatory degree for a PhD program.",https://www.csuchico.edu/wild/index.shtml,,,Master of Science in Wildland Management Interdisciplinary Studies,https://www.csuchico.edu/graduatestudies/prospective-students/programs/wildland-management.shtml,
,"The Certificate in Land Use and Environmental Planning is an 18-unit program for classified graduate students and for post-baccalaureate students not seeking a master's degree. It is designed to prepare students for professional practice as land use and environmental planners with city, county, and state agencies, and with private consulting firms. It is also designed to serve those already in planning or related fields (e.g., city managers, civil engineers, architects) who wish to acquire specialized professional training.",https://www.csuchico.edu/geop/programs/certificate-land-use-environmental-planning.shtml,,,Certificate in Land Use and Environmental Planning,https://www.csuchico.edu/graduatestudies/programs/,
,"The Certificate in Data Science is a multi-disciplinary certificate program offered by the Department of Mathematics and Statistics, the Department of Computer Science, and the Department of Business Information Systems that prepares students to use modern computational and statistical techniques to analyze, interpret, and visualize data from a wide variety of sources. This certificate helps students find employment in the rapidly growing field of data science, as well as prepare for graduate studies in data science, analytics, or a related field.",https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-certificate/,,Certificate,Certificate in Data Science,https://catalog.csuchico.edu/colleges-departments/college-natural-sciences/mathematics/data-science-certificate/,
