Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Science in Counseling and Human Services,https://post.edu/academics/online-graduate-degrees/,Not Required,Required,"To be considered for admission into the Master of Science in Counseling and Human Services, applicants must submit the following:
*   A completed admissions application
*   A statement of purpose of at least 500 words explaining why you have chosen this field of study, what you would offer the profession, and a description of your career goals
*   Official transcripts from all colleges and universities attended. An official transcript is one that is sent to Post University directly from the awarding institution.
*   An undergraduate GPA of 3.0 is recommended for admission into the program.",Not Required,True,False,False,False,False,False,,,program,
Master of Science in Gaming and Esports Management,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Higher Education Leadership,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing Education",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing Informatics",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing – Case Management",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing – Family Nurse Practitioner",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing – Infection Prevention and Control",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing – Organizational Leadership",https://post.edu/academics/online-graduate-degrees/,Required,Required,"To be considered for admission to Post University's Master of Science in Nursing program, students must provide the following: An application for admission; Official transcript showing the conferral of a baccalaureate degree in nursing (BSN) from a college or university accredited by an accrediting agency recognized by the Council for Higher Education Accreditation (CHEA) or the U.S. Department of Education.; A cumulative undergraduate GPA of 3.0 on a 4.0 scale.; A current and active RN license from the state in which you reside and/or practice.; A statement of professional goals.; A current resume.",Not Required,True,False,False,False,False,False,,,program,
"Master of Science in Nursing, Area of Emphasis: Mental Health Nursing",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master of Science in Nursing, Area of Emphasis: Nursing Administration",https://post.edu/academics/online-graduate-degrees/,,,"Completed admissions application. A Bachelor of Science in Nursing degree (BSN) from a program accredited by a national nursing accrediting body recognized by Post University. The nursing program must be equivalent to the BSN program at Post University. Official transcripts from all colleges and universities attended. All foreign transcripts must be evaluated by a NACES approved evaluating agency such as WES or ECE. A cumulative undergraduate GPA of 3.0 on a 4.0 scale is required for full acceptance. A cumulative GPA between 2.67-2.99 may be considered for provisional acceptance. Proof of an active and unencumbered license as a Registered Nurse (RN) in the state in which the student will be completing his or her clinical practicum. Criminal background check and drug screen through a Post University approved vendor will be required upon admission. The Nursing Department at Post University does not require standardized graduate entrance exams such as the GRE or MAT. Therefore, there are no minimum score requirements for admissions.",,True,False,False,False,False,False,,,program,
"Master of Science in Nursing, Area of Emphasis: Nursing Science, Education, and Practice",https://post.edu/academics/online-graduate-degrees/,Required,Required,"To apply for our online MSN program, you must have: A Bachelor of Science in Nursing (BSN) degree from an accredited institution recognized by the U.S. Department of Education; Undergraduate GPA of 3.0 on a 4.0 scale. Applicants with a GPA between 2.5 and 2.99 may be eligible for conditional acceptance; Active, unencumbered license as a Registered Nurse in the state where you plan to complete your clinical experience; Official transcripts from all undergraduate institutions attended; A completed application; A personal statement; A resume; Three letters of recommendation; You must have completed a statistics course at the undergraduate or graduate level with a grade of C or better.",Not Required,True,False,False,False,False,False,,,program,
"Master of Science in Nursing, Area of Emphasis: Pediatric Nursing",https://post.edu/academics/online-graduate-degrees/,Required,Required,"Application for admission
An earned Bachelor of Science in Nursing (BSN) from a program accredited by the Accreditation Commission for Education in Nursing (ACEN) or the Commission on Collegiate Nursing Education (CCNE).
A minimum undergraduate GPA of 3.0 on a 4.0 scale. Applicants with a GPA less than 3.0 may be considered for conditional admission.
Official transcripts from all colleges and universities previously attended.
A current, unencumbered license to practice as a Registered Nurse (RN) in the state where the student intends to complete their practicum hours.
A current resume.
A two-page personal statement of professional goals.
Two letters of recommendation.
Successful completion of a college-level course in statistics with a grade of “C” or better.
Proof of Immunizations (required before practicum).
Background Check, Fingerprinting, and Drug Screening (required before practicum).",Not Required,True,False,False,False,False,False,,,program,
Master of Science in Nursing / Master of Business Administration – Healthcare (Dual Degree),https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Project Management,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Master's in Parks, Recreation and Leisure Studies",https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master's in Teaching,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Accounting (Post-Baccalaureate),https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Alcohol and Drug Counseling,https://post.edu/academics/online-graduate-degrees/,,,"To be considered for admission into a master’s degree or graduate certificate program at Post University, you must have earned a bachelor’s degree from a regionally accredited institution and submit the following: 1. Official transcripts from all colleges/universities attended; 2. Completed graduate application for admission; 3. Current resume*; 4. Personal statement*; 5. $50 application fee (waived for all military). *Please contact your admissions counselor to find out if this is required for your program of interest.",,False,False,False,False,False,False,,,program,
Graduate Certificate in Autism Spectrum Disorders,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Business Analytics,https://post.edu/academics/online-graduate-degrees/,Required,Not Required,"To be considered for admission into one of our master’s degree or graduate certificate programs, you must have a bachelor’s degree from a regionally accredited institution and a minimum undergraduate GPA of 3.0. In some cases, we will consider applicants with a GPA below 3.0 for provisional acceptance if they have a strong professional background in the field. Required documents include: an online application, a nonrefundable application fee, official transcripts for all college-level coursework, and a professional resume.",,True,False,False,False,False,False,,,program,
Graduate Certificate in Corporate Innovation,https://post.edu/academics/online-graduate-degrees/,Not Required,Not Required,"To apply for one of our graduate certificate programs, you must provide the following: A completed graduate application; Official transcripts from all colleges and universities attended. Certain programs may have additional requirements.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Cybersecurity,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Data Analytics,https://post.edu/academics/online-graduate-degrees/,Required,Required,"To be admitted to our graduate school, applicants must have earned a bachelor’s degree from a regionally accredited institution, or the international equivalent. Graduate School Application Requirements: A completed Post University Graduate Admissions Application; An official transcript from an accredited institution that shows you’ve earned a bachelor’s degree with a minimum 3.0 cumulative GPA; An application fee of $50 (may be waived); A current résumé; A personal statement; Official transcripts from all post-secondary schools attended.",,True,False,False,False,False,False,,,program,
Graduate Certificate in Data Science,https://post.edu/academics/online-graduate-degrees/,Required,Required,"To apply to Post University’s graduate certificate programs, you must hold a bachelor’s degree from a regionally accredited institution. To apply, you will need to complete the following steps:

Complete a graduate application.
Submit the application fee.
Provide official transcripts from all colleges and universities you previously attended, including an official transcript that shows you earned a bachelor’s degree.
Submit a current résumé.
Complete a 250-500 word personal statement that explains your interest in the graduate certificate program and your professional goals.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Family Nurse Practitioner,https://post.edu/academics/online-graduate-degrees/,Required,Required,"To apply for the Family Nurse Practitioner Certificate program, you will need to provide the following: Complete application; Official master’s degree-granting transcript from an accredited college or university with a 3.0 cumulative GPA; Official transcripts from all colleges and universities attended; Verification of a current, unrestricted RN license in the state where the student intends to complete the clinical practicum; Personal statement; Resume; Verification of completion of a separate, stand-alone, 3-credit course in Advanced Pathophysiology, Advanced Pharmacology, and Advanced Physical Assessment with a grade of B or better from an accredited college or university within the last five years.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Finance,https://post.edu/academics/online-graduate-degrees/,Required,,"To apply to one of our master’s degree or graduate certificate programs, you must have: a bachelor’s degree from a regionally accredited institution with a minimum undergraduate GPA of 3.0 (A GPA between 2.5 and 2.99 will be considered for provisional acceptance), official transcripts from all colleges and universities you’ve attended, a completed graduate application and a $50 application fee. In addition, certificate applicants must submit an updated resume that demonstrates at least 3 years of experience in a management or administrative position. Applicants who do not have a resume that demonstrates this level of experience may seek an exception by completing a 500-word essay that details how the certificate will advance his/her professional goals.",,True,False,False,False,False,False,,,program,
Graduate Certificate in Forensic Accounting,https://post.edu/academics/online-graduate-degrees/,Required,Required,"To apply for admission to Post University’s Graduate Certificate program, you will need to submit:

A completed graduate admissions application
A bachelor’s degree with a GPA of 3.0
Official transcripts from all colleges and universities you previously attended
A current résumé
Two letters of recommendation (professional or academic)
A 500-word personal statement describing your professional goals
A TOEFL score, if you are not a native English speaker",Not Required,True,False,,False,False,False,,,program,
Graduate Certificate in Geographical Information Systems,https://post.edu/academics/online-graduate-degrees/,Not Required,Not Required,"To be considered for admission to a graduate-level program at Post University, you will need: a completed admissions application and official transcripts from all colleges and universities you previously attended. Additional graduate admissions requirements vary by program.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Gifted Education,https://post.edu/academics/online-graduate-degrees/,Required,Required,"Completed admissions application. A bachelor’s degree from a regionally accredited institution with a minimum 3.0 cumulative GPA*. Official transcripts from all colleges and universities previously attended, with an official transcript from the institution that conferred the bachelor’s degree sent directly to Post University. An essay of 250–500 words addressing the following: Why are you pursuing this degree at Post University? How will it help you achieve your personal and professional goals? A current résumé. *Applicants with a GPA below 3.0 will be considered for conditional acceptance.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Higher Education Administration,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Human Resource Management,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Infection Prevention and Control,https://post.edu/academics/online-graduate-degrees/,Not Required,Not Required,"Completed admissions application. Official transcripts from a regionally accredited institution showing conferral of a bachelor’s degree with an undergraduate GPA of 3.0 or higher. If your GPA is below a 3.0, you may be admitted on a conditional basis.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Leadership,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Learning Design and Technology,https://post.edu/academics/online-graduate-degrees/,Not Required,Not Required,"To apply for admission to Post University, we will need the following:

*   Official transcripts of all undergraduate work
*   A completed application
*   Application Fee

All graduate certificate applicants must have earned a bachelor’s degree from a regionally accredited institution with an undergraduate GPA of 3.0. A GPA of 2.67-2.99 will be considered for provisional acceptance.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Marketing,https://post.edu/academics/online-graduate-degrees/,Optional,Optional,"To apply for admission to a master’s degree or graduate certificate program at Post University, applicants must submit a completed admissions application and an official transcript from the college or university where the bachelor’s degree was earned. The Malcolm Baldrige School of Business requires students to have a minimum 3.0 undergraduate GPA. For applicants with an undergraduate GPA between 2.5 and 2.99, a personal statement and current résumé are also required for consideration for provisional acceptance. No GMAT or GRE entrance exams are required for admission.",Not Required,True,False,False,False,False,False,,,program,
Graduate Certificate in Online Teaching,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Paralegal Studies,https://post.edu/academics/online-graduate-degrees/,Required,Required,"To apply for a graduate program at Post, you will need the following: A completed application for admission. Official transcripts from all colleges and universities previously attended which show a conferred bachelor’s degree from a regionally accredited institution with a minimum GPA of 3.0. A current résumé. Two letters of recommendation (professional or academic). A 500-word essay on your professional goals and objectives for the program in which you are enrolling.",Not Required,True,False,,False,False,False,,,program,
Graduate Certificate in Professional Counseling,https://post.edu/academics/online-graduate-degrees/,Required,Required,"Completed admissions application. Official transcripts from all colleges/universities attended. To be considered for admission, you must have earned a bachelor’s degree from an institution licensed or accredited by an agency recognized by the U.S. Department of Education. Personal statement detailing your professional goals and aspirations (approximately 250-500 words). Current resume. Additional requirements may apply. For more information, please contact an admissions counselor.",,True,False,False,False,False,False,,,program,
Graduate Certificate in Project Management,https://post.edu/academics/online-graduate-degrees/,Required,Required,"To be considered for acceptance into one of Post University's graduate master's degree or certificate programs, you will need to: Complete a graduate application; Pay the non-refundable application fee; Submit official transcripts from all colleges and universities previously attended, with the transcript showing the conferral of a bachelor's degree from a regionally accredited institution with a minimum GPA of 3.0; Submit a current resume; Submit a personal statement of your professional goals (500 words or less).",Not Required,True,False,,False,False,False,,,program,
Graduate Certificate in Social Media Marketing,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Special Education,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Strategic Communication,https://post.edu/academics/online-graduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Teaching English Language Learners (TELL),https://post.edu/academics/online-graduate-degrees/,Required,Required,"Each of Post University’s graduate-level programs has its own unique admissions requirements. However, all applicants must meet the following minimum requirements for consideration: An official transcript from the accredited institution that granted your baccalaureate degree, a completed application, a non-refundable application fee, a personal statement, a current résumé, and two letters of recommendation (may be waived for certain programs).",Not Required,True,False,,False,False,False,,,program,
