Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Science in Chemistry,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,Kutztown University requires the following items for a complete first-year application: 1. A completed application. 2. Official high school transcripts. 3. $35 application fee. The following items are optional: 1. SAT/ACT scores. 2. Letter(s) of recommendation. 3. Personal essay.,Not Required,True,False,,True,False,False,,,program,
Minor in Chemistry,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,A minor in chemistry requires a minimum of 24 semester hours of chemistry. A minimum GPA of 2.0 in the chemistry courses is required for this minor.,,False,False,,True,False,False,,,program,
"Bachelor of Science in Cinema, Television and Media Production",https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Minor in Cinema, Television and Media Production",https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,A minimum grade of C must be earned in each course of the minor. Eighteen credits are required for the minor.,,True,False,,False,False,False,,,program,
Minor in Coaching and Fitness Administration,https://www.kutztown.edu/academics/colleges-and-departments/business/department-of-sport-management/programs/minor-in-coaching-and-fitness-administration.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Fine Arts in Communication Design,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,A portfolio review is required for admission into the B.F.A. in Communication Design program. General application requirements include a completed application and an official high school transcript. A personal statement is optional but encouraged for students with a cumulative GPA below 3.0.,Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Communication Studies,https://www.kutztown.edu/academics/colleges-and-departments/visual-and-performing-arts/majors-minors-and-certificates/communication-studies/programs/bachelor-of-arts-in-communication-studies.html,Not Required,Optional,"To apply for admission to Kutztown University as a first-year student, you must submit the following items: a completed application for admission (either the KU application or the Common Application), your official high school transcript, and a $35 application fee or fee waiver. Submission of SAT or ACT scores, an essay/personal statement, and letters of recommendation are optional.",Not Required,True,False,,False,False,False,,,program,
Minor in Communication Studies,https://catalog.ua.edu/undergraduate/communication-information-sciences/communication-studies/minor/,Not Required,Not Required,"The Communication Studies minor is an 18-credit program. Required courses include COM 110, COM 220, and either COM 230 or COM 240. Students must also complete nine credits of electives chosen from a specified list of COM courses. A minor must include 18 credits, with 9 credits at the 200 level or higher. No more than 6 credits may be used to satisfy requirements for both a major and a minor.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Computer Science,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,"Your application to Kutztown University will be reviewed once we receive your official high school transcript. In addition to your transcript, you are welcome to submit the following optional materials to be reviewed: Official SAT or ACT scores; Essay/personal statement; Letters of recommendation.",Not Required,True,False,,True,False,False,,,program,
Minor in Computer Science,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/computer-science-and-information-technology/undergraduate-programs/minors-and-certificates.html,,,"Minors and certificates can be declared by using the online ""Change of Major"" form, which is found in the student's MyKU account.",,True,False,,True,False,False,,,program,
Bachelor of Science in Computer Science-Information Technology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,Optional,"A completed online application, a $35 non-refundable application fee, and an official high school transcript are required for an application to be considered complete. Although not required, applicants are strongly recommended to submit a personal statement or essay. Official SAT/ACT Scores are optional as Kutztown University is test-optional.",,False,False,,True,False,False,,,program,
Minor in Computer Science-Information Technology,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/computer-science-and-information-technology/undergraduate-programs/minors-and-certificates.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Criminal Justice,https://www.kutztown.edu/academics/colleges-and-departments/liberal-arts-and-sciences/departments/criminal-justice/checksheets.html,Not Required,Optional,All first-year students are required to submit the following: Completed online application; $35 non-refundable application fee; Official high school transcript(s). A personal essay is strongly encouraged. Submission of SAT or ACT scores is optional for admission for most majors.,Not Required,True,True,,False,False,False,,,program,
Minor in Criminal Justice,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,"Any undergraduate student may declare a minor in criminal justice. The student should go to the office of their major and complete a ""Change of Major"" form indicating that they wish to add a minor in criminal justice.",,True,False,,False,False,False,,,program,
Bachelor of Science in Business Administration in Accounting,https://www.kutztown.edu/academics/colleges-and-departments/business/department-of-business-administration/majors-minors-and-certificates/bachelor-of-science-in-business-administration/accounting.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Actuarial Sciences,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Fine Arts in Animated Arts,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,"Acceptance into the B.F.A. in Animated Arts program requires a portfolio review. Students must first apply to the university through the Office of Undergraduate Admissions. General first-year application requirements include a completed online application, a $35 non-refundable application fee or fee waiver, and an official high school transcript. While not required, students are welcome to submit a personal essay and up to three letters of recommendation. Kutztown University is test-optional, so SAT/ACT scores are not required for admission.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Anthropology,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Optional,"A completed application and $35 application fee. Official high school transcript(s) must be sent directly from the high school. SAT/ACT scores, an essay or personal statement, and letters of recommendation are all optional for admission.",Not Required,True,True,,False,False,False,,,program,
Minor in Anthropology,https://www.kutztown.edu/academics/courses/program-guides.html,Not Required,Not Required,,Not Required,True,False,,False,False,False,,,program,
Minor in Applied Engineering,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Not Required,Students interested in declaring a minor in applied engineering should contact the department office.,Not Required,True,False,,True,False,False,,,program,
Bachelor's in Art,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,Not Required,Required,"Applicants must submit a completed application, a $35 application fee, official high school transcript(s), and an essay or personal statement. Kutztown University is test-optional regarding SAT or ACT scores. Letters of recommendation are optional. Admission to the BFA in Studio Art program also requires a portfolio review, which must be submitted digitally via SlideRoom after the student has officially applied for admission to the university.",Not Required,True,True,,False,False,False,,,program,
Minor in Art,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor's in Art Education,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Art Education,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,True,False,,False,False,False,,,program,
Bachelor's in Art History,https://arthistory.umd.edu/academics/undergraduate/art-history-BA,Not Required,Optional,"In a holistic review, Kutztown University considers the following: Academic performance in high school, Strength of curriculum, Grade trends, SAT or ACT scores (optional for most majors), Letters of recommendation (optional), Essay or personal statement (optional), Extracurricular activities/community service/work experience.",Not Required,True,False,,False,False,False,,,program,
Minor in Art History,https://www.kutztown.edu/academics/program-finder/a-z-programs.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
