Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Arts in Classics – Classical Archaeology,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Classics – Classical Civilization,https://languages.charlotte.edu/programs/,Not Required,Not Required,"To be considered for admission, first-year applicants will need to submit an online application, an $80 application fee, and an official high school transcript. Standardized test scores (SAT or ACT) are optional.",Not Required,True,False,,False,False,False,,,program,
"Bachelor of Arts in Classics – Greek, Latin, and Combined Greek and Latin",https://catalog.unc.edu/undergraduate/programs-study/classics-major-ba-greek-latin/classics-major-ba-greek-latin.pdf,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Communication Studies,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"Students may declare a major in Communication Studies (COMM) when they are admitted to the University. To progress to upper-division courses (3000-level or higher), students must have a cumulative GPA of at least 2.0.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Computer Science,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Data Science,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Optional,"To apply for admission to UNC Charlotte as a first-year student, you must submit the following: A completed application for admission; A non-refundable $80 application fee; An official high school transcript; SAT or ACT scores (optional for 2024 applicants); A personal statement or essay (recommended for all applicants); Recommendation letters (optional).",Optional,True,False,,False,False,False,,,program,
Bachelor of Arts in Drama,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Optional,Students may declare a major in Theatre after they have been admitted to UNC Charlotte. Students are required to participate in an annual audition/interview for continuation in the B.A. or B.M. in Musical Theatre programs. Students are also required to meet for an annual academic advising review.,Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in Economics,https://academics.charlotte.edu/program/economics-b-s-on-campus/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Education,https://teal.charlotte.edu/undergraduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in English,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"All first-year applicants must submit the following items to be considered for admission: A completed application (The Common App or the Future 49er Application), a non-refundable $80 application fee or fee waiver, and an official high school transcript. UNC Charlotte is test-optional for students applying for admission through Fall 2024. Your essay is an important part of your application.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in European and Russian Studies,https://as.tufts.edu/ilcs/academics/majors/ba-russian-eastern-european-studies,,,,,True,False,,False,False,False,,,program,
Bachelor of Arts in French,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECdm4bHjl7WpVnQ7trMgryZ9eF_a-95LrIKzBah5xcKh5p9LQLR2nkE6oYxM0mflQxAfvn05mewR_oHXNlOLbmnUwpMFlLMdAJWVPUXH66ZjnpCnJyiCMyY9r1leVt8Dtol6EoROn0E00UfjWmtkNEee3LzdV5MKmEsYRERdVF0H8Q41VqlnZ50Pl3n176FhcpjR7nbgF4aw_obJr7IcnSJe_dMmOV2BL-K1abu5PPtR8=,Not Required,Required,"Admission to UNC Charlotte is competitive. The review is a holistic one, taking into consideration your high school courses, the grades you’ve earned, your class rank, and your essay. Extracurricular activities and your leadership, service, and work experiences are also considered. Minimum High School Course Requirements include: 4 course units of English, 4 course units of mathematics, 3 course units of science, 2 course units of social science, and 2 additional academic courses.",Not Required,False,False,,False,False,False,,,program,
Bachelor of Arts in Geography and Environment,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"To apply for admission to UNC Charlotte as a first-year student, you will need to submit the following: an online application (The Common App or the Future 49er Application), an $80 non-refundable application fee, and your official high school transcript. First-year students are required to submit an essay response of 250-650 words. UNC Charlotte is test-optional for students applying for admission through fall 2024. If you choose to submit your standardized test scores (SAT or ACT), you can self-report them on your application or have them sent directly from the testing agency.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in Geological Sciences – Earth Science Concentration,https://catalog.unc.edu/undergraduate/programs-study/,,,"Students may declare a major in Geological Sciences at any time, but they must meet with a departmental undergraduate advisor to do so.",,True,True,,True,False,False,,,program,
Bachelor of Arts in Germanic and Slavic Languages and Literatures – German Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/,Optional,Required,"Admission to this major is open to any UNC Charlotte student in good academic standing with a GPA of 2.00 or better. For general university admission, in addition to your academic record, UNC Charlotte considers standardized test scores (if you choose to submit them), essay, and your extracurricular activities and what you’ve accomplished outside of the classroom.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in Germanic and Slavic Languages and Literatures – Russian Language and Culture Concentration,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Germanic and Slavic Languages and Literatures – Slavic and East European Studies Concentration,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"To apply for first-year admission, applicants must submit an online application (via the Future 49er Portal, Common App, or CFNC), a non-refundable application fee, and an official high school transcript. A personal essay is also required. UNC Charlotte is test-optional for first-year applicants for Spring 2024 and Fall 2024 terms, meaning applicants can choose whether or not to submit ACT or SAT test scores.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Global Studies,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Haitian Creole,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Hindi-Urdu,https://languages.charlotte.edu/student-opportunities/scholarships/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in History,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Latin American Studies,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"First-year applicants must submit: an application for admission and application fee, an official high school transcript, and an essay. The submission of official SAT or ACT scores is optional for most applicants.",Not Required,True,True,,False,False,False,,,program,
"Bachelor of Arts in Linguistics, Interpretation, and Translation",https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Media and Journalism,https://catalog.unc.edu/undergraduate/programs-study/media-journalism-major-ba/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Music,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,"Admission to the Department of Music is a two-part process. First, students must apply for admission to the University through the UNC Charlotte Undergraduate Admissions Office. Second, students must complete an online Music Application and a performance audition on a primary instrument or voice. Auditions are held on campus on specific dates (see music.charlotte.edu for details). Admission to the University does not guarantee admission to the Department of Music. Music majors must successfully pass a performance audition to be accepted into the program.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Arts in Music History and Literature,https://coaa.charlotte.edu/music/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in North American Studies,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Bachelor of Arts in Peace, War, and Defense",https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Philosophy,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Political Science,https://research.com/degrees/best-online-political-science-degree-programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Public Policy Analysis,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Religious Studies,https://www.educations.com/bachelors-degree/humanities-studies/north-america/distance-learning,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Sociology,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Spanish,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Optional,"Admission decisions for first-year students are based on a combination of: High school course selection and academic rigor, Performance in coursework (unweighted GPA), Standardized test scores (SAT or ACT), if submitted, Essay and letters of recommendation, if submitted.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in Studio Arts,https://academics.charlotte.edu/program/art-b-a-on-campus/,,Optional,"First-Year applicants are required to submit the following items for their application to be considered complete: Online Application, Official high school transcript, Official college transcripts (if applicable), $80 application fee or approved fee waiver. The following items are optional: Standardized test scores, Essay, List of activities/accomplishments.",,True,False,,False,False,False,,,program,
Bachelor of Arts in Visual Arts,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Women's Studies,https://interdisciplinarystudies.charlotte.edu/academics/ba-interdisciplinary-studies/,Not Required,Not Required,"To be considered for admission, first-year applicants must submit the following:

1. Online Application: The Common App or the Future 49er Application
2. $80 non-refundable application fee
3. Official high school transcript
4. Official college transcript(s), if applicable (for any dual-enrollment courses taken)
5. Standardized test scores (SAT or ACT). Please note: UNC Charlotte will be test-optional for students applying for admission through Fall 2024.

In addition to your application, we review your high school transcript to ensure you’ve completed the Minimum Course Requirements (MCR) set by the UNC Board of Governors:

- Four course units in English
- Four course units in mathematics (including algebra I, geometry, algebra II, and a fourth math course with algebra II as a prerequisite)
- Three course units in science (including a life science, a physical science, and a laboratory course)
- Two course units in social studies (including one unit in U.S. history)
- Two additional academic courses from English, mathematics, science, social studies, world languages, or computer science.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Science in Applied Sciences,https://catalog.wit.edu/sciences-humanities/sciences/applied-sciences-bs/applied-sciences-bs.pdf,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Astronomy,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"To apply as a first-year student, you will need to submit the following: Online Application, $80 Application Fee, Official High School Transcript, SAT or ACT Scores (Optional for 2024 applicants), Essay (Required), Recommendation Letters (Optional).",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Bioinformatics,https://artsci.tamu.edu/statistics/academics/undergraduate/bs-in-bioinformatics.html,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Biology,https://bsc.ua.edu/undergraduate/bachelor-of-science-in-biology/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Biomedical Engineering,https://academics.charlotte.edu/program/mechanical-engineering-biomedical-engineering-concentration-b-s-m-e-on-campus/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Business Administration,https://belkcollege.charlotte.edu/academics/undergraduate-programs/undergraduate-academics/,Not Required,Optional,"Admission to the Bachelor of Science in Business Administration program is handled through general undergraduate admissions to UNC Charlotte. Required Application Materials include an online application, application fee, and official high school transcript (and college transcripts if applicable). Recommended Items include a personal essay, 2-3 letters of recommendation, and a list of extracurricular activities. Standardized testing (SAT/ACT) is optional for first-year applicants through Fall 2024.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Chemistry,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Chemistry – Biochemistry Track,https://chemistry.charlotte.edu/programs/undergraduate-programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Chemistry – Polymer Track,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Clinical Laboratory Science,https://www.med.unc.edu/healthsciences/clinical/about-us/bachelor-of-science-in-clinical-laboratory-science/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Computational and Applied Mathematics,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Required,"To determine admissibility, UNC Charlotte conducts a comprehensive review of the application and credentials. Factors considered include: high school coursework and rigor, cumulative unweighted high school GPA, standardized test scores (SAT or ACT) if submitted, the application essay, and extracurricular activities and work experience.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Computer Science,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Optional,"First-year applicants are evaluated based on their weighted high school GPA and the rigor of their high school coursework. Minimum course requirements include: 4 units of English, 4 units of Mathematics (including a course beyond Algebra II), 3 units of Science (including one life science, one physical science, and one lab), 2 units of Social Science (including one U.S. History). Two units of a second language are also recommended.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Earth and Marine Sciences,https://catalog.unc.edu/undergraduate/programs-study/earth-marine-sciences-major-bs/earth-marine-sciences-major-bs.pdf,Not Required,Not Required,"UNC Charlotte requires a minimum of 16 high school units for admission: 4 units in English, 4 units in Math (including algebra I, geometry, algebra II, and a fourth level math course beyond algebra II), 3 units in Science (including a life science, a physical science, and a science with a lab), 2 units in Social Science (including one U.S. history course), and 2 units in a second language.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Environmental Health Science,https://ech.charlotte.edu/degrees-and-programs/phs-undergraduate-programs/bachelor-science-public-health-bsph-2/,Not Required,Required,"To be considered for admission as a first-year student, applicants must submit an online application, a non-refundable application fee, and an official high school transcript. The essay is a required component of the admissions application. UNC Charlotte is test-optional for first-year applicants through Fall 2024, meaning applicants may choose whether or not to submit SAT or ACT scores.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Environmental Science,https://academics.charlotte.edu/program/earth-and-environmental-sciences-b-s-on-campus/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Information Science,https://infosci.cornell.edu/bachelor-science-information-science,,,,,True,False,,False,False,False,,,program,
Bachelor of Science in Mathematics,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,Admission to this major is competitive. Meeting the minimum requirements does not guarantee admission. Students must have a minimum cumulative GPA of 2.0. Students must meet the progression requirements of the department.,Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Neuroscience and Neurobiology,https://biology.charlotte.edu/programs/undergraduate-programs/majors/,Not Required,Not Required,"First-year admission to UNC Charlotte is competitive. Our review is a holistic one, taking into consideration your high school courses, grades in those courses, your class standing and your test scores, if you choose to submit them. Required Application Materials: Online Application, Non-refundable $80 application fee, Official high school transcript, Official SAT or ACT scores (optional for 2024).",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Nursing,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,"Admission to the upper division of the Nursing major is a competitive process. Students must first be admitted to the University as a Pre-Nursing (PRNU) student. To be considered for admission to the upper division, students must submit a supplemental application to the School of Nursing. These applications are accepted twice a year. Admission is determined by several factors including, but not limited to: 1. Cumulative GPA of 3.0 or higher. 2. A grade of C or better in all nursing prerequisite courses. 3. Completion of the Test of Essential Academic Skills (TEAS). 4. Other factors as determined by the School of Nursing Admission Committee. 5. Acceptance to upper division requires passing a Certified Background Check and Drug Screen. 6. Students with two failures in the same nursing prerequisite science course are not eligible to apply to the nursing program.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Physical Education Teaching and Coaching,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,"To be admitted into the Health and Physical Education Teacher Education Program, students must meet the following criteria:

Completion of at least 24 earned semester hours.
A cumulative GPA of at least 2.75.
A passing score on the Praxis Core Academic Skills for Educators test, or an equivalent score on the SAT or ACT.
Admission to the Teacher Education Program is a prerequisite for all upper-division KNES coursework.
Students must also maintain a grade of C or above in all major and concentration courses.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Physics,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Public Health in Community and Global Public Health,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Statistics,https://academics.charlotte.edu/program/mathematics-statistics-concentration-b-s-on-campus/,Not Required,Not Required,"Admission requirements for this program are the same as the general undergraduate admission requirements. First-year applicants are assessed based on high school GPA, the rigor of their high school coursework, and SAT or ACT scores (if submitted). Minimum high school course requirements include: 4 units of English; 4 units of mathematics (including Algebra I, Geometry, Algebra II, and a fourth level math course beyond Algebra II); 3 units of science (one life science, one physical science, and one lab); 2 units of social science (including one U.S. History); and 2 additional academic units from specified fields.",Not Required,True,False,,True,False,False,,,program,
Minor in Aerospace Studies,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in African American and Diaspora Studies,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,The Minor in African American and Diaspora Studies requires 18 credit hours of coursework. Students must have a cumulative GPA of at least 2.0 to declare the minor.,Not Required,True,False,,False,False,False,,,program,
Minor in African Studies,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,"To declare a minor in Africana Studies, students should see the Africana Studies undergraduate coordinator. The Africana Studies minor consists of 18 credit hours. Students must complete all coursework for the minor with a grade of C or above.",Not Required,True,False,,False,False,False,,,program,
Minor in American Indian and Indigenous Studies,"https://www.google.com/search?q=time+in+Charlotte,+NC,+US",Not Required,Not Required,"To declare a minor, a student must be in good academic standing (2.0 GPA) and complete a Change of Major/Minor form with their major advisor or in the college that houses their major.",Not Required,True,False,,False,False,False,,,program,
Minor in American Studies,https://academics.charlotte.edu/program/american-studies-minor-on-campus-online/,Not Required,Not Required,Undergraduate students in good academic standing are eligible to apply.,Not Required,True,False,,False,False,False,,,program,
Minor in Anthropology,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Applied Sciences and Engineering,https://catalog.unc.edu/undergraduate/programs-study/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Arabic,https://languages.charlotte.edu/programs/undergraduate-programs/arabic-studies-minor/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Archaeology,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,"Students can declare the Minor in Archaeology at any time. Students should declare the minor as early as possible in order to receive proper advising. To declare the minor, students should contact the program coordinator.",Not Required,True,False,,False,False,False,,,program,
Minor in Art History,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,Students who wish to declare a Minor in Art History must have a GPA of at least 2.0. The minor is declared online.,Not Required,True,False,,False,False,False,,,program,
Minor in Asian Studies,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,Students who wish to declare a minor in Asian Studies must meet with the program director. Students must have a minimum GPA of 2.0.,Not Required,True,False,,False,False,False,,,program,
Minor in Baccalaureate Education in Science and Teaching (BEST),https://education.charlotte.edu/academic-programs/undergraduate-degrees/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Behavioral Sciences,https://healthpsych.charlotte.edu/concentration-areas/general/,,,To declare this minor a student must have a GPA of at least 2.0.,,True,False,,False,False,False,,,program,
Minor in Biology,https://catalog.unc.edu/undergraduate/programs-study/,Not Required,Not Required,Students can declare this minor by using the online program declaration system in Banner Self-Service. A grade of C or above is required in all courses for the minor.,Not Required,True,False,,True,False,False,,,program,
Minor in Bioinformatics,"https://www.google.com/search?q=time+in+Charlotte,+NC,+US",,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Business Administration,https://www.colorado.edu/academics/minor-business,,,"The Minor in Business Administration is available to students in all colleges at UNC Charlotte except the Belk College of Business. Students must meet all course prerequisites and have a minimum 2.5 overall GPA to be admitted to the minor. A minimum grade of C is required in each course in the minor.

The 18-credit hour minor requires the following courses:
ACCT 2121 Principles of Financial Accounting (3)
ECON 2101 Principles of Economics-Macro (3)
ECON 2102 Principles of Economics-Micro (3)
INFO 2130 Introduction to Business Computing (3)
MGMT 3140 Management and Organizational Behavior (3)
MKTG 3110 Principles of Marketing (3)",,True,False,,False,False,False,,,program,
